MDTU,0,2,4,6,8,10
10,15.7881,15.7229,15.6712,15.6031,15.4894,15.4237
20,15.4971,15.4033,15.3642,15.2975,15.1486,15.1459
30,15.7993,15.617,15.3074,15.3034,15.2504,15.2336
40,15.4308,15.3099,15.1189,15.1149,15.0368,14.9649
50,15.2474,15.1835,14.9855,14.9359,14.8688,14.8068
60,15.7774,15.5621,15.294,15.162,15.1442,15.1132
70,15.3785,15.3252,15.1837,15.1768,15.1261,15.0317
80,15.8255,15.7644,15.6191,15.5637,15.4718,15.4557
90,16.0401,15.9887,15.9299,15.7893,15.6762,15.6503
100,16.1146,15.6703,15.5156,15.5024,15.3801,15.3715
110,15.8574,15.7924,15.7319,15.5568,15.3769,15.3655
120,15.6961,15.4323,15.319,15.2557,15.2503,15.1931
130,16.1019,15.6138,15.5349,15.4903,15.4354,15.3675
140,15.6257,15.609,15.5336,15.4389,15.4233,15.3424
150,15.5496,15.5108,15.4829,15.4722,15.392,15.3471
160,15.677,15.6098,15.5863,15.5631,15.5504,15.5207
170,15.9877,15.9482,15.561,15.4609,15.3997,15.3574
180,15.6464,15.5596,15.473,15.3945,15.2539,15.226
190,15.5952,15.4897,15.4379,15.3768,15.21,15.1795
200,15.6828,15.4974,15.4299,15.4082,15.376,15.3499
210,15.4753,15.4269,15.3417,14.951,14.9088,14.8706
220,15.8632,15.6324,15.2215,15.171,15.1546,15.0779
230,15.4055,15.2311,15.1892,15.1628,15.129,15.0762
240,15.3854,15.3563,15.3447,15.1758,15.1599,15.1417
250,15.6992,15.3382,15.287,15.2652,15.1245,15.0974
260,15.5207,15.3782,15.0827,15.0551,15.0113,14.9609
270,16.0485,15.9259,15.9178,15.8638,15.3162,15.2829
280,15.6737,15.5405,15.4854,15.4212,15.3097,15.2938
290,16.2966,16.1271,15.7599,15.705,15.6981,15.5987
300,16.025,15.6866,15.6017,15.5877,15.5474,15.5216
310,16.735,15.9926,15.8268,15.7719,15.7618,15.6529
320,16.272,16.1261,16.0076,15.864,15.8452,15.7854
330,17.1098,16.4374,16.4158,16.2353,16.0736,16.0257
340,16.3087,16.2501,16.172,16.1599,15.982,15.8986
350,15.8872,15.7775,15.7295,15.6872,15.6669,15.5764
360,15.7284,15.5948,15.5235,15.5194,15.511,15.4673
370,16.1999,16.1929,16.0668,15.9202,15.7618,15.7323
380,16.6882,16.6223,16.0597,15.8652,15.6658,15.5952
390,15.8645,15.8635,15.825,15.7777,15.7413,15.7254
400,16.3347,16.0869,15.9288,15.9192,15.8003,15.7277
410,16.0591,15.8571,15.6692,15.5751,15.5727,15.4714
420,16.3338,16.2244,15.8924,15.7815,15.7407,15.662
430,16.0558,15.9696,15.9104,15.6906,15.6569,15.4599
440,16.0762,15.989,15.8474,15.8193,15.746,15.7268
450,16.0245,15.8263,15.7266,15.6725,15.6064,15.5772
460,15.7929,15.6723,15.4739,15.3379,15.3184,15.2867
470,15.4185,15.395,15.3708,15.2402,15.2074,15.1903
480,15.3224,15.272,15.2065,15.2043,15.1937,15.104
490,15.3549,15.2986,15.2415,15.2232,15.1298,15.1272
500,15.6426,15.5576,15.4597,15.43,15.4026,15.3855
510,15.6171,15.5442,15.4366,15.3472,15.3325,15.2363
520,16.2594,16.1727,15.5449,15.4765,15.4373,15.4249
530,15.7248,15.6614,15.4683,15.3647,15.2978,15.2738
540,15.6107,15.5686,15.5558,15.5365,15.4322,15.3844
550,16.0613,16.0213,16.002,15.9817,15.9491,15.9204
