ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.42348,-0.00456104,null,null,null
1.55893,null,-0.145712,null,null
1.58302,0.085231,null,null,null
1.86844,null,0.281362,null,null
1.55643,-0.330395,null,null,null
1.74926,null,-0.0158722,null,null
1.54293,-0.122199,null,null,null
1.80494,null,-0.72515,null,null
1.49455,-0.398064,null,null,null
1.44656,null,-1.29272,null,null
1.24891,-0.0436518,null,null,null
1.43534,null,-0.960595,null,null
1.60388,0.364013,null,null,null
1.40647,null,-0.873465,null,null
1.37385,0.432777,null,null,null
1.91611,null,-0.96912,null,null
1.62878,0.403967,null,null,null
1.55505,null,-0.70537,null,null
1.65816,0.242511,null,null,null
1.44782,null,-0.290961,null,null
1.71162,-0.011848,null,null,null
1.25399,null,-0.874875,null,null
1.71162,-0.011848,null,null,null
1.25399,null,-0.874875,null,null
1.71162,-0.011848,null,null,null
1.25399,null,-0.874875,null,null
1.56237,0.235739,null,null,null
0.92334,null,-0.233135,null,null
2.33741,0.10151,null,null,null
0.77585,null,-0.213004,null,null
2.41014,0.251695,null,null,null
1.07631,null,0.137245,null,null
1.77432,0.93383,null,null,null
1.02478,null,-0.205864,null,null
1.68674,1.0419,null,null,null
1.31574,null,-0.190329,null,null
1.8842,0.847645,null,null,null
1.81288,null,-0.60617,null,null
2.1295,0.75276,null,null,null
1.17434,null,-0.548075,null,null
1.65143,1.34716,null,null,null
0.793555,null,-0.795555,null,null
2.51107,1.47107,null,null,null
0.854955,null,-0.75936,null,null
2.61172,1.10868,null,null,null
0.80203,null,-0.609515,null,null
1.90434,1.62929,null,null,null
0.443268,null,-1.02963,null,null
2.07273,2.56316,null,null,null
0.56603,null,-0.88946,null,null
1.81882,1.97524,null,null,null
0.460779,null,-0.71517,null,null
2.0798,1.8157,null,null,null
0.61335,null,-0.900955,null,null
2.88908,2.05346,null,null,null
0.103213,null,-1.06559,null,null
2.53631,1.93615,null,null,null
-0.227498,null,-0.90095,null,null
2.77618,1.67116,null,null,null
-0.113426,null,-0.6992,null,null
2.77618,1.67116,null,null,null
-0.113426,null,-0.6992,null,null
2.77618,1.67116,null,null,null
-0.113426,null,-0.6992,null,null
2.77618,1.67116,null,null,null
-0.113426,null,-0.6992,null,null
2.38953,1.0541,null,null,null
-0.234262,null,-1.01866,null,null
2.11875,1.35067,null,null,null
-0.259397,null,-0.86438,null,null
1.71477,1.80992,null,null,null
-0.65391,null,-0.778495,null,null
1.9527,1.50825,null,null,null
-0.314974,null,-0.81203,null,null
1.2629,1.3945,null,null,null
-0.405214,null,-0.50106,null,null
1.69512,1.72751,null,null,null
-0.486987,null,-0.556295,null,null
1.28733,1.46643,null,null,null
-0.400673,null,-0.498447,null,null
1.60865,1.56652,null,null,null
-0.524705,null,-0.58512,null,null
1.90891,1.12486,null,null,null
-0.49548,null,-0.421133,null,null
1.80418,1.2295,null,null,null
-0.330981,null,-0.636135,null,null
2.259,0.855225,null,null,null
-0.446234,null,-0.697435,null,null
2.1875,1.22718,null,null,null
-0.259306,null,-0.83736,null,null
1.88499,1.38446,null,null,null
-0.292264,null,-0.446864,null,null
2.19767,1.36071,null,null,null
-0.310072,null,-0.433292,null,null
1.99198,1.40834,null,null,null
-0.225182,null,-0.493482,null,null
1.06566,2.03702,null,null,null
-0.170918,null,-0.424443,null,null
2.20236,3.06749,null,null,null
0.231958,null,-0.442792,null,null
1.49947,2.7961,null,null,null
-0.0318548,null,-0.364869,null,null
0.680315,3.65624,null,null,null
0.0148275,null,-0.380842,null,null
0.678835,3.01142,null,null,null
-0.093581,null,-0.348963,null,null
1.04882,3.45388,null,null,null
-0.0893395,null,-0.375985,null,null
1.92736,3.44232,null,null,null
-0.0651725,null,-0.423648,null,null
2.16283,3.38736,null,null,null
-0.079738,null,-0.444873,null,null
1.12379,2.98258,null,null,null
0.05792,null,-0.379086,null,null
1.07316,2.92983,null,null,null
-0.0467765,null,-0.523815,null,null
1.17151,3.32708,null,null,null
-0.077063,null,-0.57662,null,null
0.83117,3.79145,null,null,null
-0.261618,null,-0.634715,null,null
0.910385,3.3698,null,null,null
-0.161186,null,-0.727955,null,null
1.07766,3.43685,null,null,null
-0.195626,null,-0.562765,null,null
1.37661,4.35228,null,null,null
-0.060605,null,-0.586845,null,null
1.67864,3.56072,null,null,null
-0.227325,null,-0.67805,null,null
0.46177,3.58208,null,null,null
0.0667125,null,-0.758385,null,null
1.08922,4.25125,null,null,null
-0.108356,null,-0.845155,null,null
0.133374,4.38816,null,null,null
0.0828325,null,-0.636955,null,null
-1.72732,4.94545,null,null,null
-0.022932,null,-0.837425,null,null
-2.88434,4.05478,null,null,null
0.321624,null,-0.8907,null,null
-2.58467,3.59517,null,null,null
0.100376,null,-0.786145,null,null
