MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.268494,-0.18086,-0.000302138
2,0.385853,-0.19903,0.000379365
3,0.363562,-0.10451,-0.00142051
4,0.416459,-0.10082,0.000338699
5,0.415639,-0.06669,-0.00173706
6,0.401797,-0.0151,-0.00209784
7,0.414423,-0.04377,-0.00244092
8,0.37607,-0.00208,-0.00104246
9,0.397013,-0.0366,-0.000636094
10,0.38983,0.012807,-0.00160048
11,0.415107,-0.03429,-0.00192137
12,0.415107,-0.03429,-0.00192137
13,0.415107,-0.03429,-0.00192137
14,0.385124,0.009351,-0.00233369
15,0.413256,-0.0014,-0.00036861
16,0.405969,-0.01826,0.000535086
17,0.382713,0.013681,0.0019741
18,0.392048,-0.00208,0.00136876
19,0.414592,-0.00498,0.00325399
20,0.381954,0.02463,0.00229484
21,0.415855,-0.00202,0.00196552
22,0.435976,-0.0064,0.000729208
23,0.449924,0.007571,0.00232081
24,0.457685,-0.02007,0.00154829
25,0.426861,0.010346,-0.00146063
26,0.434923,0.006518,-2.37127e-05
27,0.443951,0.006647,0.0019664
28,0.416387,0.00061,-5.01942e-05
29,0.421247,0.003258,0.000290314
30,0.420266,-0.01169,-0.0028038
31,0.420266,-0.01169,-0.0028038
32,0.420266,-0.01169,-0.0028038
33,0.420266,-0.01169,-0.0028038
34,0.409281,0.016144,-0.000163958
35,0.404405,-0.00858,0.000920381
36,0.410659,-0.00498,0.000142449
37,0.408613,-0.00765,-0.00394251
38,0.416927,-0.00772,-0.000997621
39,0.41191,-0.00933,0.00127924
40,0.401144,0.009284,0.00119792
41,0.408588,-0.0229,-0.00100905
42,0.397546,0.000944,-0.00075483
43,0.380941,0.020236,-0.000456688
44,0.4071,-0.01328,0.00146563
45,0.409749,0.003281,0.000997438
46,0.40435,0.015016,-7.36403e-05
47,0.414178,-0.01093,-0.000157921
48,0.40051,-0.00347,0.00134725
49,0.402346,0.004038,0.00160572
50,0.43062,0.010205,-0.000366953
51,0.461271,-0.01023,-0.000219422
52,0.427743,0.013051,0.000103724
53,0.438288,0.006211,0.00107813
54,0.432226,0.001963,0.000439732
55,0.421959,0.016249,-0.00175094
56,0.413532,0.034769,0.000367185
57,0.441579,-0.01092,0.00146693
58,0.400759,0.036634,-0.00037827
59,0.42914,-0.00045,0.00342135
60,0.442304,-0.00757,-0.00173659
61,0.413597,0.009728,-0.000988447
62,0.408023,0.00613,-0.000900213
63,0.394725,0.020869,-0.000275208
64,0.435446,-0.02788,0.00326205
65,0.39536,0.023139,-0.000854674
66,0.424616,0.001722,6.58366e-05
67,0.409588,-0.00301,0.00336793
68,0.397847,-0.00121,-0.00120097
69,0.415852,-0.00073,-0.000471593
70,0.417987,0.004844,-0.00222153
71,0.39827,0.009701,0.0012128
72,0.432809,-0.0237,-0.00241907
73,0.432809,-0.0237,-0.00241907
74,0.408456,0.005882,0.000887981
75,0.435355,-0.0078,-0.00103712
76,0.419095,0.012318,-0.000739571
77,0.440116,-0.02274,0.00215256
78,0.415862,0.016818,0.00047305
79,0.401932,-0.00636,0.000704997
80,0.394738,0.008461,0.00153521
81,0.394738,0.008461,0.00153521
82,0.417091,0.010492,0.0025308
83,0.391215,-0.00164,0.00232356
84,0.391504,0.016774,-0.00204522
85,0.416161,0.003314,-0.000444777
86,0.417303,0.015343,0.00162254
87,0.42538,-0.00706,-0.000733504
88,0.430906,0.011142,0.00200875
89,0.451354,0.003902,0.00247608
90,0.43352,-0.00547,0.00164642
91,0.43352,-0.00547,0.00164642
92,0.417834,0.012631,-0.000122643
93,0.417834,0.012631,-0.000122643
94,0.410282,0.022691,0.00138272
95,0.426016,-0.00903,-0.00243606
96,0.426283,0.002456,0.00122383
97,0.414555,0.010377,-0.00139168
98,0.394438,0.007913,-0.00128447
99,0.414566,0.003991,-0.00145888
100,0.428372,-0.00548,0.00118286
101,0.428372,-0.00548,0.00118286
102,0.422094,0.014158,0.00186865
