ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.62694,0.0148592,null,null,null
0.610305,null,-0.0140103,null,null
0.54455,0.0291955,null,null,null
0.527175,null,0.0364297,null,null
0.55412,-0.0687315,null,null,null
0.50467,null,-0.0335884,null,null
0.485639,-0.051981,null,null,null
0.42003,null,-0.085164,null,null
0.419247,-0.0458255,null,null,null
0.386972,null,-0.198541,null,null
0.448768,-0.00523775,null,null,null
0.367287,null,-0.210193,null,null
0.448941,0.110342,null,null,null
0.413844,null,-0.206564,null,null
0.444175,0.110256,null,null,null
0.42826,null,-0.189102,null,null
0.467789,0.132697,null,null,null
0.380208,null,-0.113893,null,null
0.392344,0.131552,null,null,null
0.37897,null,-0.0494164,null,null
0.450439,0.0470103,null,null,null
0.318669,null,-0.0877215,null,null
0.450439,0.0470103,null,null,null
0.318669,null,-0.0877215,null,null
0.450439,0.0470103,null,null,null
0.318669,null,-0.0877215,null,null
0.384008,0.0828225,null,null,null
0.30821,null,-0.074619,null,null
0.44509,0.062817,null,null,null
0.286932,null,0.0147242,null,null
0.458419,0.092754,null,null,null
0.397801,null,0.119037,null,null
0.419322,0.0097675,null,null,null
0.367547,null,-0.0261689,null,null
0.390778,0.0645085,null,null,null
0.386147,null,-0.00587615,null,null
0.404697,0.0384604,null,null,null
0.409288,null,-0.086704,null,null
0.456498,0.080871,null,null,null
0.375774,null,-0.151033,null,null
0.392881,0.149481,null,null,null
0.329643,null,-0.226112,null,null
0.387007,0.158643,null,null,null
0.358791,null,-0.16253,null,null
0.404583,0.169821,null,null,null
0.405865,null,-0.210291,null,null
0.347708,0.203154,null,null,null
0.262137,null,-0.363407,null,null
0.356063,0.23569,null,null,null
0.297168,null,-0.304078,null,null
0.378883,0.253285,null,null,null
0.265767,null,-0.282577,null,null
0.396383,0.226218,null,null,null
0.185838,null,-0.334975,null,null
0.382103,0.217132,null,null,null
0.075145,null,-0.338399,null,null
0.379814,0.24491,null,null,null
0.0991685,null,-0.348576,null,null
0.360031,0.172349,null,null,null
0.095632,null,-0.302743,null,null
0.360031,0.172349,null,null,null
0.095632,null,-0.302743,null,null
0.360031,0.172349,null,null,null
0.095632,null,-0.302743,null,null
0.360031,0.172349,null,null,null
0.095632,null,-0.302743,null,null
0.383455,0.259896,null,null,null
0.098533,null,-0.337522,null,null
0.352838,0.328622,null,null,null
0.0465455,null,-0.380485,null,null
0.265869,0.334334,null,null,null
0.0329227,null,-0.337558,null,null
0.267891,0.312594,null,null,null
-0.0101446,null,-0.266618,null,null
0.220247,0.333312,null,null,null
-0.0854275,null,-0.259049,null,null
0.195252,0.37495,null,null,null
-0.0406595,null,-0.308113,null,null
0.224501,0.382352,null,null,null
-0.07905,null,-0.344386,null,null
0.291515,0.401894,null,null,null
-0.132653,null,-0.331234,null,null
0.262603,0.300837,null,null,null
-0.16331,null,-0.29466,null,null
0.249872,0.329043,null,null,null
-0.0128328,null,-0.34357,null,null
0.308708,0.2898,null,null,null
-0.0381173,null,-0.361527,null,null
0.292992,0.306389,null,null,null
0.056996,null,-0.36536,null,null
0.292175,0.329923,null,null,null
-0.081653,null,-0.330773,null,null
0.307631,0.296706,null,null,null
