MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.768553,0.000739333,0.675142,-0.0934111
20,	0.765788,-0.00497967,0.707297,-0.0584907
30,	0.765657,0.000668261,0.843018,0.0773604
40,	0.772521,-0.000813015,0.766012,-0.0065093
50,	0.764133,-4.26318e-05,0.769442,0.00530831
60,	0.767895,0.000260073,0.805369,0.0374742
70,	0.771018,-0.000728606,0.700486,-0.0705318
80,	0.769766,0.00163666,0.840086,0.0703192
90,	0.774019,-0.000209597,0.83828,0.0642612
100,	0.766699,0.000209929,0.770612,0.00391261
110,	0.763473,-0.00223445,0.712482,-0.0509913
120,	0.763683,0.000298864,0.743334,-0.0203487
130,	0.766267,-0.00103959,0.700658,-0.0656089
140,	0.771131,-0.00034329,0.70386,-0.0672712
150,	0.765678,0.00360711,0.726706,-0.0389721
160,	0.771121,-0.000366323,0.87847,0.107349
170,	0.768213,0.00113248,0.761694,-0.00651843
180,	0.768332,-0.00479464,0.727484,-0.0408477
190,	0.765848,-0.00161991,0.72462,-0.041228
200,	0.768965,-0.00385575,0.779332,0.0103668
210,	0.770526,-0.00593393,0.712532,-0.057994
220,	0.765856,0.00122401,0.766846,0.000989906
230,	0.768769,0.00353294,0.73929,-0.0294795
240,	0.768709,-0.000467829,0.767093,-0.0016164
250,	0.768068,0.00117975,0.772649,0.00458069
260,	0.771886,0.0040055,0.723907,-0.0479792
270,	0.769508,-0.000415131,0.695425,-0.074083
280,	0.765512,-0.00252914,0.805506,0.0399941
290,	0.768966,-0.00302627,0.746389,-0.0225766
300,	0.772058,0.00100487,0.815916,0.0438583
310,	0.770762,-0.000988262,0.718083,-0.0526785
320,	0.770303,-0.000113299,0.683211,-0.0870916
330,	0.764311,-0.00341237,0.804034,0.0397232
340,	0.77216,-0.00206598,0.637382,-0.134778
350,	0.766471,-0.000872754,0.730273,-0.0361974
360,	0.767279,-0.00134205,0.803226,0.0359475
370,	0.768815,0.00459378,0.714701,-0.0541132
380,	0.766268,-0.00181559,0.809504,0.0432361
390,	0.768944,-0.000130417,0.769717,0.000772171
400,	0.767723,-0.000496401,0.68984,-0.0778828
410,	0.772897,0.00106118,0.706562,-0.0663347
420,	0.770519,-0.00189763,0.808146,0.0376275
430,	0.768095,0.00220734,0.755185,-0.0129107
440,	0.772445,0.000397952,0.799852,0.0274063
450,	0.766661,-0.00134045,0.694912,-0.0717486
460,	0.761555,-0.00133786,0.736529,-0.0250262
470,	0.767147,0.00356968,0.762531,-0.0046163
480,	0.769942,0.00239737,0.70223,-0.0677116
490,	0.768155,0.00365651,0.817446,0.0492912
500,	0.771484,0.0036396,0.769758,-0.00172597
510,	0.770631,-0.00187294,0.768854,-0.00177706
520,	0.766157,0.000528044,0.730036,-0.0361219
530,	0.77067,0.00103568,0.753192,-0.017478
540,	0.764938,0.00324526,0.78166,0.0167225
550,	0.766468,-0.00338061,0.799945,0.0334777
560,	0.761714,0.00450397,0.668531,-0.0931827
570,	0.768125,-0.000392898,0.727637,-0.0404876
580,	0.77279,0.00115204,0.730206,-0.042584
590,	0.768217,0.00662398,0.787916,0.0196992
600,	0.768498,-0.0012196,0.786275,0.0177766
610,	0.762247,0.000909499,0.691859,-0.0703886
620,	0.76948,-0.00125541,0.697125,-0.0723558
630,	0.770699,0.00255879,0.682127,-0.0885723
640,	0.774006,-0.00246302,0.738086,-0.0359204
650,	0.766754,0.00074548,0.700492,-0.0662616
660,	0.768823,0.00331701,0.783425,0.0146021
670,	0.770947,-0.00616126,0.714668,-0.0562795
680,	0.773312,-0.00159598,0.760515,-0.012797
690,	0.767348,-0.00210655,0.735431,-0.0319175
700,	0.770674,-0.00242646,0.754974,-0.0157007
710,	0.766321,-0.000886494,0.755451,-0.0108708
720,	0.768671,0.00280309,0.725679,-0.0429916
730,	0.770066,0.000987636,0.768011,-0.00205582
740,	0.766886,0.00295979,0.734983,-0.0319022
750,	0.767127,0.00252429,0.753711,-0.0134158
760,	0.767616,-0.00200396,0.74747,-0.0201461
770,	0.768188,-0.00327575,0.72551,-0.0426783
780,	0.766148,0.000940605,0.814048,0.0478995
790,	0.762391,-0.00346342,0.817453,0.0550624
800,	0.769484,0.000485797,0.682629,-0.0868545
810,	0.763619,-0.00261469,0.721152,-0.0424678
820,	0.768043,-0.000947548,0.866537,0.098494
830,	0.768447,-0.00360942,0.728368,-0.0400799
840,	0.760137,0.000383672,0.68627,-0.073867
850,	0.763359,0.0047912,0.815211,0.0518517
860,	0.772785,0.00603046,0.732644,-0.0401412
870,	0.769635,0.00165505,0.789629,0.0199939
880,	0.769123,0.00145945,0.793655,0.024532
890,	0.769751,0.00193038,0.682645,-0.0871061
900,	0.769377,-0.0016547,0.733931,-0.0354464
910,	0.764514,-0.000834738,0.740223,-0.0242908
920,	0.764417,0.00153526,0.730307,-0.0341102
930,	0.770971,0.00267102,0.730938,-0.0400337
940,	0.763548,-0.000500705,0.773862,0.0103142
950,	0.767653,-0.00236167,0.70625,-0.0614031
960,	0.769525,-0.00336897,0.786869,0.0173439
970,	0.762245,-0.000956588,0.825364,0.0631184
980,	0.770293,0.00330184,0.747413,-0.0228803
990,	0.768461,-0.00277478,0.715382,-0.0530798
1000,	0.76615,-0.00294446,0.755842,-0.010308
1010,	0.765701,-0.000907999,0.66053,-0.105171
1020,	0.768814,-0.00206642,0.894521,0.125707
1030,	0.773628,0.000807025,0.77526,0.00163141
1040,	0.76902,-0.00228859,0.79228,0.0232606
1050,	0.770876,-0.000985229,0.78815,0.017274
1060,	0.766273,0.00702235,0.789681,0.0234083
1070,	0.769885,0.00261948,0.747677,-0.0222085
1080,	0.769814,0.000910897,0.761587,-0.00822711
1090,	0.764457,-0.0001157,0.791808,0.027351
1100,	0.772389,-0.00136772,0.723224,-0.0491652
1110,	0.766141,-0.00101581,0.723649,-0.0424923
1120,	0.772083,0.00193809,0.742586,-0.0294962
1130,	0.764427,-0.000109009,0.777983,0.0135558
1140,	0.765615,-0.00338437,0.730711,-0.0349038
1150,	0.769632,-0.001651,0.659776,-0.109856
1160,	0.769388,0.00106323,0.769381,-7.52627e-06
1170,	0.765524,0.00152835,0.823045,0.0575214
1180,	0.761888,0.00139213,0.820693,0.0588051
1190,	0.767352,0.00149524,0.79271,0.0253576
1200,	0.776686,0.00311868,0.787465,0.0107798
1210,	0.771689,-0.000174623,0.791324,0.0196345
1220,	0.764995,8.96243e-05,0.748267,-0.0167281
1230,	0.770851,-0.00137409,0.758709,-0.0121419
1240,	0.767876,-0.000701331,0.76901,0.0011344
1250,	0.768811,-0.00026026,0.695544,-0.0732669
1260,	0.769207,-0.00208273,0.827982,0.0587751
1270,	0.765267,0.000230246,0.728101,-0.0371659
1280,	0.767347,-9.31701e-05,0.752582,-0.0147647
1290,	0.762273,-0.00248063,0.70078,-0.0614929
1300,	0.768552,0.00416826,0.764509,-0.00404281
1310,	0.764036,0.000990501,0.743553,-0.020483
1320,	0.764984,-0.0033738,0.844211,0.0792277
1330,	0.760982,-0.000602698,0.782288,0.0213068
1340,	0.763648,-0.000248816,0.835705,0.0720571
1350,	0.768778,-0.00236522,0.76963,0.00085154
1360,	0.768862,0.00228761,0.854353,0.085491
1370,	0.766508,-0.00303605,0.716259,-0.0502494
1380,	0.767854,0.00460393,0.728687,-0.0391675
1390,	0.769684,-0.000118678,0.685097,-0.0845871
1400,	0.767059,0.003294,0.786113,0.0190547
1410,	0.765552,0.00234122,0.815923,0.0503715
1420,	0.77385,0.00178424,0.74572,-0.0281304
1430,	0.766532,0.00211062,0.708066,-0.0584658
1440,	0.774044,-0.0022521,0.683017,-0.091027
1450,	0.76965,-0.000768882,0.763152,-0.00649795
1460,	0.76785,0.00187035,0.763808,-0.0040428
1470,	0.767286,-0.000861382,0.815598,0.0483124
