MDTU,S_F
1,0.980218
2,0.99279
3,1.00374
4,0.999271
5,1.00398
6,1.00005
7,0.996389
8,1.00309
9,0.999817
10,0.999455
11,1.00126
12,1.0021
13,0.995369
14,1.00073
15,0.997305
16,0.999308
17,0.995901
18,1.00033
19,0.998276
20,0.994461
21,0.996084
22,0.999455
23,0.997377
24,1.00352
25,1.00099
26,0.996903
27,0.994722
28,0.994678
29,0.99697
30,1.00231
31,0.99848
32,1.00521
33,0.995951
34,1.0014
35,1.00003
36,1.00082
37,1.00028
38,1.0008
39,0.998537
40,0.994879
41,1.00275
42,1.00265
43,0.994007
44,1.00091
45,1.00275
46,0.997869
47,0.998504
48,1.00028
49,1.00123
50,0.998818
51,1.00051
52,1.00145
53,0.998049
54,0.996381
55,0.998712
56,0.99847
57,0.99804
58,0.995634
59,0.995423
60,1.00127
61,1.00105
62,1.00299
63,0.999337
64,0.998018
65,0.999158
66,0.99533
67,0.998738
68,1.00421
69,1.00026
70,0.99653
71,1.00058
72,1.00573
73,1.00236
74,0.999656
75,1.00062
76,1.0033
77,1.00401
78,0.997359
79,1.00142
80,1.00115
81,1.00627
82,0.995841
83,0.997981
84,0.999177
85,1.00225
86,0.999728
87,0.993773
88,0.999923
89,0.997589
90,1.00113
91,0.996252
92,1.00155
93,1.00046
94,1.00005
95,1.00117
96,1.00015
97,1.00442
98,1.0004
99,0.999752
100,1.00074
101,1.00165
102,1.00071
103,1.00096
104,0.99705
105,1.00117
106,0.998339
107,1.00124
108,1.00224
109,0.995961
110,0.998801
111,0.997828
112,0.996883
113,0.999271
114,0.993984
115,0.999851
116,1.00183
117,0.998981
118,1.00211
119,1.00088
120,0.99846
121,1.00581
122,0.998044
123,0.999504
124,0.998645
125,1.00069
126,0.998845
127,0.999801
128,0.997929
129,0.998279
130,1.00228
131,1.00122
132,1.00154
133,1.00074
134,1.00041
135,0.996973
136,1.00857
137,0.999814
138,0.995722
139,1.00454
140,0.999572
141,1.00005
142,1.00116
143,0.998402
144,1.00088
145,0.998481
146,1.00069
147,1.00416
148,1.00187
149,1.00188
150,1.00061
151,0.997904
152,0.997277
153,1.00697
154,1.00169
155,1.00401
156,0.999962
157,0.999317
158,0.996252
159,1.0019
160,0.99814
161,1.00461
162,0.996329
163,0.995317
164,0.99838
165,0.997373
166,1.00343
167,1.00111
168,1.00224
169,0.99476
170,1.00065
171,1.00177
172,1.0022
173,0.998064
174,1.00027
175,1.0011
176,0.99626
177,1.00128
178,0.993839
179,0.998379
180,0.999458
181,0.997819
182,0.997869
183,0.996456
184,0.998938
185,0.99744
186,1.00146
187,1.00392
188,0.997717
189,0.996339
190,1.00016
191,0.997381
192,0.999008
193,0.998502
194,0.996212
195,1.00171
196,1.00112
197,0.996133
198,0.998727
199,0.995741
200,0.997604
201,0.996624
202,0.997353
203,0.998236
204,1.00076
205,1.00027
206,0.999352
207,1.00072
208,0.998048
209,0.999767
210,0.995859
211,1.00129
212,1.00349
213,1.00412
214,0.999455
215,1.00386
216,1.00155
217,0.997604
218,0.998094
219,1.00223
220,0.998414
221,0.997325
222,1.00454
223,0.999263
224,1.00225
225,1.00527
226,1.00273
227,0.994089
228,0.99916
229,1.00039
230,0.999783
231,1.00044
232,1.00078
233,0.998023
234,0.999585
235,0.998783
236,0.996777
237,0.996776
238,1.00295
239,1.00179
240,1.0005
241,1.00124
242,0.998022
243,1.00125
244,0.997246
245,0.998486
246,0.993686
247,1.00385
248,1.00467
249,1.00037
250,0.995533
251,1.00133
252,1.00031
253,1.00211
254,1.00362
255,1.00159
256,1.0011
257,0.993762
258,0.998226
259,0.999927
260,1.00166
261,0.997379
262,0.998915
263,1.00267
264,0.99822
265,1.00065
266,0.998281
267,0.997409
268,0.99452
269,0.998063
270,1.004
271,0.998979
272,1.00041
273,0.999232
274,0.998635
275,0.998348
276,0.99806
277,1.00607
278,1.00025
279,1.0019
280,0.999012
281,1.00153
282,1.00529
283,1.00233
284,0.999982
285,1.00006
286,1.00285
287,1.00189
288,1.00007
289,1.00062
290,0.999326
291,1.00136
292,1.00037
293,1.00046
294,1.00252
295,1.00224
296,1.00113
297,1.00191
298,0.994593
299,1.0001
300,0.997689
301,1.00202
302,1.00239
303,0.99729
304,1.00293
305,0.998556
306,0.998075
307,1.00335
308,1.00091
309,1.0035
310,1.00034
311,0.996911
312,1.00383
313,0.99976
314,1.00252
315,0.999824
316,1.00248
317,0.993395
318,1.00615
319,1.00512
320,1.00437
321,0.99825
322,1.00255
323,1.00235
324,0.999984
325,1.00091
326,0.997226
327,0.997948
328,1.00002
329,1.00009
330,1.00206
331,0.999018
332,0.996593
333,0.999949
334,0.998921
335,1.0057
336,1.00138
337,0.998998
338,1.00003
339,1.00143
340,1.00417
341,1.00298
342,0.998133
343,1.00241
344,0.999738
345,1.00391
346,0.995032
347,1.00543
348,1.00165
349,0.999181
350,1.00205
351,1.00209
352,0.998097
353,0.996947
354,1.00076
355,1.0009
356,0.999818
357,0.996772
358,0.99912
359,1.00307
360,0.99406
361,1.00752
362,0.999605
363,1.00111
364,0.998102
365,1.00257
366,0.999153
367,1.00089
368,0.999704
369,0.995831
370,1.00043
371,0.99452
372,0.999224
373,1.00017
374,0.998726
375,1.00263
376,0.999831
377,1.00177
378,1.00047
379,0.999747
380,1.00298
381,0.999037
382,1.0036
383,1.00305
384,0.998096
385,0.998953
386,1.00082
387,0.996271
388,1.00498
389,1.00019
390,1.00089
391,0.997571
392,0.999465
393,0.998535
394,0.999759
395,1.00188
396,0.999939
397,0.999368
398,0.999529
399,1.00245
400,1.00355
401,1.00538
402,0.999456
403,1.00006
404,0.997407
405,1.00304
406,0.999411
407,0.999873
408,1.00546
409,0.998763
410,0.998483
411,0.996274
412,0.99964
413,1.00286
414,0.997333
415,1.00475
416,1.00151
417,1.00188
418,1.00252
419,0.996823
420,0.999552
421,1.00162
422,1.00255
423,0.996495
424,1.00352
425,0.995095
426,0.999817
427,1.00537
428,0.996693
429,1.00377
430,1.00154
431,0.999676
432,1.00193
433,1.00212
434,0.999467
435,1.00247
436,0.995013
437,1.00323
438,0.996613
439,0.99686
440,1.00354
441,1.00482
442,1.002
443,1.00733
444,0.997707
445,0.99959
446,0.999089
447,1.00284
448,0.998882
449,1.00334
450,0.997502
451,0.994815
452,0.998313
453,1.00239
454,1.00132
455,0.999433
456,0.99726
457,1.00288
458,1.00401
459,0.999821
460,1.00186
461,0.998607
462,1.0027
463,0.998706
464,0.998973
465,1.00212
466,1.00122
467,0.998909
468,1.00204
469,0.998781
470,1.00107
471,0.999891
472,0.997685
473,1.00179
474,0.999727
475,0.999921
476,0.999676
477,1.00367
478,1.00005
479,0.999383
480,1.00489
481,0.997712
482,0.99888
483,1.00014
484,0.999443
485,1.00059
486,0.995586
487,0.996017
488,0.99789
489,0.99977
490,0.999673
491,1.00416
492,1.00053
493,0.997645
494,1.00112
495,1.00358
496,1.00645
497,0.998067
498,0.999161
499,0.998042
500,1.00283
501,1.00029
502,1.00699
503,1.00138
504,0.997905
505,1.00096
506,1.00144
507,0.998223
508,0.998259
509,1.00383
510,0.998006
511,0.998782
512,0.994164
513,0.998304
514,1.00217
515,1.0057
516,0.999645
517,1.00099
518,0.998145
519,0.998103
520,1.0033
521,0.99817
522,0.999433
523,1.00708
524,0.999668
525,1.00338
526,1.00125
527,1.0014
528,1.00335
529,1.00665
530,0.997936
531,0.997615
532,0.999971
533,0.998566
534,0.998247
535,0.998419
536,0.996015
537,0.999478
538,0.999632
539,1.0071
540,0.997681
541,1.00173
542,0.999848
543,0.997235
544,1.00149
545,0.999473
546,0.994334
547,0.998491
548,0.999086
549,1.0008
550,1.00442
551,1.00208
552,0.996171
553,0.999558
554,0.999225
555,0.999149
556,1.00513
557,0.997146
558,1.00355
559,0.998605
560,1.00042
561,0.993375
562,0.999152
563,1.00319
564,0.99437
565,1.00096
566,1.00186
567,0.998401
568,1.00447
569,1.0007
570,1.00221
571,1.00087
572,0.996609
573,0.990116
574,1.00116
575,1.00073
576,0.992795
577,1.00103
578,0.997262
579,0.998807
580,0.999521
581,1.0007
582,1.00323
583,1.00377
584,1.00075
585,1.00283
586,0.998786
587,1.00065
588,0.99743
589,0.996752
590,1.00341
591,0.997222
592,0.999686
593,1.00228
594,1.00633
595,1.00226
596,1.00187
597,1.00033
598,0.996304
599,1.00204
600,1.0043
601,0.997618
602,0.998768
603,0.999102
604,0.993755
605,0.996495
606,1.00004
607,1.0017
608,1.00124
609,0.999722
610,0.998066
611,0.995627
612,1.0019
613,0.999581
614,0.998289
615,0.998018
616,0.995477
617,0.996807
618,1.0005
619,0.999694
620,0.999609
621,1.00103
622,1.00207
623,0.99671
624,0.997076
625,0.997047
626,0.997038
627,1.00351
628,0.998729
629,1.00525
630,1.00111
631,1.00225
632,0.999254
633,1.00035
634,1.00469
635,0.999994
636,1.00295
637,0.99876
638,0.999369
639,0.996919
640,1.00187
641,1.00551
642,0.998703
643,1.00155
644,1.00394
645,0.999954
646,1.00025
647,0.99399
648,0.999693
649,0.996239
650,1.00683
651,0.996214
652,1.00214
653,1.00238
654,1.00006
655,1.00396
656,1.0004
657,0.997037
658,1.00138
659,1.00105
660,0.997663
661,1.00368
662,0.999133
663,0.999504
664,0.995601
665,1.00347
666,1.0035
667,1.00497
668,1.00288
669,1.00155
670,0.997476
671,1.00132
672,1.00124
673,0.999272
674,0.999752
675,1.00541
676,1.00246
677,1.00061
678,0.996848
679,0.997935
680,0.995063
681,1.00157
682,1.00284
683,1.00048
684,0.999453
685,0.997597
686,0.99857
687,0.997063
688,0.99469
689,0.99706
690,0.997708
691,0.997982
692,1.00036
693,0.99846
694,0.997903
695,0.997654
696,0.998831
697,0.998067
698,1.00129
699,1.00408
700,0.999338
701,1.0011
702,1.00057
703,0.997751
704,1.00402
705,1.00184
706,1.00055
707,0.998464
708,1.00261
709,0.999324
710,0.998365
711,0.999135
712,0.997602
713,0.99787
714,1.00284
715,0.995222
716,1.00453
717,0.993872
718,1.003
719,1.00052
720,1.00067
721,1.0018
722,0.997944
723,0.998051
724,0.997264
725,1.0048
726,0.995854
727,1.00004
728,1.00384
729,1.00303
730,0.998898
731,0.997258
732,1.00125
733,0.996841
734,1.0006
735,0.998837
736,1.00242
737,0.997353
738,0.999523
739,0.997818
740,1.00228
741,0.991873
742,0.999898
743,0.998843
744,1.00125
745,1.00106
746,1.00116
747,1.00206
748,1.00227
749,0.998872
750,0.998098
751,1.00434
752,0.995465
753,0.999608
754,1.00355
755,1.00188
756,0.998439
757,1.00524
758,0.998558
759,0.996454
760,1.00328
761,0.994309
762,0.997552
763,0.999155
764,1.00237
765,0.997135
766,0.997667
767,1.00165
768,1.00314
769,0.998866
770,1.0014
771,1.00369
772,0.997785
773,0.997703
774,1.00211
775,1.00244
776,1.00122
777,0.99799
778,1.00372
779,1.00005
780,1.00258
781,1.00113
782,1.00113
783,1.003
784,1.00083
785,0.999836
786,0.994654
787,1.00199
788,0.997306
789,0.995996
790,1.00048
791,0.998686
792,0.999747
793,1.00366
794,1.00289
795,1.00018
796,0.998779
797,0.999534
798,1.00057
799,1.00057
800,0.99974
801,0.994834
802,0.994973
803,1.00191
804,1.00351
805,1.00546
806,0.998119
807,1.00436
808,0.998318
809,0.994765
810,1.00414
811,0.992675
812,1.00552
813,0.999671
814,1.00257
815,1.00033
816,0.997795
817,1.00511
818,0.999955
819,1.00334
820,1.00216
821,1.00019
822,0.995672
823,1.00102
824,0.999055
825,1.00195
826,1.00197
827,0.997936
828,1.00697
829,0.999078
830,1.00029
831,0.995529
832,1.00389
833,0.99832
834,0.999579
835,0.999558
836,1.0023
837,0.999242
838,1.001
839,1.00223
840,0.997441
841,0.997051
842,0.997435
843,0.998016
844,0.998443
