t,walltime
10,30.61
20,34.46
30,33.84
40,36.81
50,41.26
60,35.72
70,34.7
80,32.8
90,32.51
100,32.85
110,33.88
120,33.65
130,32.57
140,32.15
150,34.7
160,35.1
170,32.83
180,31.07
190,34.66
200,36.9
210,38.37
220,44.11
230,35.69
240,39.02
250,40.53
260,51.97
270,48.48
280,41.9
290,38.11
300,40.87
310,36.48
320,39.14
330,38.42
340,33.67
350,33.59
360,34.97
370,34.31
380,33.08
390,33.92
400,32.39
410,32.18
420,30.65
430,29.95
440,30.74
450,32.7
460,32.55
470,31.35
480,32.05
490,34.62
500,34.57
510,32.98
520,30.93
530,30.12
540,30.41
550,30.45
560,31.12
570,32.92
580,32.14
590,30.81
600,28.43
610,27.52
620,28.18
630,28.74
640,28.75
650,28.82
660,28.18
670,28.34
680,28.46
690,28.68
700,29.7
710,29.23
720,28.77
730,28.82
740,28.72
750,27.81
760,28.27
770,28.58
780,28.43
790,28.58
800,29.26
810,29
820,30.75
830,31.39
840,31.24
850,31.13
860,32.47
870,32.57
880,32.78
890,33.76
900,36.29
910,36.85
920,37.97
930,36.69
940,34.62
950,35.42
960,34.84
970,32.86
980,33.75
990,32.62
1000,32.77
1010,34.01
1020,32.33
1030,32.34
1040,32.2
1050,31.85
1060,32.06
1070,31.71
1080,31.21
1090,30.34
1100,30.7
1110,31.77
1120,33.83
1130,32.7
1140,34.56
1150,32.57
1160,34.39
1170,34.84
1180,34.72
1190,34.79
1200,35.34
1210,37.18
1220,39.52
1230,36.52
1240,35.06
1250,35.94
1260,34.97
1270,36.12
1280,38.7
1290,38.05
1300,35.8
1310,34.98
1320,33.6
1330,35.68
1340,42.18
1350,41.86
1360,41.61
1370,39.9
1380,38.76
1390,42.43
1400,40.97
1410,38.82
1420,37.91
1430,40.1
1440,39.14
1450,41.73
1460,44.1
1470,50.38
1480,47.59
1490,40.3
1500,42.26
1510,40.13
1520,41.34
1530,37.82
1540,35.97
1550,33.85
1560,35.59
1570,33.14
1580,36.54
1590,37.13
1600,37.4
1610,42.88
1620,45.89
1630,41.49
1640,45.3
1650,36.4
1660,33.02
1670,32.19
1680,30.09
1690,30.1
1700,30.93
1710,28.49
1720,28.33
1730,28.1
1740,27.93
1750,28.26
1760,29.62
1770,30.82
1780,29.43
1790,29.74
1800,28.59
1810,28.52
1820,28.68
1830,29.25
1840,29.58
1850,28.61
1860,28.77
1870,28.46
1880,29.77
1890,29.54
1900,29.74
1910,29.52
1920,29.51
1930,29.59
1940,29.01
1950,28.13
1960,30.03
1970,30.87
1980,30.68
1990,32.41
2000,33.45
2010,32.58
2020,35.57
2030,35.63
2040,38.01
2050,43.61
2060,36.56
2070,34.59
2080,35.61
2090,32.75
2100,40.57
2110,38.13
2120,38.11
2130,37.98
2140,32.93
2150,32.7
2160,32.74
2170,31.98
2180,30.75
2190,30.74
2200,31.46
2210,30.42
2220,29.88
2230,30.82
2240,29.77
2250,29.79
2260,29.58
2270,30.29
2280,30.61
2290,30.49
2300,31.59
2310,33.66
2320,35.05
2330,39.96
2340,38.44
2350,33.79
2360,33.43
2370,30.34
2380,32.2
2390,32.1
2400,31.93
2410,34.84
2420,33.42
2430,32.66
2440,29.91
2450,28.79
2460,31.74
2470,30.82
2480,31.02
2490,32.4
2500,33.13
2510,34.63
2520,36.49
2530,34.14
2540,35.35
2550,35.62
