MDTU,susyTrans,Im(bilin)
10,-0.0830122,0.00074549
20,-0.096277,-0.000963656
30,0.0227541,-0.000749897
40,-0.0475144,-0.00366787
50,-0.00480258,0.00360762
60,0.0385189,0.00498748
70,-0.0216568,0.00110523
80,-0.0443589,-0.00320242
90,0.00393925,0.0033781
100,0.0213026,0.00399593
110,-0.0719396,-0.0022219
120,-0.0289702,0.0020821
130,0.0429882,0.000409592
140,-0.0568831,0.000540361
150,0.0125147,-0.00252742
160,0.0326793,0.000738456
170,0.0382032,0.000442341
180,0.0107924,-0.00334099
190,0.0279692,-0.0011158
200,-0.0159281,0.00148817
210,-0.0445174,-0.00161434
220,-0.0736911,-0.00116714
230,0.0443466,0.00288718
240,-1.66421e-05,0.00203139
250,-0.0499277,0.00214616
260,-0.043627,-0.000835936
270,-0.00772358,0.00264959
280,-0.0489699,0.00100658
290,0.01376,0.0023459
300,-0.00218935,-0.00305084
310,-0.0230057,-0.000770406
320,0.0285674,-0.00086776
330,-0.00488675,0.00142973
340,-0.0405548,-0.0017844
350,-0.0229535,-0.00316084
360,-0.00428035,0.000818764
370,-0.0254063,0.000245555
380,0.0776932,-0.00167295
390,-0.0328839,0.00131125
400,0.017739,0.00237474
410,-0.0542712,0.00104902
420,0.00011597,0.00568453
430,0.0294287,0.00743199
440,0.0508186,-0.000441326
450,-0.0246001,-0.00265901
460,-0.0271053,-0.00202974
470,0.0290702,-0.00212115
480,-0.0445687,0.00305617
490,0.0472323,0.00300711
500,-0.0126537,0.00157388
510,0.0166894,0.000979927
520,0.0172695,0.00143504
530,0.0279673,0.00304523
540,0.0296069,-0.00267049
550,0.0315217,0.000802028
560,-0.0633822,0.00100205
570,-0.104485,-0.000500506
580,-0.0249164,0.00112689
590,-0.00517711,-3.04985e-05
600,0.041576,-0.00154718
610,0.00420658,-0.00395682
620,-0.00430943,0.002319
630,-0.0254031,-0.000196702
640,0.0418836,-0.000339541
650,0.0376255,-0.00492007
660,0.0520768,-0.000834083
670,-0.123921,-0.000214075
680,0.00125264,-0.000903993
690,0.00938927,-0.00737173
700,-0.0102628,0.00465266
710,-0.0337772,-7.4524e-05
720,0.0714184,0.000452967
730,-0.0596061,0.00295362
740,0.00579234,-0.000428462
750,0.0450099,0.00174407
760,-0.005844,-0.0014151
770,0.0523544,0.000560715
780,0.00998376,0.00157755
790,-0.0110582,2.39073e-05
800,0.0185736,0.00307435
810,-0.0215588,0.00117841
820,0.00143118,0.00379595
830,-0.0199429,5.86059e-05
840,0.00360765,-0.00213759
850,-0.0147489,-0.00408822
860,0.0149433,-0.00448991
870,0.0296756,0.00363929
880,-0.0738006,0.00322876
890,-0.0993127,-4.22738e-05
900,-0.126158,0.00234343
910,-0.0303545,-0.000187962
920,0.00652078,-0.000789342
930,-0.0515375,-0.000862821
940,-0.00362956,-0.00331069
950,0.0200658,0.00412997
960,-0.0110612,0.00296449
970,0.0256456,-0.0041086
980,-0.0411457,-0.00265573
990,0.0054833,0.000496569
1000,0.0289387,0.00205675
1010,-0.0254728,0.000577523
1020,-0.0475504,-0.000160746
1030,-0.0709972,-0.00499196
1040,0.0153148,0.000768402
1050,0.0586877,-0.000131622
1060,0.0181996,0.000129256
1070,0.0192017,0.00162471
1080,0.000756779,0.00284464
1090,-0.0135953,-0.00321086
1100,0.00614545,0.000451858
1110,-0.0252787,0.00341826
1120,-0.0157417,-0.00715171
1130,0.00169488,0.00197663
1140,-0.0624713,0.00172395
1150,-0.0370647,0.00215734
1160,-0.0671387,-0.000456673
1170,0.0397874,-0.000281461
1180,0.0462647,-0.00219269
1190,-0.00247389,0.00120494
1200,0.0387306,-0.0010677
