t,cg_iters
1,5008
2,7062
3,7785
4,8313
5,8526
6,9128
7,8746
8,8175
9,7886
10,8505
11,6652
12,6422
13,6282
14,6373
15,5972
16,5780
17,5851
18,6028
19,5833
20,5301
21,5699
22,5911
23,5879
24,6136
25,5753
26,5596
27,5526
28,5470
29,5273
30,5352
31,5299
32,5458
33,5796
34,5723
35,5418
36,5223
37,5356
38,5514
39,5313
40,5349
41,5732
42,5641
43,5724
44,6098
45,6077
46,6160
47,6340
48,6106
49,5471
50,5722
51,5561
52,5929
53,5883
54,5280
55,5328
56,5492
57,5345
58,5074
59,5169
60,5275
61,5383
62,5296
63,5242
64,5162
65,5104
66,5185
67,5386
68,5270
69,5186
70,4964
71,5297
72,5836
73,5927
74,5760
75,5125
76,5048
77,5180
78,5548
79,5341
80,5205
81,5051
82,5004
83,4982
84,5083
85,4933
86,5089
87,5054
88,5412
89,5233
90,4921
91,4958
92,5270
93,5441
94,5345
95,5456
96,5536
97,5259
98,5516
99,5739
100,6404
101,6626
102,6045
103,5864
104,5903
105,5660
106,4996
107,4983
108,5087
109,5334
110,5257
111,4965
112,4726
113,4711
114,4858
115,4772
116,4797
117,4897
118,4697
119,4533
120,4592
121,4711
122,4624
123,4608
124,4674
125,4779
126,4784
127,4669
128,4745
129,4867
130,4710
131,4528
132,4490
133,4542
134,4550
135,4508
136,4637
137,4517
138,4628
139,4806
140,4885
141,5078
142,5148
143,5334
144,5191
145,4993
146,5040
147,4946
148,4893
149,5035
150,4819
151,4827
152,5049
153,5332
154,5405
155,5517
156,5778
157,5706
158,5574
159,5593
160,5860
161,5681
162,5409
163,5536
164,5883
165,5712
166,5440
167,5146
168,5814
169,5811
170,5793
171,5647
172,6014
173,5852
174,5749
175,5648
176,5701
177,5795
178,6044
179,5797
180,5832
181,6009
182,6354
183,6125
184,5511
185,5589
186,5263
187,5166
188,5419
189,5551
190,5637
191,5507
192,5238
193,4982
194,4932
195,5030
196,5194
197,5033
198,4979
199,5016
200,5059
201,4866
202,5007
203,5030
204,5017
205,5145
206,5352
207,5206
208,5199
209,5339
210,5519
211,5556
212,5483
213,5482
214,5531
215,5674
216,5304
217,5755
218,6089
219,6062
220,6372
221,5928
222,5783
223,6029
224,6095
225,5540
226,5537
227,5781
228,5660
229,5598
230,5821
231,5828
232,5893
233,5747
234,5569
235,5907
236,6498
237,6129
238,5809
239,5564
240,5596
241,5769
242,5818
243,5876
244,5940
245,5572
246,5556
247,5850
248,5792
249,5988
250,5958
251,6006
252,5853
253,5805
254,5813
255,5722
256,5610
257,5693
258,5856
259,5779
260,5381
261,5152
262,5219
263,5068
264,5149
265,5323
266,5244
267,5154
268,4877
269,4900
270,5155
271,5008
272,4898
273,4838
274,4852
275,4818
276,4955
277,5052
278,5044
279,5191
280,5225
281,4819
282,5052
283,5328
284,4935
285,4824
286,4765
287,4982
288,5040
289,5122
290,5045
291,5114
292,5249
293,5141
294,5177
295,5084
296,5177
297,5613
298,5372
299,4964
300,5108
301,4951
302,5288
303,4969
304,5093
305,5221
306,4961
307,5039
308,4977
309,4774
310,4855
311,5038
312,5221
313,5302
314,5325
315,5384
316,5726
317,5413
318,5570
319,5220
320,5069
321,5241
322,5121
323,5182
324,5094
325,4893
326,5010
327,4966
328,5212
329,5206
330,5151
331,5296
332,5233
333,5311
334,5377
335,5124
336,5174
337,5151
338,5180
339,5156
340,4937
341,5211
342,5170
343,5176
344,5012
345,5109
346,5194
347,5272
348,5183
349,5334
350,5386
351,5560
352,5284
353,5259
354,5333
355,5472
356,5939
357,5917
358,6004
359,5699
360,5430
361,5116
362,5071
363,5060
364,5229
365,4809
366,4641
367,4748
368,4745
369,4688
370,4890
371,5121
372,5091
373,5002
374,5006
375,5260
376,5776
377,5839
378,6693
379,6948
380,7359
381,6984
382,6522
383,5819
384,5745
385,5516
386,5270
387,5232
388,5366
389,5457
390,5143
391,5136
392,5159
393,4996
394,5078
395,5318
396,5070
397,4835
398,4819
399,4680
400,4608
401,4638
402,4618
403,4580
404,4587
405,4679
406,4647
407,4643
408,4618
409,4555
410,4619
411,4649
412,4619
413,4535
414,4570
415,4542
416,4622
417,4778
418,4619
419,4511
420,4648
421,4599
422,4673
423,4755
424,4830
425,4737
426,4682
427,4670
428,4608
429,4639
430,4560
431,4634
432,4626
433,4688
434,4714
435,4709
436,4715
437,4729
438,4793
439,4816
440,4748
441,4721
442,4836
443,4975
444,5033
445,5065
446,5136
447,4819
448,4642
449,4665
450,4724
451,4733
452,4679
453,4823
454,4849
455,4900
456,4784
457,4725
458,4668
459,4745
460,4792
461,4750
462,4790
463,4812
464,4781
465,4879
466,4813
467,4819
468,4881
469,4934
470,4839
471,4916
472,4805
473,4826
474,4904
475,4828
476,4878
477,4934
478,4960
479,5076
480,4810
481,4875
482,4812
483,4893
484,5028
485,4912
486,4963
487,4875
488,4922
489,4927
490,5020
491,4784
492,4915
493,4963
494,4867
495,4938
496,4762
497,4877
498,4995
499,5000
500,4901
501,4795
502,4735
503,4711
504,4886
505,4828
506,4888
507,4818
508,4871
509,4788
510,4764
511,4949
512,4885
513,4782
514,4789
515,4717
516,4860
517,4903
518,4993
519,4940
520,5113
521,5000
522,4880
523,4878
524,4687
525,4869
526,5031
527,4802
528,4720
529,4985
530,4941
531,4909
532,4822
533,4997
534,4911
535,4860
536,4828
537,4997
538,4946
539,4783
540,4964
541,4891
542,5006
543,5023
544,4996
545,4807
546,4985
547,5131
548,5063
549,5135
550,5077
551,5253
552,5186
553,5127
554,5094
555,5113
556,5087
557,5148
558,5097
559,5135
560,5150
561,4951
562,5026
563,5160
564,5093
565,4969
566,5084
567,5275
568,5277
569,5283
570,5487
571,5471
572,5708
573,5909
574,5590
575,5217
576,5536
577,5690
578,5967
579,5975
580,5671
581,5716
582,5756
583,5576
584,5558
585,5703
586,6349
587,6404
588,6142
589,5994
590,5983
591,5423
592,5313
593,5432
594,5736
595,5749
596,5490
597,5320
598,5383
599,5478
600,5368
601,5304
602,5317
603,5333
604,5275
605,5467
606,5627
607,5658
608,5367
609,5346
610,5483
611,5541
612,5529
613,5481
614,5525
615,5508
616,5775
617,5623
618,5544
619,5357
620,5343
621,5210
622,5108
623,5207
624,5413
625,5347
626,5175
627,5141
628,5090
629,5334
630,5540
631,5456
632,5693
633,5816
634,5796
635,5372
636,5214
637,5348
638,5985
639,6353
640,5864
641,5684
642,6071
643,6169
644,6104
645,5974
646,5972
647,6525
648,6869
649,6779
650,6536
651,6952
652,7776
653,8088
654,7858
655,7927
