ReTr(L),ImTr(L)
0.665145,-0.0067163
0.51067,-0.081815
0.412662,-0.0133897
0.413309,-0.051597
0.402098,-0.059921
0.379602,0.063147
0.396338,0.078155
0.367739,0.124025
0.383711,0.100961
0.392572,0.0889395
0.435453,0.083439
0.435453,0.083439
0.435453,0.083439
0.390392,0.131506
0.377576,0.201736
0.410647,0.19127
0.409931,0.111099
0.395263,0.0484652
0.425194,0.070888
0.399651,0.0386365
0.399776,0.00340082
0.388472,0.0327216
0.344204,0.0533545
0.352602,0.191491
0.367255,0.255878
0.31199,0.333207
0.323076,0.25159
0.340718,0.278839
0.309414,0.322176
0.294892,0.368883
0.294892,0.368883
0.294892,0.368883
0.294892,0.368883
0.258445,0.277842
0.3309,0.327219
0.365835,0.288861
0.382682,0.212035
0.342228,0.227597
0.370981,0.233719
0.388196,0.259379
0.422335,0.203811
0.390267,0.142574
0.407159,0.089478
0.345272,0.126832
0.367894,0.134737
0.367951,0.103251
0.394286,0.100512
0.437179,0.118155
0.386782,0.128663
0.333164,0.21361
0.324356,0.155095
0.383856,0.152756
0.412642,0.120927
0.426799,0.0180365
0.443995,-0.027251
0.43586,-0.225419
0.452889,-0.145783
0.392383,-0.216036
0.388165,-0.20815
0.438414,-0.137909
0.377987,-0.107406
0.422189,-0.0512385
0.437069,-0.051935
0.472492,-0.117888
0.427959,-0.0930675
0.391313,-0.081282
0.413386,-0.100708
0.376908,-0.117404
0.492337,-0.0618355
0.479832,0.079474
0.41648,0.00345688
0.416365,0.0381935
0.416365,0.0381935
0.387865,0.00254332
0.483551,-0.00613965
0.464326,0.0140376
0.358418,-0.0484304
0.380295,-0.083524
0.345056,0.0146164
0.345594,0.0061733
0.329888,0.0371601
0.329888,0.0371601
0.372583,0.00540305
0.36593,0.0087302
0.380315,-0.0846045
0.435556,-0.0482125
0.404643,-0.00365651
0.32318,-0.0161404
0.397249,-0.0211771
0.354428,-0.00689945
0.363617,0.0463744
0.364133,0.0474964
0.329306,0.067511
0.315628,0.047788
0.249162,0.0363576
0.302972,-0.0913595
0.203933,-0.0657625
0.21154,-0.0472214
0.149089,-0.119714
0.165021,-0.050422
0.145114,-0.0328242
0.0402807,-0.0289214
0.053,-0.0609935
0.114838,-0.079234
0.21042,-0.138203
0.213599,-0.139263
0.262231,-0.150236
0.245639,-0.176536
0.199759,-0.250478
0.245529,-0.229273
0.18524,-0.293737
0.126312,-0.24108
0.104406,-0.235982
0.0318312,-0.219921
0.0449322,-0.209167
0.0398083,-0.230527
-0.00667,-0.171509
0.0233835,-0.298549
0.0233835,-0.298549
0.00315211,-0.377422
0.0361469,-0.370677
0.0589855,-0.40905
0.084861,-0.346301
0.073534,-0.398881
0.0203982,-0.405584
0.061875,-0.334552
0.0380158,-0.364586
0.097681,-0.357421
0.0434725,-0.33248
0.194455,-0.385927
0.212534,-0.404288
0.2977,-0.397962
0.302353,-0.299853
0.361843,-0.288078
0.279554,-0.355225
0.308065,-0.343711
0.297451,-0.389875
0.312191,-0.327043
0.299183,-0.27115
0.353309,-0.213319
0.340749,-0.198192
0.263601,-0.216703
0.311129,-0.180053
0.30797,-0.114777
0.350921,-0.115256
0.350921,-0.115256
0.420737,-0.230813
0.355571,-0.180691
0.312768,-0.296628
0.339655,-0.353382
0.309138,-0.232926
0.326994,-0.219327
0.294679,-0.297681
0.219009,-0.27705
0.242621,-0.21626
0.274171,-0.180029
0.306205,-0.216026
0.331914,-0.197006
0.285041,-0.157665
0.195875,-0.168801
0.258267,-0.103511
0.258267,-0.103511
0.186534,-0.173194
0.226576,-0.175495
0.214321,-0.180182
0.280988,-0.188527
0.18253,-0.203904
0.131764,-0.066334
0.162972,-0.104002
0.198333,-0.160026
0.133575,-0.112361
0.283637,-0.092302
0.244992,-0.102865
0.247441,-0.111659
0.232022,-0.117859
0.131387,-0.117913
0.101208,-0.0320748
0.101208,-0.0320748
0.156691,-0.062206
0.293061,-0.101703
0.260302,0.00246041
0.271916,-0.0441027
0.321488,-0.0948355
0.250756,-0.128303
0.262406,-0.178551
0.336404,-0.129012
0.365414,-0.166562
0.394623,-0.138846
0.335472,-0.196231
0.359591,-0.246368
0.302258,-0.21942
0.381638,-0.226984
0.34662,-0.271119
0.318382,-0.241928
0.280686,-0.245567
0.321072,-0.251808
0.418182,-0.210018
0.472118,-0.206408
0.398722,-0.228906
0.387337,-0.185343
0.387337,-0.185343
0.443412,-0.180201
0.374738,-0.197626
0.360719,-0.219896
0.41709,-0.166929
0.379083,-0.213484
0.292992,-0.285533
0.391502,-0.226381
0.319974,-0.091512
0.302374,-0.087925
0.398747,-0.0424042
0.443195,-0.0856475
0.409069,-0.0085984
0.336436,-0.0431964
0.366388,-0.119593
0.398894,-0.129997
0.272201,-0.191201
0.293549,-0.238168
0.318879,-0.206934
0.389927,-0.127119
0.426585,-0.179718
0.319945,-0.0966155
0.347183,-0.00260816
0.447381,-0.00742785
0.433469,0.0216291
0.390197,-0.0198644
0.390197,-0.0198644
0.395284,-0.0168961
0.395284,-0.0168961
0.303187,-0.0157619
0.3936,-0.0139632
0.362275,0.0247348
0.284274,0.0301943
0.324122,-0.0270434
0.337583,0.101312
0.321618,0.0702895
0.35329,0.145692
0.354513,0.127274
0.393816,0.0783685
0.367833,0.0339682
0.366011,0.00659105
0.379879,-0.0085192
0.379879,-0.0085192
0.379879,-0.0085192
0.451711,0.0389026
0.425526,0.0103944
0.355434,0.0462865
0.385728,-0.0192666
0.385728,-0.0192666
0.299843,-0.0546525
0.274355,-0.0957365
0.257144,-0.147395
0.288936,-0.129857
0.224156,-0.147849
0.301167,-0.104186
0.275543,-0.113303
0.275457,-0.087022
0.216921,-0.058655
0.0955225,-0.0243279
0.046463,-0.025953
0.057903,-0.0395432
-0.0303625,-0.0205523
-0.0303625,-0.0205523
0.0568255,-0.0869775
0.0231276,-0.0498606
0.0791885,-0.100217
0.125287,-0.11145
0.197104,-0.136122
0.192438,-0.11238
0.123171,-0.064607
0.240369,-0.188604
0.234132,-0.210962
0.281855,-0.220547
0.123416,-0.177608
0.149912,-0.246583
0.166903,-0.201052
0.202777,-0.238088
0.170917,-0.231144
0.160889,-0.175847
0.132011,-0.130262
0.132011,-0.130262
0.183367,-0.149587
0.183367,-0.149587
0.09221,-0.14904
0.167131,-0.157188
0.092447,-0.179166
0.128295,-0.126724
0.158552,-0.123323
0.170062,-0.156721
0.176969,-0.141045
0.211636,-0.116108
0.187518,-0.0985975
0.128713,-0.10051
0.138299,-0.102918
0.069719,-0.0417585
0.057839,-0.0095055
0.106662,-0.0142571
0.0347111,0.018828
0.12017,-0.0176396
0.103933,-0.049776
0.103933,-0.049776
0.077254,0.0127423
-0.0029316,0.00341428
-0.062454,-0.0439997
-0.069243,-0.017629
-0.0511575,-0.0508855
-0.0486405,-0.0238518
-0.0211949,0.0435769
-0.0402655,0.0280272
-0.0422926,-0.0142714
-0.0364763,0.0474868
-0.0066046,0.0360429
-0.102779,0.0110422
-0.0877085,0.0507395
-0.112819,0.071531
-0.112819,0.071531
-0.112819,0.071531
