t,cost
10,5.3
20,3.42533
30,3.192
40,3.064
50,3.28
60,3.04267
70,2.95067
80,3.048
90,2.876
100,3.072
110,3.12267
120,2.71467
130,2.69733
140,2.64533
150,2.876
160,3.06533
170,3.15067
180,3.252
190,3.172
200,2.90133
210,2.94533
220,3.2
230,3.228
240,3.26
250,3.236
260,3.204
270,2.904
280,2.83067
290,2.82667
300,2.94133
310,2.844
320,3.008
330,2.88933
340,2.94533
350,2.948
360,3.13067
370,2.792
380,3.23333
390,3.20533
400,2.848
410,2.66533
420,2.65467
430,2.68933
440,2.712
450,2.80533
460,2.75067
470,2.75733
480,2.808
490,2.81467
500,2.81467
510,2.75867
520,2.80267
530,2.788
540,2.79467
550,2.84933
560,2.916
570,2.94133
580,3.19333
590,3.29067
600,3.104
610,3.04933
620,3.11333
630,3.00533
640,3.19067
650,3.464
660,3.964
670,3.39867
680,3.42
690,3.53867
700,3.58667
710,3.72667
720,3.8
730,3.92267
740,3.34933
750,3.192
760,3.268
770,3.288
780,3.04667
790,3.29333
800,3.05333
810,3.12133
820,3.17067
830,3.04133
840,3.03333
850,3.04933
860,3.084
870,3.18933
880,3.452
890,4.108
900,3.608
910,3.632
920,3.48533
930,3.34
940,3.46267
950,3.71467
960,3.71467
970,3.236
980,3.59067
990,3.71867
1000,3.94667
1010,4.092
1020,4.028
1030,3.65867
1040,3.48667
1050,3.18
1060,3.248
1070,3.80533
1080,3.62133
1090,3.952
1100,3.14133
1110,3.04933
1120,3.036
1130,2.91867
1140,3.00533
1150,3.29867
1160,3.53467
1170,3.52
1180,3.28667
1190,3.68
1200,3.46533
1210,3.368
1220,3.89467
1230,3.63333
1240,3.70533
1250,3.58133
1260,3.47333
1270,3.44133
1280,3.536
1290,3.46933
1300,3.80933
1310,3.46933
1320,3.47333
1330,3.696
1340,5.34133
1350,3.81733
1360,3.792
1370,4.156
1380,4.532
1390,4.46
1400,3.38267
1410,3.216
1420,3.70933
1430,3.544
1440,3.196
1450,3.23467
1460,3.25733
1470,3.41467
1480,3.636
1490,3.51333
1500,3.548
1510,3.46533
1520,3.224
1530,3.14267
1540,3.14267
1550,3.028
1560,3.27333
1570,3.44533
1580,3.49867
1590,3.44
1600,3.344
1610,3.11867
1620,3.00533
1630,3.28267
1640,2.99067
1650,3.15333
1660,3.07067
1670,3.38
1680,3.22
1690,3.22533
1700,3.252
1710,3.052
1720,3.076
1730,2.85333
1740,2.73733
1750,2.74133
1760,2.728
1770,2.66267
1780,2.696
1790,2.78267
1800,2.98133
1810,2.80267
1820,2.95467
1830,3.02933
1840,2.74
1850,2.84
1860,2.988
1870,2.97467
1880,2.93333
1890,3.008
1900,3.048
1910,3.02667
1920,3.244
1930,3.28667
1940,3.112
1950,2.99067
1960,3.04267
1970,3.30267
1980,3.32933
1990,3.216
2000,3.324
2010,3.13733
2020,3.02667
2030,3.14933
2040,3.00933
2050,2.88533
2060,2.89467
2070,2.82133
2080,2.784
2090,2.86667
2100,3.10667
2110,2.78
2120,2.80267
2130,2.61867
2140,2.62933
2150,2.65333
2160,2.66267
2170,2.63733
2180,2.644
2190,2.66533
2200,2.66533
2210,2.788
2220,2.712
2230,2.71733
2240,2.71067
2250,2.712
2260,2.676
2270,2.644
2280,2.61867
2290,2.61467
2300,2.71867
2310,2.69333
2320,2.73733
2330,2.604
2340,2.636
2350,2.63867
2360,2.48667
2370,2.63333
2380,2.64267
2390,2.724
2400,2.76667
2410,2.70267
2420,2.71467
2430,2.76533
2440,2.844
2450,2.832
2460,2.69467
2470,2.72
2480,2.77067
2490,2.84133
2500,2.796
2510,2.70133
2520,2.73333
2530,2.76267
2540,2.62267
2550,2.59333
2560,2.616
2570,2.588
2580,2.58667
2590,2.696
2600,2.756
2610,2.78533
2620,2.90933
2630,2.844
2640,2.83067
2650,2.79333
2660,2.83867
2670,2.74933
2680,2.79067
2690,2.676
2700,2.60267
2710,2.62133
2720,2.52533
2730,2.524
2740,2.50267
2750,2.43467
2760,2.43467
2770,2.49867
2780,2.564
2790,2.67467
2800,2.724
2810,2.71867
2820,2.90133
2830,3.02533
2840,2.896
2850,3.088
2860,2.972
2870,2.908
2880,3.12267
2890,3.20267
2900,3.19333
2910,3.12
2920,3.00267
2930,2.85067
2940,3.02267
2950,2.84533
2960,2.79333
2970,2.80667
2980,2.896
2990,2.83067
3000,2.85733
3010,2.904
3020,2.80933
3030,2.816
3040,2.72
3050,2.75333
3060,2.73067
3070,2.83867
3080,2.85467
3090,2.91733
3100,3.016
3110,3.16133
3120,3.064
3130,3.06267
3140,3.11867
3150,3.19333
3160,3.06
3170,3.056
3180,3.024
3190,3.06
3200,3.09067
3210,3.188
3220,3.33467
3230,3.35067
3240,3.26
3250,3.12667
3260,3.06933
3270,3.22267
3280,3.34
3290,3.31333
