MDTU,plaq,Re(det),Im(det),link
1,1.04901,0.578549,0.16752,0.155908
2,1.06874,0.602836,0.2028,0.180427
3,1.03392,0.563826,0.206766,0.189659
4,1.0351,0.571834,0.218474,0.201135
5,1.0247,0.559338,0.218052,0.21278
6,1.00137,0.537681,0.213671,0.211827
7,1.02105,0.547914,0.224283,0.21016
8,0.998238,0.524989,0.215752,0.207195
9,1.01421,0.541828,0.221823,0.205553
10,0.996513,0.522097,0.21783,0.208457
11,1.02213,0.544055,0.22677,0.210306
12,1.02213,0.544055,0.22677,0.210306
13,1.02213,0.544055,0.22677,0.210306
14,0.999645,0.522901,0.216342,0.211027
15,1.00281,0.532927,0.221738,0.21394
16,1.00661,0.537721,0.220372,0.212553
17,0.992772,0.521357,0.214097,0.208487
18,1.00166,0.527931,0.219121,0.209036
19,1.00541,0.534822,0.21987,0.216729
20,0.990503,0.517207,0.212271,0.215807
21,1.00055,0.533563,0.22193,0.21751
22,1.00502,0.540743,0.220903,0.224806
23,1.00456,0.538185,0.223626,0.227651
24,1.01057,0.549759,0.224173,0.229148
25,0.998586,0.530577,0.224411,0.224376
26,0.998207,0.535306,0.21948,0.223368
27,0.998238,0.536978,0.222142,0.225093
28,0.996945,0.531769,0.221063,0.2175
29,0.997881,0.533125,0.218168,0.219922
30,1.00388,0.538818,0.216471,0.220614
31,1.00388,0.538818,0.216471,0.220614
32,1.00388,0.538818,0.216471,0.220614
33,1.00388,0.538818,0.216471,0.220614
34,0.995296,0.526068,0.219323,0.214042
35,1.00179,0.532035,0.219506,0.211871
36,1.00599,0.534627,0.217756,0.216402
37,1.00761,0.534504,0.219272,0.214237
38,1.00221,0.535479,0.2193,0.217732
39,1.00325,0.534945,0.219624,0.214189
40,0.991894,0.525758,0.218504,0.213748
41,1.00559,0.536856,0.221641,0.210761
42,0.997067,0.527043,0.221194,0.213502
43,0.988439,0.518519,0.211884,0.213032
44,1.00134,0.535854,0.220188,0.212528
45,0.996421,0.528809,0.221792,0.213641
46,0.989354,0.523018,0.21642,0.216796
47,1.00199,0.53558,0.219552,0.217638
48,0.996393,0.530695,0.216288,0.217711
49,0.991022,0.526955,0.216333,0.219774
50,0.994511,0.535656,0.218388,0.225618
51,1.00302,0.546956,0.22144,0.233195
52,0.992109,0.532001,0.218453,0.224322
53,0.991465,0.533626,0.221482,0.229797
54,0.993508,0.536687,0.223965,0.223555
55,0.995536,0.536691,0.222927,0.229125
56,0.989256,0.524528,0.219857,0.227103
57,1.00366,0.538891,0.22223,0.223536
58,0.985138,0.518961,0.214944,0.216728
59,0.99942,0.534742,0.222189,0.218616
60,1.00156,0.538657,0.223714,0.222777
61,0.991808,0.533894,0.217821,0.22143
62,0.997973,0.532676,0.22058,0.221879
63,0.989207,0.519236,0.21667,0.215311
64,1.00565,0.541497,0.22387,0.219046
65,0.98849,0.518011,0.216092,0.218532
66,1.00389,0.536369,0.218026,0.216995
67,0.986776,0.520765,0.214464,0.216823
68,1.00344,0.535741,0.218272,0.215139
69,0.995944,0.525119,0.217378,0.218003
70,0.997651,0.530773,0.216964,0.21838
71,0.991031,0.524725,0.215647,0.218226
72,1.00179,0.535866,0.222889,0.214821
73,1.00179,0.535866,0.222889,0.214821
74,0.990184,0.523471,0.216412,0.218611
75,1.00243,0.537477,0.219979,0.218667
76,0.993259,0.525874,0.219723,0.220226
77,1.00373,0.539533,0.220089,0.218074
78,0.990402,0.520512,0.220725,0.209891
79,0.995713,0.525904,0.218372,0.212009
80,0.994951,0.526166,0.22062,0.215909
81,0.998589,0.533856,0.223124,0.219775
82,0.998589,0.533856,0.223124,0.219775
83,0.997445,0.528799,0.218733,0.219965
84,0.998368,0.53224,0.218781,0.21952
85,0.994345,0.52945,0.217891,0.217453
86,0.992251,0.529443,0.219261,0.220245
87,0.989256,0.527518,0.217076,0.219596
88,1.00185,0.536147,0.221207,0.22459
89,0.993116,0.528438,0.218414,0.22184
90,0.999511,0.534625,0.21896,0.219692
91,0.984583,0.518602,0.2173,0.218518
92,1.01349,0.544683,0.223605,0.215246
93,0.991956,0.525873,0.215291,0.215198
94,1.00107,0.537328,0.217726,0.219028
95,0.99322,0.530765,0.22063,0.217154
96,0.98857,0.522011,0.215756,0.21503
97,1.00602,0.534777,0.219287,0.213871
98,0.989105,0.521063,0.215415,0.212522
99,1.00365,0.534786,0.219244,0.216573
100,0.998905,0.537862,0.222791,0.222183
101,0.991056,0.52761,0.21712,0.224372
102,0.988823,0.53054,0.216274,0.22547
103,1.00377,0.545442,0.218232,0.23826
104,1.00005,0.534303,0.217282,0.232637
105,0.992749,0.533007,0.218857,0.237694
106,1.00623,0.552176,0.22341,0.239369
107,1.00075,0.533923,0.220516,0.227656
108,1.00893,0.540975,0.225429,0.225809
109,1.00929,0.536833,0.220036,0.217491
110,0.997412,0.523568,0.21579,0.218098
111,1.00329,0.532248,0.221016,0.221898
112,1.01364,0.531919,0.22169,0.211414
113,1.01241,0.531747,0.218673,0.214233
114,1.01111,0.524521,0.216603,0.212248
115,1.0238,0.532747,0.22192,0.212486
116,1.01394,0.524997,0.215628,0.215427
117,1.01726,0.533601,0.220369,0.21711
118,1.013,0.531232,0.215351,0.215707
119,1.013,0.531232,0.215351,0.215707
120,1.0123,0.528643,0.219542,0.21368
121,1.02852,0.549219,0.222352,0.22356
122,1.00246,0.519885,0.214568,0.216496
123,1.01176,0.531644,0.219615,0.220404
124,1.01344,0.541058,0.220812,0.225775
125,1.00249,0.529478,0.21592,0.220566
126,1.02188,0.547196,0.225435,0.220523
127,1.00723,0.537563,0.222472,0.231157
128,1.00896,0.541047,0.226086,0.230452
129,0.978592,0.514491,0.216017,0.230784
130,1.01277,0.540767,0.220933,0.222807
131,1.00243,0.53032,0.216834,0.222998
132,1.00144,0.53695,0.218449,0.231255
133,1.01136,0.550635,0.223116,0.232952
134,1.00028,0.537124,0.217817,0.236473
135,0.99173,0.533982,0.217086,0.233231
136,1.00842,0.547615,0.222409,0.234582
137,0.992053,0.529051,0.218533,0.229417
138,0.992186,0.536915,0.21561,0.23192
139,1.0002,0.543336,0.221319,0.230049
140,0.988444,0.5317,0.216294,0.230156
141,0.992469,0.528687,0.220163,0.229869
142,0.995831,0.535082,0.219587,0.22683
143,0.997713,0.538463,0.219967,0.229364
144,1.0072,0.547508,0.227321,0.231713
145,0.988624,0.535074,0.216461,0.234678
146,0.988624,0.535074,0.216461,0.234678
147,1.00702,0.544008,0.224065,0.223127
148,0.991,0.532663,0.220966,0.224902
149,0.998024,0.535776,0.223209,0.224091
150,0.998939,0.536087,0.222203,0.226191
151,0.994099,0.531038,0.222429,0.223483
152,0.992694,0.535792,0.221958,0.227013
153,1.00215,0.547582,0.221757,0.231559
154,0.993931,0.533568,0.219142,0.229288
155,0.997919,0.539988,0.224156,0.229419
156,0.992594,0.537972,0.217359,0.234647
157,0.997194,0.537487,0.221489,0.229494
158,0.997279,0.539751,0.221771,0.225598
159,0.989003,0.529104,0.217475,0.226823
160,1.00298,0.549548,0.221677,0.233696
161,0.993718,0.531918,0.22145,0.229931
162,0.993718,0.531918,0.22145,0.229931
163,1.00714,0.547448,0.226256,0.236126
164,1.00154,0.547237,0.221061,0.243798
165,0.999443,0.542893,0.221162,0.238149
166,0.997287,0.542512,0.222355,0.238527
167,1.00425,0.55201,0.228255,0.238307
168,0.99482,0.536434,0.220974,0.233587
169,0.995614,0.536883,0.21739,0.234268
170,1.00672,0.547185,0.224081,0.237542
171,0.990652,0.537937,0.222173,0.241962
172,1.00953,0.555582,0.22584,0.23715
173,0.995036,0.54059,0.221068,0.232989
174,1.01009,0.560831,0.22514,0.240286
175,1.00172,0.555515,0.226967,0.240368
176,0.996765,0.540706,0.219042,0.238302
177,1.00952,0.552323,0.222489,0.233999
178,1.00952,0.552323,0.222489,0.233999
179,0.992103,0.535805,0.22027,0.232547
180,1.00636,0.54762,0.226416,0.233722
181,1.00565,0.538567,0.22065,0.229305
182,1.00431,0.544202,0.219634,0.23072
183,0.996229,0.533478,0.219819,0.232502
184,1.00485,0.540765,0.223511,0.230553
185,1.0012,0.535443,0.220526,0.228088
186,1.01084,0.546574,0.224664,0.23435
187,0.996134,0.536341,0.217692,0.230128
188,1.00708,0.548751,0.225106,0.231657
189,1.00535,0.538499,0.22074,0.227944
190,1.01564,0.54623,0.223265,0.225732
191,1.00892,0.532361,0.219393,0.226453
192,1.0107,0.536322,0.221457,0.229211
193,1.01873,0.543901,0.223019,0.228552
194,1.01454,0.53564,0.223499,0.226206
195,1.02639,0.549315,0.226094,0.230409
196,1.01035,0.539212,0.22603,0.226422
197,1.00965,0.539389,0.221207,0.228796
198,1.01175,0.5421,0.220459,0.224695
199,1.01406,0.549174,0.225507,0.227407
200,1.0089,0.539359,0.222242,0.225947
201,1.0089,0.539359,0.222242,0.225947
202,1.01704,0.547913,0.22215,0.227077
203,1.01335,0.537004,0.21862,0.229586
204,1.01545,0.546209,0.224957,0.228126
205,1.01142,0.541766,0.221129,0.230233
206,1.01909,0.549149,0.227045,0.232409
207,1.01311,0.538897,0.222841,0.224305
208,1.01146,0.536015,0.216758,0.227897
209,1.00862,0.537374,0.217946,0.223102
210,1.00863,0.536675,0.221342,0.22771
211,1.01087,0.539505,0.224916,0.228829
212,1.01836,0.547279,0.225041,0.231555
213,1.01671,0.546406,0.225196,0.23234
214,1.00522,0.542385,0.221731,0.236429
215,1.01144,0.549303,0.220651,0.237462
216,1.01926,0.547735,0.22401,0.239028
217,1.01899,0.540029,0.222745,0.234232
218,1.02589,0.556529,0.225844,0.239706
219,1.00464,0.545566,0.224914,0.240667
220,0.996455,0.534071,0.220379,0.236446
221,1.00688,0.549796,0.223278,0.237596
222,1.00783,0.552685,0.226456,0.23872
223,0.992001,0.539055,0.22091,0.236273
224,1.00961,0.5566,0.228186,0.241159
225,0.997525,0.53775,0.217689,0.238414
226,1.01386,0.556,0.224793,0.23794
227,1.01386,0.556,0.224793,0.23794
228,1.00351,0.540632,0.219861,0.236363
229,1.00351,0.540632,0.219861,0.236363
230,1.01466,0.550392,0.22528,0.23512
231,1.00376,0.537224,0.22154,0.227078
232,0.997003,0.529544,0.221081,0.229226
233,1.00383,0.535318,0.22423,0.224075
234,1.00886,0.538412,0.222823,0.220704
235,0.995389,0.528755,0.216498,0.221536
236,0.997129,0.534399,0.219799,0.222399
237,0.990814,0.527261,0.216008,0.224405
238,1.00171,0.535917,0.220371,0.228915
239,1.00715,0.544479,0.221071,0.235259
240,1.00876,0.547663,0.223085,0.239366
241,1.01936,0.552341,0.225486,0.234529
242,1.00931,0.545587,0.224177,0.229691
243,1.00931,0.545587,0.224177,0.229691
244,1.00931,0.545587,0.224177,0.229691
245,0.99471,0.531178,0.218282,0.233332
246,1.00215,0.542008,0.220106,0.238941
247,1.00233,0.539864,0.223627,0.243037
248,1.01445,0.553467,0.226356,0.239107
249,1.01445,0.553467,0.226356,0.239107
250,1.00365,0.538297,0.223562,0.245977
251,1.00278,0.534451,0.217586,0.23513
252,1.0166,0.553129,0.23004,0.244686
253,0.99384,0.534531,0.22107,0.242926
254,1.01019,0.555334,0.22564,0.247831
255,1.00215,0.546289,0.220267,0.246787
256,1.01006,0.551514,0.22386,0.244839
257,1.00765,0.547764,0.223229,0.247123
258,1.00337,0.542798,0.222542,0.243769
259,1.00945,0.548413,0.222267,0.242382
260,1.00178,0.537266,0.219587,0.24178
261,1.00657,0.543866,0.226272,0.240989
262,0.996987,0.533164,0.219897,0.23817
263,0.996987,0.533164,0.219897,0.23817
264,1.01271,0.550432,0.223164,0.240067
265,1.01051,0.548383,0.222985,0.239236
266,1.00154,0.532204,0.218559,0.22868
267,1.0053,0.541616,0.224079,0.235127
268,1.0081,0.54026,0.215916,0.233492
269,1.01858,0.549986,0.224568,0.233103
270,1.01566,0.542604,0.227944,0.232092
271,1.01796,0.536812,0.219636,0.224407
272,1.0221,0.546202,0.224865,0.224867
273,0.994468,0.518457,0.212396,0.21976
