MDTU,link
1,1.09223
2,1.11046
3,1.09808
4,1.10087
5,1.09879
6,1.08718
7,1.09877
8,1.08951
9,1.09718
10,1.08653
11,1.09911
12,1.09911
13,1.09911
14,1.08625
15,1.0893
16,1.09368
17,1.08644
18,1.09007
19,1.09145
20,1.08487
21,1.09002
22,1.09108
23,1.0882
24,1.09358
25,1.08942
26,1.08665
27,1.08834
28,1.08867
29,1.08815
30,1.09208
31,1.08642
32,1.09492
33,1.09096
34,1.09463
35,1.09251
36,1.10065
37,1.09107
38,1.09635
39,1.0906
40,1.09383
41,1.09178
42,1.08858
43,1.08979
44,1.09096
45,1.09026
46,1.08794
47,1.0934
48,1.08609
49,1.08891
50,1.08786
51,1.08597
52,1.09214
53,1.08849
54,1.08574
55,1.09111
56,1.08126
57,1.09096
58,1.08341
59,1.08532
60,1.0877
61,1.08763
62,1.08613
63,1.08788
64,1.0869
65,1.08767
66,1.08406
67,1.08952
68,1.08783
69,1.08894
70,1.08587
71,1.09244
72,1.09244
73,1.0836
74,1.08975
75,1.08747
76,1.08946
77,1.08937
78,1.09306
79,1.08749
80,1.08804
81,1.0855
82,1.08992
83,1.08779
84,1.09353
85,1.08739
86,1.08786
87,1.08978
88,1.08906
89,1.09261
90,1.08822
91,1.0916
92,1.093
93,1.0897
94,1.08738
95,1.09191
96,1.08998
97,1.08866
98,1.09132
99,1.08872
100,1.08442
101,1.08442
102,1.08519
103,1.08983
104,1.08983
105,1.0848
106,1.09043
107,1.093
108,1.08974
109,1.09065
110,1.08988
111,1.09
112,1.09322
113,1.08662
114,1.08928
115,1.08646
116,1.08807
117,1.08668
118,1.08774
119,1.08774
120,1.08857
121,1.08795
122,1.08262
123,1.09056
124,1.08589
125,1.09251
126,1.08497
127,1.08959
128,1.08216
129,1.08728
130,1.0837
131,1.08987
132,1.07996
133,1.08795
134,1.08528
135,1.08479
136,1.08983
137,1.08983
138,1.08223
139,1.08894
140,1.08084
141,1.08934
142,1.09173
143,1.08595
144,1.09295
145,1.08512
146,1.08775
147,1.08818
148,1.09066
149,1.08624
150,1.08624
151,1.08463
152,1.08984
153,1.08661
154,1.08821
155,1.09167
156,1.08943
157,1.08445
158,1.08745
159,1.08497
160,1.09038
161,1.08142
162,1.08956
163,1.08532
164,1.08392
165,1.08724
166,1.08551
167,1.08784
168,1.08487
169,1.07912
170,1.08811
171,1.08373
172,1.08431
173,1.09006
174,1.08628
175,1.08628
176,1.09083
177,1.08994
178,1.08994
179,1.08906
180,1.09166
181,1.08937
182,1.09023
183,1.08701
