t,N_f,N_g
10,8,128
20,8,128
30,8,128
40,8,128
50,8,128
60,8,128
70,8,128
80,8,128
90,8,128
100,8,128
110,8,128
120,8,128
130,8,128
140,8,128
150,8,128
160,8,128
170,8,128
180,8,128
190,8,128
200,8,128
210,8,128
220,8,128
230,8,128
240,8,128
250,8,128
260,8,128
270,8,128
280,8,128
290,8,128
300,8,128
310,8,128
320,8,128
330,8,128
340,8,128
350,8,128
360,8,128
370,8,128
380,8,128
390,8,128
400,8,128
410,8,128
420,8,128
430,8,128
440,8,128
450,8,128
460,8,128
470,8,128
480,8,128
490,8,128
500,8,128
510,8,128
520,8,128
530,8,128
540,8,128
550,8,128
560,8,128
570,8,128
580,8,128
590,8,128
600,8,128
610,8,128
620,8,128
630,8,128
640,8,128
650,8,128
660,8,128
670,8,128
680,8,128
690,8,128
700,8,128
710,8,128
720,8,128
730,8,128
740,8,128
750,8,128
760,8,128
770,8,128
780,8,128
790,8,128
800,8,128
810,8,128
820,8,128
830,8,128
840,8,128
850,8,128
860,8,128
870,8,128
880,8,128
890,8,128
900,8,128
910,8,128
920,8,128
930,8,128
940,8,128
950,8,128
960,8,128
970,8,128
980,8,128
990,8,128
1000,8,128
1010,8,128
1020,8,128
1030,8,128
1040,8,128
1050,8,128
1060,8,128
1070,8,128
1080,8,128
1090,8,128
1100,8,128
1110,8,128
1120,8,128
1130,8,128
1140,8,128
1150,8,128
1160,8,128
1170,8,128
1180,8,128
1190,8,128
1200,8,128
1210,8,128
1220,8,128
1230,8,128
1240,8,128
1250,8,128
1260,8,128
1270,8,128
1280,8,128
1290,8,128
1300,8,128
1310,8,128
1320,8,128
1330,8,128
1340,8,128
1350,8,128
1360,8,128
1370,8,128
1380,8,128
1390,8,128
1400,8,128
1410,8,128
1420,8,128
1430,8,128
1440,8,128
1450,8,128
1460,8,128
1470,8,128
1480,8,128
1490,8,128
1500,8,128
1510,8,128
1520,8,128
1530,8,128
1540,8,128
1550,8,128
1560,8,128
1570,8,128
1580,8,128
1590,8,128
1600,8,128
1610,8,128
1620,8,128
1630,8,128
1640,8,128
1650,8,128
1660,8,128
1670,8,128
1680,8,128
1690,8,128
1700,8,128
1710,8,128
1720,8,128
1730,8,128
1740,8,128
1750,8,128
1760,8,128
1770,8,128
1780,8,128
1790,8,128
1800,8,128
1810,8,128
1820,8,128
1830,8,128
1840,8,128
1850,8,128
1860,8,128
1870,8,128
1880,8,128
1890,8,128
1900,8,128
1910,8,128
1920,8,128
1930,8,128
1940,8,128
1950,8,128
1960,8,128
1970,8,128
1980,8,128
1990,8,128
2000,8,128
2010,8,128
2020,8,128
2030,8,128
2040,8,128
2050,8,128
2060,8,128
2070,8,128
2080,8,128
2090,8,128
2100,8,128
2110,8,128
2120,8,128
2130,8,128
2140,8,128
2150,8,128
2160,8,128
2170,8,128
2180,8,128
2190,8,128
2200,8,128
2210,8,128
2220,8,128
2230,8,128
2240,8,128
2250,8,128
2260,8,128
2270,8,128
2280,8,128
2290,8,128
2300,8,128
2310,8,128
2320,8,128
2330,8,128
2340,8,128
2350,8,128
2360,8,128
2370,8,128
2380,8,128
2390,8,128
2400,8,128
2410,8,128
2420,8,128
2430,8,128
2440,8,128
2450,8,128
2460,8,128
2470,8,128
2480,8,128
2490,8,128
2500,8,128
2510,8,128
2520,8,128
2530,8,128
2540,8,128
2550,8,128
2560,8,128
2570,8,128
2580,8,128
2590,8,128
2600,8,128
2610,8,128
2620,8,128
2630,8,128
2640,8,128
2650,8,128
2660,8,128
2670,8,128
2680,8,128
2690,8,128
2700,8,128
2710,8,128
2720,8,128
2730,8,128
2740,8,128
2750,8,128
2760,8,128
2770,8,128
2780,8,128
2790,8,128
2800,8,128
2810,8,128
2820,8,128
2830,8,128
2840,8,128
2850,8,128
2860,8,128
2870,8,128
2880,8,128
2890,8,128
2900,8,128
2910,8,128
2920,8,128
2930,8,128
2940,8,128
2950,8,128
2960,8,128
2970,8,128
2980,8,128
2990,8,128
3000,8,128
3010,8,128
3020,8,128
3030,8,128
3040,8,128
3050,8,128
3060,8,128
3070,8,128
3080,8,128
3090,8,128
3100,8,128
3110,8,128
3120,8,128
3130,8,128
3140,8,128
3150,8,128
3160,8,128
3170,8,128
3180,8,128
3190,8,128
3200,8,128
3210,8,128
3220,8,128
3230,8,128
3240,8,128
3250,8,128
3260,8,128
3270,8,128
3280,8,128
3290,8,128
3300,8,128
3310,8,128
3320,8,128
3330,8,128
3340,8,128
3350,8,128
3360,8,128
3370,8,128
3380,8,128
3390,8,128
3400,8,128
3410,8,128
3420,8,128
3430,8,128
3440,8,128
3450,8,128
3460,8,128
3470,8,128
3480,8,128
3490,8,128
3500,8,128
3510,8,128
3520,8,128
3530,8,128
3540,8,128
3550,8,128
3560,8,128
3570,8,128
3580,8,128
3590,8,128
3600,8,128
3610,8,128
3620,8,128
3630,8,128
3640,8,128
3650,8,128
3660,8,128
3670,8,128
3680,8,128
3690,8,128
3700,8,128
3710,8,128
3720,8,128
3730,8,128
3740,8,128
3750,8,128
3760,8,128
3770,8,128
3780,8,128
3790,8,128
3800,8,128
3810,8,128
3820,8,128
3830,8,128
3840,8,128
3850,8,128
3860,8,128
3870,8,128
3880,8,128
3890,8,128
3900,8,128
3910,8,128
3920,8,128
3930,8,128
3940,8,128
3950,8,128
3960,8,128
3970,8,128
3980,8,128
3990,8,128
4000,8,128
4010,8,128
