t,Norder
10,15
20,15
30,15
40,15
50,15
60,15
70,15
80,15
90,15
100,15
110,15
120,15
130,15
140,15
150,15
160,15
170,15
180,15
190,15
200,15
210,15
220,15
230,15
240,15
250,15
260,15
270,15
280,15
290,15
300,15
310,15
320,15
330,15
340,15
350,15
360,15
370,15
380,15
390,15
400,15
410,15
420,15
430,15
440,15
450,15
460,15
470,15
480,15
490,15
500,15
510,15
520,15
530,15
540,15
550,15
560,15
570,15
580,15
590,15
600,15
610,15
620,15
630,15
640,15
650,15
660,15
670,15
680,15
690,15
700,15
710,15
720,15
730,15
740,15
750,15
760,15
770,15
780,15
790,15
800,15
810,15
820,15
830,15
840,15
850,15
860,15
870,15
880,15
890,15
900,15
910,15
920,15
930,15
940,15
950,15
960,15
970,15
980,15
990,15
1000,15
1010,15
1020,15
1030,15
1040,15
1050,15
1060,15
1070,15
1080,15
1090,15
1100,15
1110,15
1120,15
1130,15
1140,15
1150,15
1160,15
1170,15
1180,15
1190,15
1200,15
1210,15
1220,15
1230,15
1240,15
1250,15
1260,15
1270,15
1280,15
1290,15
1300,15
1310,15
1320,15
1330,15
1340,15
1350,15
1360,15
1370,15
1380,15
1390,15
1400,15
1410,15
1420,15
1430,15
1440,15
1450,15
1460,15
1470,15
1480,15
1490,15
1500,15
1510,15
1520,15
1530,15
1540,15
1550,15
1560,15
1570,15
1580,15
1590,15
1600,15
1610,15
1620,15
1630,15
1640,15
1650,15
1660,15
1670,15
1680,15
1690,15
1700,15
1710,15
1720,15
1730,15
1740,15
1750,15
1760,15
1770,15
1780,15
1790,15
1800,15
1810,15
1820,15
1830,15
1840,15
1850,15
1860,15
1870,15
1880,15
1890,15
1900,15
1910,15
1920,15
1930,15
1940,15
1950,15
1960,15
1970,15
1980,15
1990,15
2000,15
2010,15
2020,15
2030,15
2040,15
2050,15
2060,15
2070,15
2080,15
2090,15
2100,15
2110,15
2120,15
2130,15
2140,15
2150,15
2160,15
2170,15
2180,15
2190,15
2200,15
2210,15
2220,15
2230,15
2240,15
2250,15
2260,15
