ReTr(L),ImTr(L)
1.67517,0.0892261
1.37982,-0.472359
1.03388,0.105236
0.832669,0.00535629
0.828009,-0.202436
0.750485,0.327929
0.827807,0.356391
1.00018,0.39954
0.705342,0.576981
0.793169,0.330543
1.0166,0.641609
0.783689,0.172406
0.952955,0.172468
0.982866,-0.128451
1.18723,0.0854057
1.3431,0.237493
1.40936,0.162324
1.29656,0.0645717
1.35322,-0.151671
0.903747,-0.166553
0.935417,-0.311582
0.765686,-0.175874
0.720942,-0.285944
0.934744,-0.123956
1.07045,-0.415503
0.89094,-0.0898734
0.89094,-0.0898734
0.812838,-0.0449257
1.06776,-0.202067
0.97958,-0.0750661
1.29461,0.0280187
1.08412,-0.0420941
1.10507,-0.243075
0.796048,-0.00869085
0.821269,-0.117666
1.13635,0.200611
0.892038,0.197457
1.14895,0.415613
0.844665,0.103336
0.817438,0.152475
0.883679,-0.151599
0.980862,-0.117964
0.926815,-0.435373
1.18235,-0.288375
0.811522,-0.521604
0.855956,-0.556482
1.00379,-0.483468
0.979238,-0.560052
0.771099,-0.337619
0.904875,-0.498972
0.820518,-0.316054
0.788035,-0.684954
0.785284,-0.490712
0.719975,-0.637928
0.488712,-0.561536
0.454397,-0.532966
0.732841,-0.789709
0.926139,-1.05449
0.838755,-1.05495
1.07555,-1.15492
1.47706,-0.888927
1.09407,-0.695367
0.645283,-0.578588
0.670745,-0.672731
0.302754,-0.878726
0.732116,-1.18687
0.496182,-0.908681
0.339723,-1.07295
0.522774,-0.636052
0.590221,-0.450227
0.774897,-0.724452
0.411108,-0.617598
0.661035,-0.885362
0.551193,-0.574531
0.789847,-0.5328
0.887059,-0.508735
0.759948,-0.599016
0.646234,-0.69714
0.779329,-0.78011
0.73277,-0.959306
0.486867,-1.26459
0.291582,-1.05141
0.448294,-1.17765
0.366004,-1.0246
0.386782,-0.979158
0.298626,-0.938705
0.286494,-0.824107
0.400408,-0.915563
0.481458,-0.817821
0.619696,-0.916896
0.619696,-0.916896
0.795999,-0.926487
0.810666,-0.621458
0.420948,-0.705958
0.57119,-0.443583
0.390409,-0.570487
0.774944,-0.618103
0.470056,-0.481476
0.383349,-0.317023
0.572136,-0.787075
0.572136,-0.787075
0.691989,-1.02694
0.434134,-0.949844
0.342173,-0.948123
0.265916,-0.691419
0.593739,-0.898273
0.428128,-0.819159
0.576194,-0.882333
0.391083,-0.699482
0.366438,-0.896365
0.380314,-1.04247
0.140961,-0.966365
-0.201396,-0.760866
0.014076,-0.823001
-0.0511133,-0.839764
-0.231871,-0.729112
-0.310214,-0.740447
-0.354137,-0.927295
-0.336225,-0.835998
-0.762256,-0.90812
-0.88971,-1.06095
-0.316922,-1.62178
-0.309617,-1.31752
0.0880885,-1.23115
-0.26467,-1.02466
-0.132411,-0.883499
0.0875947,-0.764324
0.0827316,-0.80073
-0.249727,-0.751485
-0.0298645,-1.05504
-0.076165,-1.23025
0.327796,-1.04451
0.444718,-0.855683
0.305211,-0.909835
0.524456,-0.744551
0.407316,-0.648769
0.450962,-0.370509
0.76038,-0.926157
0.597507,-0.815749
0.299934,-0.936088
0.371062,-1.01554
0.455573,-0.905439
0.48669,-0.878412
0.639964,-0.718379
0.471017,-0.741152
0.679859,-0.760587
0.317082,-0.777293
0.228595,-0.668318
0.513464,-0.480866
0.217555,-0.681087
0.195478,-0.917874
0.326674,-0.941465
0.330633,-0.920955
0.30437,-0.989542
0.303974,-1.0194
0.297499,-0.824173
0.490276,-1.22868
0.328412,-1.0079
0.679606,-1.33908
0.810398,-1.09404
0.587788,-1.00541
0.583125,-1.10885
1.17103,-0.81805
0.87558,-0.892514
1.15744,-0.720931
1.09418,-0.619863
1.35027,-0.699347
1.61913,-0.561047
1.46141,-0.683948
1.46341,-0.421072
1.61923,-0.60774
2.2656,-0.529762
1.91412,-0.631384
1.18669,-0.515234
1.34568,-0.36756
1.47412,-0.109886
1.51875,-0.0701745
1.58325,0.0197295
1.40503,-0.449518
1.53912,-0.315602
1.49362,0.042774
1.10107,0.118534
1.67131,-0.0702122
1.77042,0.537864
1.61958,0.55011
1.76498,0.280959
1.40973,0.533765
1.34529,0.656911
1.20711,0.619491
1.55516,0.515151
1.55516,0.515151
1.57134,0.337354
1.04047,0.168149
1.46581,0.3945
1.09812,0.00423608
1.42327,-0.24486
1.31478,-0.116314
1.46929,0.0384283
1.31133,0.0285983
1.17714,0.249481
1.12868,-0.374694
1.25873,0.0495469
1.17913,-0.491605
1.13943,-0.365912
0.98885,-0.717906
1.2926,-0.198367
1.08786,-0.139631
1.06218,-0.0742556
0.939129,0.300096
0.885304,0.244444
0.986199,0.596728
0.822719,0.611383
1.05646,0.489114
1.31714,0.562343
1.09241,0.87254
1.11656,0.340848
1.38352,0.393831
1.43866,0.22203
1.13489,0.642075
1.20886,0.208137
1.33599,0.678864
1.2099,0.834579
1.15809,0.521797
1.40377,0.37069
1.36888,0.372877
1.25503,0.296442
1.25503,0.296442
1.34283,0.0327586
1.76768,-0.468931
1.43718,-0.307951
1.77555,-0.410424
1.34115,-0.222533
1.4127,-0.558759
1.34152,-0.47003
1.40109,-0.0323782
1.4235,-0.564991
1.21491,-0.13241
1.29597,-0.358536
1.97177,0.0284539
1.7201,-0.600592
1.7201,-0.600592
1.3793,-0.578818
1.99783,-1.03229
1.99783,-1.03229
2.35932,-0.600986
1.71742,-0.315559
1.25011,0.225549
1.77521,-0.329685
1.5162,-0.698638
1.31528,-0.450707
1.72616,-0.35075
1.2009,-0.455438
1.55241,-0.549683
1.48176,-0.61327
1.23714,-0.397616
1.43394,-0.250775
1.12943,0.0525859
1.1976,-0.119497
1.09338,-0.0114282
0.778174,-0.0993417
0.681455,-0.028734
0.828937,-0.105339
0.828937,-0.105339
0.722273,-0.0577209
0.901622,-0.175613
0.930848,0.101621
0.845102,-0.039649
0.732619,-0.0682308
0.89031,-0.0125658
0.902697,-0.18681
0.94947,-0.0632085
1.10252,0.128971
0.919809,0.112875
0.781841,0.0514402
0.556187,0.0669129
0.626909,-0.160793
0.556183,-0.21028
0.936963,-0.437428
0.984854,-0.405161
1.05393,-0.576276
0.642716,-0.491487
0.775612,-0.699853
0.969108,-0.675581
1.20163,-0.674955
1.04991,-0.620077
1.23328,-0.859642
1.17486,-0.810635
1.23182,-0.743779
1.23182,-0.743779
1.09571,-0.380206
1.08912,-0.206913
0.986061,-0.235986
0.973695,-0.282799
0.828232,-0.419682
0.640194,-0.638042
1.20782,-0.556676
0.959884,-0.223192
0.616798,-0.173001
0.521691,0.00355553
0.907182,0.0738334
0.907182,0.0738334
0.93367,-0.0629622
0.917047,-0.178479
1.29707,-0.0566019
0.943572,-0.379042
0.931403,0.3636
0.897974,0.585728
0.836072,0.407884
0.898733,0.930467
0.744622,1.13158
1.22127,1.03656
1.11953,1.06587
1.5676,0.506566
1.35803,0.542385
1.17646,0.325285
1.17646,0.325285
1.06913,0.387508
1.01494,0.33522
1.01494,0.33522
1.11701,0.0427041
1.23301,0.371223
0.996628,0.510303
0.829547,0.314855
0.619109,0.448544
0.525621,0.467479
0.232501,0.535967
0.49675,0.126382
0.273195,0.338425
0.508849,0.140601
0.394231,0.19404
0.45347,0.327943
0.563936,0.398489
0.946144,0.596299
0.687112,0.466358
0.780787,0.770502
0.898719,0.421521
1.41367,0.320258
1.12047,0.244165
1.43094,0.784529
1.2554,0.782186
1.34589,0.758856
1.29745,0.522106
0.787554,0.56909
1.1031,0.8708
0.947942,0.764878
1.05401,0.857502
1.31274,0.370693
0.97123,0.0309265
0.97188,-0.101448
1.20085,-0.122599
1.34717,-0.0408611
1.678,-0.343726
1.87837,-0.363365
1.478,-0.376563
1.26344,-0.461153
0.896978,-0.693792
1.09793,-0.6989
1.38101,-0.864189
1.12401,-1.04654
0.596553,-0.929042
0.831667,-1.09953
0.775047,-0.831151
0.530846,-1.06636
0.734929,-0.685196
0.709966,-0.770292
0.914611,-0.260269
0.874219,-0.3697
0.863235,-0.431342
0.856916,-0.292253
1.04157,-0.00948371
1.15657,0.0643264
1.24014,-0.0564962
0.650926,0.0745367
1.04567,-0.237449
0.786556,0.0287336
0.742893,0.224559
1.17208,0.0657517
0.873744,0.0576275
0.700919,0.291357
0.591788,0.447072
1.09911,0.627746
1.10157,0.260024
0.731958,0.337612
0.835961,0.339233
0.871938,0.516048
0.8664,0.242661
0.8664,0.242661
0.749202,0.180934
0.9699,0.490216
0.621582,-0.0186058
0.420355,-0.206856
0.595709,-0.239469
0.465241,-0.0662019
0.462015,-0.345352
0.388215,-0.186827
0.417739,-0.128505
0.705593,-0.205268
0.629417,0.0501582
0.615353,-0.506976
0.804307,-0.635385
0.940915,-0.707755
0.841963,-0.787992
1.03673,-0.659646
0.883244,-0.489703
0.974489,-0.025335
1.35416,0.0040788
1.35416,0.0040788
0.695738,-0.25696
0.928198,-0.150157
1.05182,-0.300383
1.02895,-0.12633
1.0081,-0.363951
1.14907,-0.175839
0.920967,-0.234538
1.03071,-0.284769
0.8581,-0.407475
0.839191,-0.384599
0.920058,-0.425895
0.948181,-0.167074
0.968131,-0.258189
0.723348,-0.115238
1.05544,0.115443
0.650675,0.010383
0.780499,0.363775
0.79967,0.44513
1.08357,0.224856
1.02528,0.622266
0.878458,0.396796
0.796179,0.0775115
0.871662,0.195282
0.708967,0.305019
0.669361,0.273302
0.793398,0.354551
1.05787,1.15455
0.999433,1.11088
0.999433,1.11088
0.604773,0.8571
1.0938,1.01943
0.855761,0.552632
0.938811,0.764382
0.845794,0.461189
0.234146,0.741393
0.234146,0.741393
0.31046,0.867271
0.672777,1.01851
0.417973,0.636643
0.709871,1.0494
0.722549,1.04839
0.85823,1.08641
1.30221,1.04603
1.3617,0.835082
0.913007,0.544653
0.886559,0.474906
0.630738,0.916523
0.773042,0.872058
0.462487,0.699147
0.462487,0.699147
0.788037,0.519314
0.844511,0.76126
0.895477,1.12175
0.911827,0.610815
0.90882,0.639425
0.889855,0.268771
0.734847,0.493784
0.788845,0.61763
0.488526,0.691987
0.729662,0.670214
1.02209,0.580687
1.1653,0.57847
1.15229,0.576384
1.33517,0.137086
1.09109,0.190871
1.34414,0.151683
1.31192,0.553731
1.46886,0.200455
1.39505,0.99124
1.82196,0.485925
1.40492,0.268661
1.82443,0.0937292
1.67863,0.285503
1.67863,0.285503
1.29028,0.312984
1.56067,-0.0060849
1.47808,-0.0576335
1.47808,-0.0576335
1.88774,-0.468784
1.44716,0.0975009
1.73549,-0.627345
1.27896,-0.590809
1.23582,-0.385588
0.829473,-0.600735
0.62002,-0.573838
0.727826,-1.00724
0.880796,-0.877155
0.894103,-1.10547
0.704335,-1.09379
0.855254,-0.839392
0.714724,-0.726305
0.512682,-0.466056
0.494366,-0.533505
0.52628,-0.558688
0.320986,-0.44179
0.402102,-0.553135
0.488706,-0.421023
0.436278,-0.459902
0.231092,-0.584802
0.486887,-0.539372
0.508429,-0.667489
0.496314,-0.870743
0.496314,-0.870743
0.317985,-0.772555
0.290757,-1.07155
0.545077,-0.879904
0.323169,-1.01353
0.382396,-1.06633
-0.112657,-1.35395
0.301659,-1.04419
0.405868,-1.0804
0.497983,-1.24815
-0.0615937,-0.964659
0.516401,-0.796788
0.343961,-0.534495
0.343961,-0.534495
0.343961,-0.534495
0.637443,-0.584433
0.530691,-0.829918
0.593469,-0.991897
0.412343,-0.718458
0.521274,-0.825266
0.521274,-0.825266
0.443694,-0.811557
0.50518,-0.688956
0.589003,-0.853059
0.463755,-0.269257
0.30707,-0.466979
0.198025,-0.638615
0.0579785,-0.54948
-0.147533,-0.518485
0.344718,-0.464094
0.380142,-0.410944
0.517185,-0.888866
0.13398,-0.838093
0.326553,-0.819151
0.0768303,-0.906574
0.302065,-1.25059
0.166796,-0.678129
0.269441,-0.886443
0.104763,-0.770446
-0.0911662,-0.991186
-0.0911662,-0.991186
-0.00309401,-0.71541
0.0435247,-0.7269
0.418399,-0.835285
0.349738,-0.817479
0.275279,-0.679465
0.367931,-1.11768
0.712617,-1.07914
0.325013,-0.748096
0.346577,-0.969859
0.00450687,-0.683446
0.243084,-0.777748
0.0529752,-0.729615
0.108811,-0.794316
0.207876,-0.784591
0.0884794,-0.747329
