MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.663988,0.663955,-0.0065738
2,0.515812,0.509385,-0.0811715
3,0.411231,0.41098,-0.0143526
4,0.415766,0.412601,-0.051207
5,0.405733,0.401245,-0.060178
6,0.38711,0.382137,0.0618495
7,0.400574,0.393078,0.077127
8,0.389939,0.369654,0.124131
9,0.393581,0.381282,0.0976225
10,0.401976,0.391877,0.089538
11,0.44327,0.435484,0.082716
12,0.395663,0.391547,0.05692
13,0.443562,0.443512,0.0066686
14,0.431276,0.431252,-0.00445909
15,0.40664,0.39684,0.08874
16,0.476439,0.468442,0.0869275
17,0.462503,0.452094,0.0975705
18,0.431993,0.431974,0.00410621
19,0.479504,0.47636,-0.054823
20,0.370238,0.36823,-0.0385103
21,0.398117,0.386297,-0.096288
22,0.367648,0.357537,-0.0856305
23,0.378234,0.363286,-0.105283
24,0.434518,0.427544,-0.077539
25,0.439196,0.41455,-0.145057
26,0.455323,0.448681,-0.0774855
27,0.455323,0.448681,-0.0774855
28,0.436169,0.426967,-0.0891235
29,0.445825,0.418185,-0.154536
30,0.41008,0.39458,-0.11168
31,0.482415,0.479812,-0.050051
32,0.430978,0.421698,-0.0889545
33,0.461213,0.457376,-0.05937
34,0.449603,0.446043,-0.0564715
35,0.440574,0.426225,-0.111522
36,0.42812,0.426096,0.0415905
37,0.421284,0.418821,0.0454874
38,0.492253,0.485818,0.0793335
39,0.45262,0.445392,0.0805645
40,0.438926,0.438924,0.00120221
41,0.45238,0.451113,-0.0338289
42,0.437306,0.436423,-0.0277746
43,0.452524,0.442652,-0.0940065
44,0.436479,0.431306,-0.066994
45,0.413889,0.385445,-0.150783
46,0.428004,0.398418,-0.156367
47,0.447759,0.426282,-0.13701
48,0.433658,0.400068,-0.167345
49,0.385108,0.364839,-0.123288
50,0.427809,0.38791,-0.180406
51,0.369093,0.32451,-0.175849
52,0.419501,0.3721,-0.193707
53,0.390841,0.342321,-0.188609
54,0.381616,0.294759,-0.24238
55,0.327087,0.238513,-0.223824
