MDTU,min_width,max_width
1,0.111286,0.0773113
2,0.129616,0.0873301
3,0.140413,0.0926596
4,0.148671,0.0956206
5,0.156353,0.100175
6,0.160569,0.0998601
7,0.159249,0.10006
8,0.163475,0.0997748
9,0.159528,0.0986836
10,0.165329,0.0996959
11,0.165477,0.101113
12,0.171362,0.101062
13,0.168047,0.101666
14,0.165536,0.0985083
15,0.169512,0.100608
16,0.165305,0.100306
17,0.167483,0.101325
18,0.16256,0.0993781
19,0.166837,0.101625
20,0.16781,0.10081
21,0.170029,0.101623
22,0.171443,0.100187
23,0.169225,0.101782
24,0.165748,0.100834
25,0.168694,0.101247
26,0.169108,0.105427
27,0.169108,0.105427
28,0.17026,0.101932
29,0.169947,0.101427
30,0.165279,0.100742
31,0.168558,0.10045
32,0.16861,0.10051
33,0.166646,0.101589
34,0.164701,0.102547
35,0.164702,0.101284
36,0.163721,0.101014
37,0.169915,0.102121
38,0.165491,0.101614
39,0.166266,0.101255
40,0.171246,0.102937
41,0.168771,0.102189
42,0.168748,0.102631
43,0.172408,0.102403
44,0.163611,0.102034
45,0.16559,0.101051
46,0.171839,0.102368
47,0.164673,0.0998085
48,0.167087,0.10049
49,0.164743,0.101685
50,0.165028,0.101876
51,0.167182,0.10174
52,0.163235,0.099444
53,0.171904,0.100609
54,0.167484,0.0999348
55,0.168148,0.101734
56,0.165924,0.102276
57,0.169648,0.101066
58,0.168901,0.102585
59,0.168766,0.103428
60,0.166932,0.102255
61,0.169198,0.102385
62,0.1658,0.102335
63,0.167594,0.10487
64,0.167308,0.102929
65,0.168645,0.102457
66,0.164669,0.1017
67,0.1727,0.103153
68,0.168861,0.102442
69,0.16948,0.101068
70,0.165913,0.100475
71,0.163181,0.101668
72,0.172195,0.103979
73,0.16802,0.104124
74,0.170531,0.103518
75,0.164678,0.100334
76,0.162915,0.101634
77,0.161753,0.100258
78,0.166945,0.102505
79,0.167271,0.102179
80,0.168767,0.103404
81,0.16675,0.101512
82,0.16447,0.102642
83,0.166353,0.101626
84,0.16834,0.101585
85,0.168961,0.102876
86,0.163879,0.102433
87,0.162845,0.100713
88,0.164567,0.102339
89,0.167344,0.102122
90,0.163714,0.102231
91,0.163714,0.102231
92,0.165974,0.101898
93,0.164063,0.100072
94,0.162534,0.100791
95,0.168802,0.101185
96,0.169419,0.101196
97,0.166188,0.102167
98,0.166022,0.102117
99,0.163432,0.10336
100,0.16438,0.102214
101,0.16438,0.102214
102,0.163893,0.10019
103,0.165976,0.101021
104,0.163615,0.102487
105,0.167165,0.101896
106,0.165185,0.102255
107,0.165374,0.100621
108,0.163358,0.102987
109,0.16363,0.102501
110,0.167682,0.103295
111,0.162848,0.102375
112,0.165599,0.101668
113,0.164247,0.101643
114,0.164607,0.102405
115,0.165106,0.101837
116,0.169545,0.10304
117,0.164083,0.101813
118,0.16676,0.101208
119,0.16166,0.101071
120,0.166,0.102734
121,0.169971,0.103914
122,0.168541,0.103245
123,0.166323,0.102784
124,0.169749,0.102675
125,0.17216,0.100057
126,0.167258,0.10156
127,0.170821,0.102949
128,0.168898,0.101743
129,0.171616,0.104995
130,0.165901,0.102966
131,0.16454,0.10441
132,0.167172,0.103038
133,0.167662,0.103099
134,0.166704,0.102582
135,0.164931,0.101587
