t,deltaS
1,-4.733
2,-1.532
3,-0.2899
4,-0.452
5,-0.3143
6,-0.04394
7,-0.2467
8,-0.02579
9,-0.035
10,-0.0575
11,-0.3588
12,0.2571
13,0.2457
14,0.05114
15,0.1494
16,-0.003103
17,0.04847
18,-0.05882
19,-0.05889
20,0.1906
21,-0.2828
22,-0.3703
23,0.05369
24,0.1448
25,0.003172
26,-0.2085
27,-0.0897
28,0.008544
29,-0.07413
30,0.06835
31,-0.03154
32,0.1104
33,-0.02483
34,-0.03346
35,-0.3967
36,-0.3389
37,0.5321
38,-0.181
39,-0.3247
40,-0.06025
41,-0.03633
42,0.04153
43,-0.113
44,0.2213
45,-0.1646
46,-0.02021
47,0.0254
48,0.1055
49,-0.1655
50,0.2874
51,0.2181
52,0.1204
53,0.2044
54,0.286
55,-0.203
56,-0.02857
57,-0.1256
58,0.05453
59,0.01675
60,0.09524
61,-0.1044
62,-0.1828
63,-0.0718
64,0.0954
65,-0.2655
66,0.3301
67,-0.1581
68,-0.2465
69,0.005074
70,-0.136
71,-0.09247
72,0.05635
73,-0.2193
74,0.1292
75,0.007503
76,0.05572
77,-0.2126
78,0.2049
79,0.142
80,-0.2065
81,0.09452
82,-0.07766
83,0.0987
84,-0.08588
85,-0.01136
86,0.2197
87,0.05294
88,-0.1399
89,0.2548
90,-0.1233
91,-0.1123
92,-0.3983
93,-0.2939
94,-0.05557
95,0.1235
96,0.03546
97,-0.5236
98,-0.001451
99,-0.09148
100,0.2995
101,0.05094
102,0.08976
103,0.2672
104,0.1286
105,0.1635
106,-0.2564
107,0.2422
108,-0.1723
109,0.2709
110,-0.08669
111,0.3192
112,-0.02785
113,-0.2653
114,-0.02796
115,-0.08569
116,-0.2439
117,0.1696
118,-0.1912
119,0.1295
120,0.07711
121,-0.4713
122,0.3438
123,-0.05424
124,0.05464
125,-0.2438
126,0.1958
127,-0.1429
128,0.3237
129,0.1247
130,-0.1761
131,-0.03542
132,0.01246
133,0.146
134,-0.1054
135,0.1903
136,0.1511
137,0.02128
138,-0.2526
139,-0.02268
140,-0.09244
141,0.08783
142,0.08701
143,0.01502
144,-0.1376
145,-0.1789
146,0.06729
147,-0.3587
148,0.1026
149,-0.1004
150,0.1922
151,-0.1456
152,0.01684
153,-0.1224
154,0.127
155,0.04354
156,-0.00438
157,0.05454
158,0.1534
159,-0.3488
160,0.1146
161,-0.04543
162,-0.1032
163,-0.1391
164,0.5071
165,-0.02066
166,-0.3805
167,0.1324
168,0.2535
169,-0.1171
170,-0.04872
171,-0.08537
172,0.1059
173,0.1505
174,-0.3881
175,-0.1431
176,-0.112
177,0.1887
178,0.09112
179,-0.1829
