MDTU,0,2,4,6,8,10
10,0.0014826,0.00274052,0.00411579,0.00515229,0.00548319,0.00575302
20,0.00328394,0.00397146,0.00511292,0.00537711,0.00666628,0.00721416
30,0.00333351,0.00366121,0.00428462,0.00486036,0.00580029,0.00701535
40,0.000979967,0.00185329,0.00261933,0.00335565,0.00422357,0.00469515
50,0.000992845,0.00163497,0.00246118,0.00279639,0.00329188,0.00379774
60,0.00200376,0.00281074,0.00355307,0.00408513,0.00522983,0.00566173
70,0.00184913,0.00245054,0.00327027,0.00434419,0.00469643,0.00521077
80,0.00165059,0.00199268,0.0030683,0.00409038,0.00460294,0.00519411
90,0.00295655,0.00322254,0.00402222,0.00462523,0.00641013,0.00705053
100,0.00174285,0.00269623,0.00316592,0.00345879,0.00486515,0.0058855
110,0.00322245,0.00379518,0.00468566,0.00552441,0.00607024,0.00647652
120,0.00267779,0.00348247,0.00446301,0.00545907,0.0057975,0.00622519
130,0.00181493,0.00229847,0.00330815,0.00402382,0.0047069,0.00538934
140,0.0026513,0.00337442,0.00450053,0.00517004,0.00548348,0.00617392
150,0.00256702,0.00321838,0.00416821,0.00454792,0.00591917,0.00683342
160,0.00146959,0.00194418,0.00270515,0.00322495,0.00356991,0.00520849
170,0.000505698,0.00059275,0.0012346,0.00136925,0.00200656,0.00228257
180,0.000837905,0.0016955,0.0020696,0.00378614,0.00411091,0.00463098
190,0.00181579,0.00224426,0.00295396,0.00427036,0.0048175,0.00596997
200,0.0028493,0.00316409,0.00450426,0.00531304,0.00572443,0.00642953
210,0.000599294,0.00125349,0.00296783,0.0037707,0.00390402,0.00499537
220,0.00165322,0.00290449,0.00362809,0.00440621,0.00559482,0.00583631
230,0.00222759,0.00361818,0.00390798,0.00434713,0.00529117,0.00604871
240,0.0025687,0.00422024,0.00477884,0.00519136,0.00578597,0.00701149
250,0.00282839,0.00367137,0.00447505,0.00496288,0.00571082,0.00645396
260,0.00235437,0.00315926,0.00362758,0.00404759,0.00468736,0.0058752
270,0.00219173,0.00297943,0.00382976,0.00547272,0.00561592,0.00643801
280,0.00322718,0.00406018,0.00561319,0.00628462,0.00674293,0.00711577
