MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.63148,1.62911,0.0878413
2,1.39131,1.31742,-0.447383
3,1.00326,0.99765,0.105958
4,0.821258,0.82112,-0.0150416
5,0.863492,0.840394,-0.198388
6,0.825704,0.75638,0.331173
7,0.896301,0.815308,0.372329
8,1.05805,0.985487,0.385085
9,0.896571,0.693696,0.568002
10,0.845067,0.782085,0.320127
11,1.18447,0.990422,0.649633
12,1.18447,0.990422,0.649633
13,1.18447,0.990422,0.649633
14,1.00355,0.923792,0.39208
15,1.14614,1.06858,0.414469
16,0.998773,0.899397,0.434318
17,0.929057,0.922539,0.109865
18,0.983904,0.98129,-0.0716812
19,0.910599,0.906648,-0.0847385
20,1.07576,1.0627,-0.167139
21,1.09442,1.08992,-0.0991764
22,0.965553,0.962758,-0.073417
23,0.760884,0.760877,-0.00339694
24,0.84864,0.713196,0.459935
25,0.848174,0.751626,0.393012
26,0.908782,0.551611,0.722226
27,0.734128,0.675825,0.286714
28,1.05854,0.822176,0.666736
29,1.18794,0.731553,0.935963
30,1.053,0.653305,0.825829
31,0.997158,0.685037,0.724602
32,1.09904,0.512628,0.972158
33,1.14474,0.477158,1.04055
34,1.08994,0.879969,0.643134
35,1.00302,0.469953,0.886112
36,1.04997,0.457681,0.944974
37,0.800168,0.56436,0.567245
38,0.757432,0.458602,0.602816
39,0.621651,0.269925,0.559992
40,0.89225,0.449708,0.770632
41,0.896264,0.379012,0.812182
42,0.699548,0.0792321,0.695046
43,0.936102,0.101739,0.930557
44,0.948871,-0.0924946,0.944352
45,0.814502,-0.29234,0.760231
46,0.942654,-0.179295,0.925445
47,0.788009,-0.226482,0.754761
48,0.625829,0.00171507,0.625827
49,0.536067,-0.120326,0.522388
50,0.711682,-0.0512985,0.70983
51,0.604403,0.0762103,0.599579
52,0.979116,-0.10485,0.973485
53,0.824986,-0.20444,0.799253
54,0.96948,-0.252608,0.935992
55,0.880215,0.138559,0.869241
56,1.13116,0.0772657,1.12852
57,0.764149,0.36052,0.673758
58,0.718288,0.301953,0.651738
59,0.795767,0.0759588,0.792134
60,1.08633,0.0324947,1.08584
61,1.37883,-0.0950045,1.37555
62,1.10307,0.398999,1.02837
63,1.00417,0.179042,0.988079
64,0.847226,0.282769,0.798645
65,1.03127,0.296377,0.987762
66,0.91866,0.259143,0.881352
67,0.949085,0.385632,0.867208
68,1.03012,0.774819,0.678819
69,0.827708,0.502247,0.657913
70,0.62737,0.371708,0.505397
71,0.741277,0.417196,0.612731
72,1.00743,0.355825,0.942501
73,0.919041,0.711994,0.581119
74,0.84499,0.511051,0.67293
75,0.610307,0.51043,0.334569
76,0.500412,0.415071,0.279514
77,0.569648,0.500787,0.271499
78,0.582364,0.575984,0.0859634
79,0.795096,0.76647,-0.211427
80,0.858064,0.84785,0.131997
81,0.858064,0.84785,0.131997
82,0.536273,0.513275,0.155362
83,0.705476,0.694497,0.123978
84,0.624326,0.600384,0.171238
85,0.71198,0.690314,0.174303
86,0.935706,0.92066,-0.167123
87,0.633214,0.626132,0.0944405
88,1.05814,1.04313,0.177599
89,0.886869,0.872746,0.157641
90,0.902806,0.894032,0.12556
91,0.768344,0.746768,0.180805
92,0.868418,0.868158,-0.0212624
93,0.852538,0.832125,0.185441
94,0.812293,0.811655,-0.0321817
95,0.973357,0.972935,-0.0286428
96,0.935763,0.862165,-0.363764
97,0.556789,0.488275,-0.267585
98,0.502446,0.49291,-0.0974269
99,0.81624,0.816035,0.018307
100,0.715445,0.713048,-0.0585169
101,0.809915,0.793396,0.162743
102,0.852423,0.841621,0.135276
103,0.535891,0.529885,0.0800097
104,0.535891,0.529885,0.0800097
105,0.618971,0.616984,0.0495643
106,0.716796,0.702285,-0.143503
107,0.530286,0.452837,-0.275938
108,0.602511,0.562119,-0.216892
109,0.764981,0.696022,-0.31741
110,0.664888,0.560723,-0.357303
111,0.711856,0.588245,-0.400884
112,0.771393,0.539856,-0.551001
113,0.831739,0.658259,-0.508413
114,0.878482,0.806089,-0.349214
115,0.887582,0.72732,-0.508731
116,0.986957,0.905686,-0.392194
117,1.00581,0.99235,-0.163985
118,1.02421,0.95371,-0.373409
119,1.02421,0.95371,-0.373409
120,0.918531,0.795854,-0.458601
121,0.751721,0.73376,-0.163342
122,0.680204,0.674408,0.0886062
123,0.768981,0.712915,-0.288244
124,0.792613,0.78743,-0.0905005
125,0.674697,0.673154,-0.0456035
126,0.720485,0.70576,-0.14492
127,0.820772,0.812279,-0.117766
128,0.722048,0.69786,0.185321
129,0.611958,0.608314,-0.0666783
130,0.620294,0.620053,0.0172707
131,0.605303,0.602446,0.0587444
132,0.469258,0.465007,-0.0630148
133,0.469258,0.465007,-0.0630148
134,0.751323,0.673101,0.333798
135,1.04701,0.989602,0.341917
136,0.921801,0.879391,0.276385
137,0.852965,0.813404,0.256757
138,0.908758,0.721635,0.552344
139,0.890105,0.866326,0.204368
140,1.11021,1.09432,0.187121
141,0.768809,0.672185,0.373142
142,1.09878,0.897671,0.633638
143,0.93469,0.885027,0.30062
144,0.877723,0.860683,0.172111
145,0.895077,0.892526,0.0675224
146,0.876241,0.87018,0.102883
