MDTU,min_ave,max_ave
1,-0.116105,0.150066
2,-0.132853,0.168228
3,-0.154063,0.168608
4,-0.16022,0.171903
5,-0.171493,0.174633
6,-0.179126,0.170115
7,-0.17833,0.177303
8,-0.185264,0.173896
9,-0.179397,0.176638
10,-0.189047,0.173651
11,-0.181926,0.178122
12,-0.181926,0.178122
13,-0.181926,0.178122
14,-0.186855,0.171742
15,-0.18545,0.172816
16,-0.182543,0.174718
17,-0.187627,0.172418
18,-0.185386,0.173411
19,-0.186934,0.174321
20,-0.19055,0.172674
21,-0.186312,0.173211
22,-0.186879,0.173388
23,-0.190607,0.173428
24,-0.185026,0.173297
25,-0.188519,0.174273
26,-0.189895,0.172614
27,-0.1888,0.172184
28,-0.184496,0.170219
29,-0.184789,0.170941
30,-0.184571,0.173933
31,-0.184263,0.170104
32,-0.185735,0.174299
33,-0.18784,0.174389
34,-0.187924,0.172769
35,-0.185742,0.172708
36,-0.183667,0.175436
37,-0.185494,0.171289
38,-0.184697,0.172345
39,-0.182841,0.17186
40,-0.186874,0.169453
41,-0.182734,0.170218
42,-0.177741,0.170772
43,-0.186493,0.171464
44,-0.185887,0.17206
45,-0.181684,0.174195
46,-0.189104,0.171634
47,-0.183304,0.174439
48,-0.184564,0.17164
49,-0.185711,0.171957
50,-0.185204,0.172103
51,-0.182399,0.172428
52,-0.181124,0.167722
53,-0.185066,0.168962
54,-0.184303,0.171082
55,-0.184328,0.171388
56,-0.189842,0.172942
57,-0.185079,0.17288
58,-0.187374,0.170324
59,-0.186751,0.172386
60,-0.186506,0.175323
61,-0.185275,0.171518
62,-0.182739,0.17143
63,-0.183151,0.169666
64,-0.1836,0.171599
65,-0.181318,0.170429
66,-0.183725,0.168285
67,-0.182306,0.170081
68,-0.18158,0.169945
69,-0.17995,0.170095
70,-0.18526,0.166858
71,-0.183308,0.173666
72,-0.185589,0.171218
73,-0.181866,0.172273
74,-0.185711,0.169085
75,-0.181792,0.170176
76,-0.185464,0.169886
77,-0.182634,0.171335
78,-0.187113,0.169176
79,-0.183049,0.172666
80,-0.180051,0.170842
81,-0.180051,0.170842
82,-0.187439,0.165918
83,-0.182626,0.172697
84,-0.189792,0.168947
85,-0.186623,0.174466
86,-0.188206,0.171399
87,-0.183117,0.171394
88,-0.180725,0.173296
89,-0.186084,0.170838
90,-0.18201,0.172403
91,-0.188557,0.172248
92,-0.183968,0.173164
93,-0.18671,0.171762
94,-0.179796,0.171158
95,-0.181777,0.17013
96,-0.189006,0.169177
97,-0.184111,0.171893
98,-0.186714,0.168652
99,-0.181954,0.173123
100,-0.186616,0.169739
101,-0.185227,0.171183
102,-0.185893,0.171236
103,-0.183029,0.170671
104,-0.183029,0.170671
105,-0.18437,0.168132
106,-0.180635,0.170934
107,-0.185035,0.16953
108,-0.178506,0.171437
109,-0.185856,0.170383
110,-0.179177,0.17091
111,-0.185127,0.172245
112,-0.187172,0.172872
113,-0.18541,0.173231
114,-0.187027,0.172728
115,-0.184923,0.172962
116,-0.185296,0.171969
117,-0.190513,0.169689
118,-0.186102,0.172525
119,-0.186102,0.172525
120,-0.189694,0.171497
121,-0.181862,0.172213
122,-0.184281,0.170536
123,-0.183179,0.170301
124,-0.188758,0.171875
125,-0.178747,0.173303
126,-0.184912,0.169531
127,-0.184089,0.172031
128,-0.184638,0.171108
129,-0.185706,0.170701
130,-0.184164,0.170867
131,-0.182327,0.173323
132,-0.187128,0.171661
133,-0.187128,0.171661
134,-0.1848,0.171742
135,-0.183772,0.171061
136,-0.179128,0.172394
137,-0.187223,0.168495
138,-0.182263,0.172819
139,-0.188106,0.168911
140,-0.187108,0.171798
141,-0.186052,0.171334
142,-0.183509,0.170111
143,-0.183827,0.171473
144,-0.189252,0.173657
145,-0.18698,0.174884
146,-0.184704,0.173133
147,-0.184488,0.173477
148,-0.188158,0.172063
149,-0.182847,0.174959
150,-0.188334,0.171493
151,-0.184766,0.171423
152,-0.18714,0.169197
153,-0.181108,0.170924
154,-0.184223,0.171169
155,-0.18096,0.172451
156,-0.182597,0.171888
157,-0.1822,0.169315
158,-0.180102,0.171286
159,-0.182396,0.168612
160,-0.178801,0.170097
161,-0.183122,0.168618
162,-0.182109,0.172012
163,-0.183915,0.170317
164,-0.181226,0.17033
165,-0.180809,0.168813
166,-0.182344,0.171139
167,-0.184143,0.1703
168,-0.179549,0.168947
169,-0.184085,0.168517
170,-0.183893,0.170108
171,-0.185027,0.168092
172,-0.185836,0.169816
173,-0.186242,0.170133
174,-0.181873,0.170301
175,-0.183695,0.171591
176,-0.182093,0.169038
177,-0.182093,0.169038
178,-0.182429,0.17006
179,-0.185594,0.172754
180,-0.183993,0.171929
181,-0.184199,0.169237
182,-0.191304,0.172396
183,-0.186095,0.173241
184,-0.188232,0.171293
185,-0.182905,0.173679
186,-0.185592,0.171087
187,-0.181178,0.170002
188,-0.184739,0.16889
189,-0.183547,0.170191
190,-0.185671,0.170622
191,-0.185671,0.170622
192,-0.184071,0.172506
193,-0.183372,0.171852
194,-0.181138,0.171038
195,-0.182757,0.170957
196,-0.180826,0.169045
197,-0.182653,0.171923
198,-0.183188,0.167713
199,-0.179664,0.171898
200,-0.186907,0.170731
201,-0.181059,0.17051
202,-0.185805,0.171709
