t,G,F1,F2,F3
1,0.001498,0.004014,null,null
2,0.001482,0.003929,null,null
3,0.001504,0.003962,null,null
4,0.001476,0.003961,null,null
5,0.001481,0.00398,null,null
6,0.001488,0.003976,null,null
7,0.001466,0.003979,null,null
8,0.001476,0.003994,null,null
9,0.001461,0.003994,null,null
10,0.001471,0.004006,null,null
11,0.001473,0.004,null,null
12,0.001476,0.004014,null,null
13,0.001467,0.004014,null,null
14,0.001466,0.003999,null,null
15,0.001475,0.004,null,null
16,0.001467,0.004002,null,null
17,0.001472,0.003983,null,null
18,0.001475,0.004004,null,null
19,0.001476,0.004003,null,null
20,0.00147,0.003966,null,null
21,0.00147,0.003993,null,null
22,0.001465,0.004003,null,null
23,0.001465,0.004002,null,null
24,0.001475,0.004009,null,null
25,0.001467,0.004018,null,null
26,0.001472,0.003992,null,null
27,0.001473,0.004009,null,null
28,0.001477,0.004009,null,null
29,0.001474,0.003986,null,null
30,0.001471,0.004011,null,null
31,0.001466,0.003987,null,null
32,0.001474,0.004001,null,null
33,0.001468,0.00399,null,null
34,0.001469,0.004001,null,null
35,0.001472,0.003997,null,null
36,0.001472,0.003998,null,null
37,0.00147,0.003987,null,null
38,0.001469,0.003996,null,null
39,0.001463,0.003983,null,null
40,0.001467,0.003981,null,null
41,0.001477,0.004008,null,null
42,0.001471,0.004022,null,null
43,0.001471,0.003989,null,null
44,0.001471,0.00401,null,null
45,0.001473,0.004013,null,null
46,0.001469,0.003994,null,null
47,0.001467,0.004002,null,null
48,0.001466,0.004006,null,null
49,0.001468,0.004004,null,null
50,0.001465,0.003989,null,null
51,0.001472,0.004014,null,null
52,0.001469,0.003997,null,null
53,0.001476,0.004001,null,null
54,0.001473,0.003982,null,null
55,0.001473,0.004009,null,null
56,0.001478,0.003995,null,null
57,0.001475,0.003993,null,null
58,0.00147,0.003981,null,null
59,0.001467,0.003982,null,null
60,0.001474,0.004002,null,null
61,0.001471,0.003995,null,null
62,0.001471,0.004022,null,null
63,0.001469,0.003998,null,null
64,0.001477,0.003982,null,null
65,0.001471,0.003981,null,null
66,0.001469,0.003982,null,null
67,0.001473,0.00399,null,null
68,0.001477,0.004008,null,null
69,0.001476,0.00399,null,null
70,0.001472,0.003982,null,null
71,0.001475,0.004023,null,null
72,0.001472,0.004013,null,null
73,0.001471,0.004037,null,null
74,0.001467,0.003997,null,null
75,0.001468,0.004007,null,null
76,0.001476,0.004,null,null
77,0.001473,0.004024,null,null
78,0.001477,0.003993,null,null
79,0.001477,0.004011,null,null
80,0.001469,0.00402,null,null
81,0.001475,0.004016,null,null
82,0.00147,0.004006,null,null
83,0.001471,0.003983,null,null
84,0.001473,0.003996,null,null
85,0.001476,0.00401,null,null
86,0.001473,0.004007,null,null
87,0.001469,0.003983,null,null
88,0.001474,0.004013,null,null
89,0.001474,0.00399,null,null
90,0.001469,0.004012,null,null
91,0.00147,0.004009,null,null
92,0.001474,0.004009,null,null
93,0.00147,0.004003,null,null
94,0.00147,0.003986,null,null
95,0.00147,0.004,null,null
96,0.001469,0.00399,null,null
97,0.001474,0.004027,null,null
98,0.001466,0.00399,null,null
99,0.001472,0.003986,null,null
100,0.001471,0.003997,null,null
101,0.001465,0.004005,null,null
102,0.001472,0.004006,null,null
103,0.001474,0.004007,null,null
104,0.001467,0.003994,null,null
105,0.001469,0.004,null,null
106,0.00147,0.003997,null,null
107,0.001469,0.004006,null,null
108,0.001472,0.003982,null,null
109,0.001465,0.003983,null,null
110,0.001464,0.003982,null,null
111,0.001464,0.003977,null,null
112,0.001474,0.003976,null,null
113,0.001468,0.003993,null,null
114,0.00147,0.003978,null,null
115,0.001471,0.003997,null,null
116,0.001469,0.004006,null,null
117,0.00147,0.004001,null,null
118,0.001472,0.004006,null,null
119,0.001465,0.003998,null,null
120,0.001469,0.003997,null,null
121,0.001482,0.004034,null,null
122,0.001475,0.003984,null,null
123,0.001471,0.004001,null,null
124,0.00147,0.003996,null,null
125,0.001471,0.00399,null,null
126,0.001462,0.003985,null,null
127,0.001471,0.003986,null,null
128,0.001469,0.003991,null,null
129,0.001473,0.003989,null,null
130,0.001473,0.004006,null,null
131,0.001472,0.004004,null,null
132,0.001471,0.004006,null,null
133,0.001471,0.003995,null,null
134,0.001473,0.003994,null,null
135,0.00147,0.003987,null,null
136,0.001475,0.004015,null,null
137,0.001473,0.003995,null,null
138,0.001472,0.00398,null,null
139,0.001478,0.004003,null,null
140,0.001472,0.004005,null,null
141,0.001468,0.004014,null,null
142,0.001475,0.003998,null,null
143,0.001471,0.003989,null,null
144,0.001471,0.004009,null,null
145,0.001468,0.003997,null,null
146,0.001466,0.004002,null,null
147,0.001472,0.004017,null,null
148,0.001467,0.003996,null,null
149,0.001473,0.004001,null,null
150,0.001469,0.003986,null,null
151,0.001472,0.003981,null,null
152,0.001469,0.003994,null,null
153,0.001469,0.004029,null,null
154,0.001465,0.00401,null,null
155,0.001467,0.004,null,null
156,0.001469,0.004013,null,null
157,0.00147,0.004003,null,null
158,0.001465,0.003993,null,null
159,0.001467,0.004,null,null
160,0.001471,0.003997,null,null
161,0.001468,0.003999,null,null
162,0.001463,0.003992,null,null
163,0.001468,0.003976,null,null
164,0.00147,0.003986,null,null
165,0.001469,0.003997,null,null
166,0.001468,0.003995,null,null
167,0.001471,0.004004,null,null
168,0.001466,0.004003,null,null
169,0.001467,0.003986,null,null
170,0.001469,0.004008,null,null
171,0.00147,0.004013,null,null
172,0.001473,0.004009,null,null
173,0.001466,0.004007,null,null
174,0.001469,0.004008,null,null
175,0.001471,0.003995,null,null
176,0.001467,0.003978,null,null
177,0.001464,0.003989,null,null
178,0.001466,0.003994,null,null
179,0.001471,0.003992,null,null
180,0.001467,0.004001,null,null
181,0.001466,0.00399,null,null
182,0.001473,0.003985,null,null
183,0.001472,0.003984,null,null
184,0.001465,0.004004,null,null
185,0.001472,0.00399,null,null
186,0.001469,0.003997,null,null
187,0.001474,0.004018,null,null
188,0.00147,0.003993,null,null
189,0.00147,0.003981,null,null
190,0.001472,0.004005,null,null
191,0.001475,0.003982,null,null
192,0.001474,0.004001,null,null
193,0.00147,0.003982,null,null
194,0.001469,0.003989,null,null
195,0.001468,0.003999,null,null
196,0.001464,0.004009,null,null
197,0.001464,0.003979,null,null
198,0.001466,0.003996,null,null
199,0.001468,0.00398,null,null
200,0.001469,0.003997,null,null
201,0.001464,0.003988,null,null
202,0.001477,0.003983,null,null
203,0.001477,0.004001,null,null
204,0.001473,0.00401,null,null
205,0.001472,0.004013,null,null
206,0.00147,0.003995,null,null
207,0.00147,0.004011,null,null
208,0.001477,0.004001,null,null
209,0.001471,0.003999,null,null
210,0.001472,0.003979,null,null
211,0.001474,0.004009,null,null
212,0.001474,0.004029,null,null
213,0.001472,0.004004,null,null
214,0.001472,0.004014,null,null
215,0.001472,0.004005,null,null
216,0.001473,0.004008,null,null
217,0.001468,0.003982,null,null
218,0.001467,0.004002,null,null
219,0.001465,0.004011,null,null
220,0.001472,0.003996,null,null
221,0.001476,0.003994,null,null
222,0.001474,0.004026,null,null
223,0.001468,0.004007,null,null
224,0.00147,0.00402,null,null
225,0.001471,0.004036,null,null
226,0.001477,0.004016,null,null
227,0.001472,0.00397,null,null
228,0.00147,0.004004,null,null
229,0.00147,0.004011,null,null
230,0.00147,0.004006,null,null
231,0.00147,0.004005,null,null
232,0.001468,0.003997,null,null
233,0.00147,0.003992,null,null
234,0.001469,0.003994,null,null
235,0.001465,0.003984,null,null
236,0.001478,0.003994,null,null
237,0.001468,0.003988,null,null
238,0.001475,0.004015,null,null
239,0.001469,0.004007,null,null
240,0.001468,0.004005,null,null
241,0.001465,0.00399,null,null
242,0.001466,0.003993,null,null
243,0.001472,0.00401,null,null
244,0.001466,0.003987,null,null
245,0.001472,0.003985,null,null
246,0.001466,0.003993,null,null
247,0.00147,0.004012,null,null
248,0.001465,0.004015,null,null
249,0.001467,0.00398,null,null
250,0.001465,0.003988,null,null
251,0.001468,0.003996,null,null
252,0.001465,0.004006,null,null
253,0.00147,0.004006,null,null
254,0.001466,0.004018,null,null
255,0.001466,0.004003,null,null
256,0.00147,0.003996,null,null
257,0.001468,0.003986,null,null
258,0.00147,0.003987,null,null
259,0.001468,0.003997,null,null
260,0.001473,0.004022,null,null
261,0.001479,0.003996,null,null
262,0.001476,0.003996,null,null
263,0.001476,0.003999,null,null
264,0.001473,0.003992,null,null
265,0.001473,0.004004,null,null
266,0.001471,0.003983,null,null
267,0.001473,0.003992,null,null
268,0.001474,0.003974,null,null
269,0.001466,0.003987,null,null
270,0.001474,0.003993,null,null
271,0.001468,0.004006,null,null
272,0.001473,0.004003,null,null
273,0.001471,0.004006,null,null
274,0.001473,0.004006,null,null
275,0.001474,0.003991,null,null
276,0.00147,0.003997,null,null
277,0.001473,0.004023,null,null
278,0.001471,0.003985,null,null
279,0.001474,0.004018,null,null
280,0.001468,0.003988,null,null
281,0.001467,0.003999,null,null
282,0.001473,0.004008,null,null
283,0.001466,0.004003,null,null
284,0.00147,0.003992,null,null
285,0.001464,0.004003,null,null
286,0.001469,0.004011,null,null
287,0.001478,0.004022,null,null
288,0.001469,0.00401,null,null
289,0.001469,0.00401,null,null
290,0.001476,0.004005,null,null
291,0.001467,0.004011,null,null
292,0.001466,0.004007,null,null
293,0.001464,0.003991,null,null
294,0.001468,0.004001,null,null
295,0.001467,0.004003,null,null
296,0.001471,0.004013,null,null
297,0.001471,0.004009,null,null
298,0.00147,0.003989,null,null
299,0.001469,0.004008,null,null
300,0.001462,0.003993,null,null
301,0.001466,0.004006,null,null
302,0.001465,0.003988,null,null
303,0.001471,0.003996,null,null
304,0.001466,0.004001,null,null
305,0.001467,0.003999,null,null
306,0.00147,0.003987,null,null
307,0.001472,0.004009,null,null
308,0.001467,0.004001,null,null
309,0.001468,0.004008,null,null
310,0.001477,0.004,null,null
311,0.001472,0.003998,null,null
312,0.001474,0.004005,null,null
313,0.001476,0.004008,null,null
314,0.001476,0.004006,null,null
315,0.001477,0.004016,null,null
316,0.001469,0.004032,null,null
317,0.00147,0.003975,null,null
318,0.001473,0.004025,null,null
319,0.001471,0.004033,null,null
320,0.001474,0.004021,null,null
321,0.001469,0.003984,null,null
322,0.001473,0.004015,null,null
323,0.001466,0.003999,null,null
324,0.001471,0.004005,null,null
325,0.001467,0.004001,null,null
326,0.00147,0.003992,null,null
327,0.001471,0.004002,null,null
328,0.00147,0.003998,null,null
329,0.001471,0.004005,null,null
330,0.001474,0.004003,null,null
331,0.001469,0.004004,null,null
332,0.001472,0.003989,null,null
333,0.001473,0.004,null,null
334,0.001472,0.003994,null,null
335,0.001471,0.004035,null,null
336,0.001471,0.003998,null,null
337,0.001472,0.003996,null,null
338,0.00147,0.004007,null,null
339,0.001467,0.004034,null,null
340,0.001467,0.004013,null,null
341,0.001468,0.00404,null,null
342,0.001468,0.003999,null,null
343,0.001467,0.004016,null,null
344,0.00147,0.003998,null,null
345,0.001468,0.004015,null,null
346,0.001466,0.003968,null,null
347,0.001472,0.004014,null,null
348,0.001469,0.004004,null,null
349,0.001466,0.004001,null,null
350,0.001474,0.003992,null,null
351,0.001465,0.004006,null,null
352,0.001467,0.004002,null,null
353,0.001462,0.003977,null,null
354,0.00147,0.004,null,null
355,0.001472,0.004007,null,null
356,0.001466,0.00399,null,null
357,0.001466,0.003984,null,null
358,0.001469,0.003997,null,null
359,0.001473,0.004001,null,null
360,0.001465,0.003977,null,null
361,0.001472,0.004017,null,null
362,0.001469,0.003994,null,null
363,0.001463,0.004009,null,null
364,0.001467,0.003993,null,null
365,0.001468,0.003994,null,null
366,0.001468,0.003999,null,null
367,0.001467,0.004013,null,null
368,0.001474,0.003993,null,null
369,0.001471,0.003996,null,null
370,0.001469,0.003998,null,null
371,0.001472,0.003984,null,null
372,0.001472,0.004008,null,null
373,0.001472,0.003999,null,null
374,0.001472,0.004015,null,null
375,0.001472,0.003991,null,null
376,0.001472,0.003995,null,null
377,0.001474,0.003987,null,null
378,0.00147,0.004,null,null
379,0.001469,0.004003,null,null
380,0.001473,0.004008,null,null
381,0.001468,0.004007,null,null
382,0.001471,0.00401,null,null
383,0.001471,0.004011,null,null
384,0.001475,0.004004,null,null
385,0.001475,0.003996,null,null
386,0.001476,0.004012,null,null
387,0.001472,0.003994,null,null
388,0.001469,0.004019,null,null
389,0.001473,0.004007,null,null
390,0.001475,0.004004,null,null
391,0.001468,0.003999,null,null
392,0.001467,0.004005,null,null
393,0.001475,0.003997,null,null
394,0.001473,0.004013,null,null
395,0.001476,0.004002,null,null
396,0.001473,0.004,null,null
397,0.001467,0.004013,null,null
398,0.001469,0.003999,null,null
399,0.001468,0.004009,null,null
400,0.00147,0.004012,null,null
401,0.00147,0.004016,null,null
402,0.001467,0.004004,null,null
403,0.001464,0.003993,null,null
404,0.001475,0.003987,null,null
405,0.001474,0.004001,null,null
406,0.001471,0.00399,null,null
407,0.001473,0.004012,null,null
408,0.001476,0.004015,null,null
409,0.001472,0.004008,null,null
410,0.001472,0.003986,null,null
411,0.001466,0.003987,null,null
412,0.00147,0.004,null,null
413,0.001469,0.004003,null,null
414,0.001473,0.003981,null,null
415,0.001474,0.004011,null,null
416,0.001472,0.004,null,null
417,0.001471,0.004015,null,null
418,0.001473,0.004016,null,null
419,0.001473,0.003987,null,null
420,0.001476,0.003999,null,null
421,0.00147,0.004001,null,null
