MDTU,|Tr(Lx)|,|Tr(Ly)|
1,1.29976,1.40398
2,1.4883,1.59752
3,1.4288,1.32322
4,1.2559,1.41456
5,1.15454,1.27766
6,0.889178,1.13614
7,1.13543,1.09259
8,0.868966,1.3675
9,1.12473,0.935524
10,1.05566,0.87469
11,1.09128,0.901173
12,1.09128,0.901173
13,0.818339,0.89321
14,0.873685,0.583887
15,0.873685,0.583887
16,1.02244,0.696292
17,0.727126,0.842706
18,0.792103,0.951438
19,0.514313,0.506468
20,0.608015,0.552642
21,0.525943,0.56152
22,0.662517,0.527219
23,0.698229,0.719313
24,0.777186,0.649394
25,0.556159,0.843123
26,0.53141,0.701986
27,0.53141,0.701986
28,0.495496,0.648119
29,0.497455,0.82919
30,0.620345,0.78036
31,0.620345,0.78036
32,0.609787,0.685131
33,0.721666,0.842014
34,0.759322,0.936461
35,0.682177,1.15666
36,0.893501,0.715133
37,0.762913,0.811745
38,0.746665,0.780285
39,0.726506,0.918336
40,0.496866,0.740342
41,0.779344,0.610689
42,0.695069,0.571633
43,0.757654,0.790375
44,0.728784,0.570868
45,0.622884,0.821771
46,0.885042,0.911438
47,0.873152,0.979082
48,0.778255,1.18949
49,0.634986,1.19426
50,0.928566,1.25428
51,1.08129,1.02236
52,1.00019,0.92384
53,0.830055,0.941441
54,0.98414,1.05657
55,0.766216,0.763558
56,0.750683,0.919652
57,0.895755,0.938749
58,0.981712,0.617585
59,1.02027,0.573457
60,0.909513,0.86123
61,0.892581,0.650014
62,0.86795,0.65238
63,0.841859,0.755733
64,0.991839,0.803505
65,0.954328,0.7572
66,1.19242,0.70674
67,0.869725,0.913618
68,0.771316,0.979636
69,0.666536,0.653961
70,0.92632,0.822593
71,0.659931,0.841501
72,0.840749,0.85611
73,0.894159,0.756444
74,0.821319,1.02962
75,0.528403,0.97803
76,0.539016,1.11442
77,0.386317,0.845402
78,0.549381,0.647505
79,0.247151,0.760328
80,0.247702,0.938575
81,0.247702,0.938575
82,0.459429,0.924302
83,0.621181,0.839818
84,0.588755,0.612017
85,0.623689,0.58105
86,0.617741,0.434574
87,0.767314,0.513825
88,0.636291,0.615847
89,0.692881,0.808848
90,0.775742,0.541364
91,0.593147,0.621388
92,0.783207,0.838867
93,0.783207,0.838867
94,0.745977,0.68213
95,0.346495,0.670893
96,0.518806,0.659055
97,0.571121,0.576183
98,0.518648,0.651414
99,0.492054,0.893841
100,0.327238,0.934154
101,0.260765,0.795175
102,0.259376,0.672105
103,0.387765,0.966536
104,0.387765,0.966536
105,0.399551,0.710691
106,0.486732,0.816177
107,0.306386,0.764342
108,0.623017,0.695583
109,0.363471,0.818274
110,0.456241,0.582715
111,0.525085,0.834378
112,0.499992,0.696738
113,0.560065,0.588884
114,0.445997,0.85486
115,0.377171,0.969263
116,0.455499,0.534985
117,0.394854,0.788518
118,0.481545,0.962587
119,0.791275,0.796815
120,0.506033,1.11147
121,0.640421,1.26662
122,0.733566,1.1078
123,0.627961,0.998972
124,1.01149,0.977525
125,1.15721,0.969495
126,0.916489,0.813145
127,1.13031,0.749337
128,0.844541,0.672387
129,0.940817,0.582621
130,0.774988,0.428647
131,0.798617,0.928235
132,0.593083,0.863602
133,0.753943,0.749558
134,0.789121,0.803237
135,0.82645,0.752723
136,0.764247,0.891397
137,0.755287,0.896595
138,0.770745,1.09939
139,0.726045,1.24971
140,0.86616,0.927123
141,0.993186,0.636659
142,1.23263,1.05961
143,0.867862,0.938849
144,0.839665,1.12193
145,0.755415,1.16508
146,1.05079,0.69987
147,1.25622,1.03455
148,1.20493,0.80664
149,1.22767,0.71853
150,0.956265,0.651697
151,1.0056,0.863181
152,0.890556,0.754753
153,0.955152,1.12046
154,0.870893,0.959042
155,1.01852,0.926355
