MDTU,plaq_ss,plaq_st
1,1.09844,1.10776
2,1.11609,1.11073
3,1.08977,1.06107
4,1.08426,1.05629
5,1.06466,1.0464
6,1.0354,1.02351
7,1.05564,1.04007
8,1.02732,1.02099
9,1.03714,1.04132
10,1.03505,1.01442
11,1.0454,1.04509
12,1.0454,1.04509
13,1.02213,1.02277
14,1.02748,1.03255
15,1.02748,1.03255
16,1.03657,1.02801
17,1.01873,1.01379
18,1.05326,1.01738
19,1.0148,0.99854
20,1.02204,1.00795
21,1.01202,1.02282
22,1.01416,1.03672
23,1.02297,1.01312
24,1.03434,1.02633
25,1.01404,1.00572
26,1.03391,1.03793
27,1.03391,1.03793
28,0.99531,1.00799
29,1.00801,1.02087
30,1.01572,1.02239
31,1.01572,1.02239
32,1.00071,1.0171
33,1.00238,1.02152
34,1.02372,1.00722
35,1.02069,1.0127
36,1.03593,1.01594
37,1.03491,1.011
38,1.00474,1.01247
39,1.02986,1.01627
40,1.02338,1.00778
41,1.02421,1.01448
42,1.01253,1.02133
43,1.02567,1.01972
44,1.01805,1.01243
45,1.00263,1.02289
46,0.989051,1.02568
47,1.02396,1.03755
48,1.02421,1.02533
49,1.01327,1.03824
50,1.02625,1.04141
51,1.02087,1.0281
52,1.01131,1.04621
53,1.00358,1.02057
54,1.02239,1.03409
55,1.00969,1.02533
56,1.01722,1.03265
57,1.03599,1.02362
58,1.02866,1.01747
59,1.02328,1.03227
60,1.02248,1.037
61,1.01901,1.03662
62,1.00521,1.03784
63,1.01289,1.02553
64,1.03145,1.02644
65,1.036,1.02936
66,1.03537,1.02154
67,1.02784,1.023
68,1.02904,1.03641
69,1.0189,1.03066
70,1.03641,1.02188
71,1.002,1.0218
72,1.01736,1.03377
73,1.03477,1.01994
74,1.03604,1.00878
75,1.02602,1.0257
76,1.04042,1.02925
77,1.01257,1.01442
78,1.03292,1.0196
79,1.00246,1.00998
80,1.00282,1.0268
81,1.00282,1.0268
82,1.01123,1.01918
83,1.00929,1.02018
84,1.02096,1.00932
85,1.01755,1.01741
86,1.01518,1.02472
87,1.00835,0.999373
88,1.01916,1.0235
89,1.01382,1.00127
90,1.01991,1.02192
91,1.00865,1.01293
92,1.0233,1.02087
93,1.0233,1.02087
94,1.01656,1.01466
95,1.03006,1.01867
96,1.00811,1.02301
97,1.02046,1.01032
98,1.00134,1.02295
99,1.01146,1.01605
100,1.00864,1.01759
101,1.02614,1.01336
102,1.01275,0.995309
103,1.02158,1.01606
104,1.02158,1.01606
105,1.01908,1.00196
106,1.0128,1.02612
107,1.01097,1.01952
108,1.01074,1.02479
109,1.02105,1.02044
110,1.02716,1.00598
111,1.01975,1.00772
112,1.01452,1.0246
113,1.01326,1.02011
114,1.03535,1.01671
115,1.02619,1.01975
116,1.01575,1.00885
117,1.01336,1.01448
118,1.02784,1.02852
119,1.04779,1.00801
120,1.01391,1.00994
121,1.04007,1.01761
122,1.02269,1.00637
123,1.01569,1.01964
124,1.0292,1.01049
125,1.03307,1.01653
126,1.03404,1.01754
127,1.0259,1.0163
128,1.01262,1.01606
129,1.02882,1.01928
130,1.01829,1.011
131,1.02807,1.02849
132,1.01582,1.00189
133,1.01738,1.01861
134,1.00362,1.01557
135,1.00668,1.02337
136,1.02955,1.02381
137,1.00041,1.01564
138,1.00801,1.01694
139,1.01868,1.02711
140,1.02289,1.00912
