MDTU,min_min,min_max,max_min,max_max5
1,-0.680632,0.184755,-0.13736,0.380297
2,-0.843989,0.185421,-0.235136,0.431915
3,-1.01262,0.22554,-0.216709,0.453349
4,-1.13996,0.207312,-0.216868,0.471381
5,-1.26152,0.210102,-0.247629,0.46761
6,-1.45108,0.196929,-0.319953,0.495686
7,-1.00923,0.261076,-0.301015,0.534973
8,-1.84463,0.265941,-0.288754,0.48191
9,-1.21325,0.199387,-0.23854,0.482933
10,-1.31466,0.222863,-0.296447,0.497651
11,-1.06882,0.262549,-0.330145,0.492969
12,-1.06882,0.262549,-0.330145,0.492969
13,-1.06882,0.262549,-0.330145,0.492969
14,-1.27478,0.257368,-0.286167,0.483197
15,-1.27478,0.257368,-0.286167,0.483197
16,-1.07256,0.240656,-0.367324,0.456921
17,-1.23368,0.213906,-0.277347,0.48526
18,-1.17943,0.267498,-0.271504,0.463475
19,-1.29131,0.236578,-0.275321,0.475306
20,-1.10254,0.255793,-0.346659,0.475805
21,-1.08043,0.22318,-0.297564,0.460722
22,-1.62888,0.205671,-0.325666,0.497137
23,-1.14913,0.242984,-0.375392,0.496716
24,-1.5835,0.238782,-0.227876,0.512603
25,-1.17493,0.238881,-0.230574,0.495028
26,-1.44412,0.279086,-0.301008,0.470081
27,-1.42969,0.219969,-0.240128,0.461872
28,-1.61066,0.219571,-0.301321,0.464524
29,-1.10822,0.223493,-0.339605,0.477
30,-1.21468,0.199869,-0.355925,0.511857
31,-1.21468,0.199869,-0.355925,0.511857
32,-1.20183,0.226223,-0.479503,0.458294
33,-1.65242,0.199962,-0.349308,0.478376
34,-1.24964,0.241935,-0.335228,0.460595
35,-1.1249,0.20923,-0.325681,0.475336
36,-1.15738,0.265033,-0.238519,0.48794
37,-1.00982,0.246946,-0.249563,0.477898
38,-1.22994,0.257658,-0.300467,0.473204
39,-2.04594,0.267463,-0.257745,0.480762
40,-1.17612,0.263974,-0.285043,0.49818
41,-1.49627,0.234967,-0.345153,0.500548
42,-1.11553,0.23698,-0.239826,0.519469
43,-1.16935,0.221444,-0.438165,0.455469
44,-1.18235,0.213575,-0.322045,0.481391
45,-1.14953,0.233744,-0.235949,0.485598
46,-1.20965,0.224033,-0.330325,0.464244
47,-1.25489,0.216435,-0.296764,0.479134
48,-1.28143,0.226503,-0.247345,0.498648
49,-1.29991,0.232893,-0.412828,0.482609
50,-1.25547,0.248535,-0.250774,0.451412
51,-1.23208,0.229736,-0.433336,0.515502
52,-1.42873,0.199367,-0.294168,0.480459
53,-1.50656,0.222095,-0.267926,0.572759
54,-1.70563,0.271559,-0.328908,0.512394
55,-1.11882,0.247739,-0.260341,0.487456
56,-1.77922,0.310096,-0.250178,0.467722
57,-1.26669,0.218857,-0.290834,0.473179
58,-1.32055,0.249949,-0.297552,0.505091
59,-1.3513,0.233473,-0.256583,0.518012
60,-1.33099,0.225903,-0.27916,0.518977
61,-1.54034,0.231355,-0.293495,0.477826
62,-1.16708,0.226589,-0.289178,0.470445
63,-1.39709,0.236429,-0.450448,0.494443
64,-1.18266,0.232318,-0.267919,0.520152
65,-1.78039,0.215975,-0.310186,0.544375
66,-1.24036,0.242239,-0.405516,0.553022
67,-1.27964,0.215362,-0.265631,0.459736
68,-1.28608,0.232579,-0.290121,0.451943
69,-1.24056,0.204411,-0.221588,0.518189
70,-1.36278,0.217742,-0.351752,0.492686
71,-1.03517,0.215161,-0.454956,0.482588
72,-1.27185,0.21317,-0.26494,0.495773
73,-1.44625,0.213824,-0.322821,0.470199
74,-1.55436,0.194381,-0.283711,0.484285
75,-1.16159,0.218603,-0.279365,0.4589
76,-1.18755,0.197428,-0.300067,0.497574
77,-1.22791,0.228294,-0.365057,0.475006
78,-1.20192,0.250337,-0.329942,0.47452
79,-1.0456,0.294716,-0.263691,0.449041
80,-1.36193,0.232694,-0.324495,0.467255
81,-1.36193,0.232694,-0.324495,0.467255
82,-1.41262,0.212699,-0.301756,0.485762
83,-1.39314,0.244725,-0.283615,0.465335
84,-1.25967,0.228048,-0.258015,0.49119
85,-1.386,0.244239,-0.334634,0.466107
86,-1.47167,0.211192,-0.268239,0.488328
87,-1.08734,0.235122,-0.242018,0.459755
88,-1.27947,0.222728,-0.33656,0.512922
89,-1.09141,0.232477,-0.29228,0.462428
90,-1.12592,0.228979,-0.366612,0.46667
91,-1.25593,0.223587,-0.306083,0.470386
92,-1.35819,0.257874,-0.287321,0.462658
93,-1.40847,0.233806,-0.457437,0.488684
94,-1.14938,0.230486,-0.314591,0.478573
95,-1.56445,0.259954,-0.297602,0.475238
96,-1.30883,0.240862,-0.372776,0.475277
97,-1.15141,0.244298,-0.287118,0.476383
98,-1.28492,0.225308,-0.321018,0.49457
99,-1.77073,0.246356,-0.303835,0.544707
100,-1.75146,0.282665,-0.32472,0.448842
