MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.621178,0.600647
2,0.542761,0.517382
3,0.554037,0.494547
4,0.489167,0.419156
5,0.417251,0.410731
6,0.436613,0.396374
7,0.447684,0.425787
8,0.444244,0.43909
9,0.450181,0.368881
10,0.384069,0.347141
11,0.433183,0.31736
12,0.433183,0.31736
13,0.414842,0.372268
14,0.391488,0.268611
15,0.391488,0.268611
16,0.414248,0.259673
17,0.366184,0.349141
18,0.291191,0.330677
19,0.258664,0.260288
20,0.294847,0.237616
21,0.304691,0.198095
22,0.340574,0.243013
23,0.375097,0.262081
24,0.396921,0.267758
25,0.318486,0.270606
26,0.327729,0.261407
27,0.313018,0.199879
28,0.320724,0.244911
29,0.287183,0.184261
30,0.372293,0.269681
31,0.372293,0.269681
32,0.372293,0.269681
33,0.278545,0.254041
34,0.302788,0.253639
35,0.332358,0.305281
36,0.374693,0.298508
37,0.306437,0.277999
38,0.309361,0.354889
39,0.213769,0.260537
40,0.18854,0.307378
41,0.212798,0.287773
42,0.241488,0.27235
43,0.22717,0.314663
44,0.209689,0.312918
45,0.185121,0.309171
46,0.168746,0.326882
47,0.22445,0.33791
48,0.202609,0.350251
49,0.201789,0.318825
50,0.147241,0.350133
51,0.137458,0.355389
52,0.100384,0.382359
53,0.131498,0.382483
54,0.160785,0.445227
55,0.201641,0.466194
56,0.218826,0.419227
57,0.121234,0.313491
58,0.109881,0.313755
59,0.175214,0.340835
60,0.169724,0.371952
61,0.133111,0.302195
62,0.149067,0.363971
63,0.194115,0.306835
64,0.162211,0.269635
65,0.0677479,0.274427
66,0.105084,0.342645
67,0.04866,0.342432
68,0.0508287,0.400932
69,0.0453623,0.298712
70,0.0909607,0.263279
71,0.112607,0.351106
72,0.074371,0.409646
73,0.0595298,0.335845
74,0.0562236,0.286918
75,0.131636,0.354244
76,0.11036,0.31693
77,0.129765,0.343497
78,0.0497604,0.337816
79,0.0353159,0.319146
80,0.0537269,0.332448
81,0.0537269,0.332448
82,0.152759,0.378242
83,0.159823,0.374582
84,0.149812,0.409102
85,0.131737,0.390592
86,0.0537517,0.37351
87,0.0584873,0.404098
88,0.0822799,0.398864
89,0.0171175,0.473793
90,0.0996133,0.471309
91,0.0996133,0.471309
92,0.0884428,0.446258
93,0.0249134,0.414621
94,0.0240647,0.367812
95,0.0336319,0.3934
96,0.0318531,0.406528
97,0.0819352,0.390215
98,0.0513693,0.362059
99,0.0493358,0.334117
100,0.0518975,0.363095
101,0.127767,0.390505
102,0.112587,0.385378
103,0.159683,0.382526
104,0.159683,0.382526
105,0.0275761,0.390234
106,0.158289,0.377318
107,0.102255,0.315041
108,0.132285,0.29487
109,0.124652,0.345892
110,0.142573,0.291867
111,0.0847448,0.303736
112,0.154682,0.296772
113,0.124789,0.361863
114,0.117977,0.361651
115,0.137161,0.373609
116,0.145741,0.42295
117,0.0705415,0.382719
118,0.0241338,0.457724
119,0.00629081,0.402987
120,0.0760471,0.440966
121,0.0897221,0.453642
122,0.21044,0.401148
123,0.192167,0.383423
124,0.16958,0.332675
125,0.0647802,0.385344
126,0.0999567,0.301308
127,0.10835,0.339209
128,0.055512,0.278402
129,0.0410467,0.284091
130,0.0688176,0.259782
131,0.0688176,0.259782
132,0.0735803,0.244761
133,0.0765495,0.319315
134,0.108341,0.282696
135,0.200989,0.299411
136,0.115135,0.354952
137,0.181778,0.405146
138,0.098821,0.299066
139,0.131102,0.308265
140,0.112595,0.347648
141,0.101057,0.332548
142,0.13576,0.391163
143,0.139999,0.332796
144,0.0762059,0.362474
145,0.116243,0.326471
146,0.0365936,0.300078
147,0.0155161,0.307647
148,0.0649801,0.167435
149,0.0746544,0.118055
150,0.075018,0.1786
151,0.215865,0.261297
152,0.213148,0.334014
153,0.10527,0.324062
154,0.0630914,0.330225
155,0.107831,0.283897
156,0.112227,0.277877
157,0.172055,0.312594
158,0.0747619,0.388937
159,0.0815635,0.383643
160,0.0535212,0.380084
161,0.103859,0.39352
162,0.103859,0.39352
163,0.131313,0.389108
164,0.12523,0.363034
165,0.112012,0.38558
166,0.0979415,0.430194
167,0.148917,0.391968
168,0.107,0.440416
169,0.106935,0.423624
170,0.019881,0.392106
171,0.0677947,0.413657
172,0.0652753,0.444166
173,0.118941,0.379679
174,0.0644503,0.369361
175,0.0203775,0.417295
176,0.0905443,0.437064
177,0.0373458,0.419126
178,0.0258121,0.351718
179,0.0997946,0.318369
180,0.085152,0.352062
181,0.0980595,0.389951
182,0.0270386,0.360384
183,0.101084,0.3826
184,0.0889153,0.355341
185,0.0716453,0.383856
186,0.0385152,0.307179
187,0.0491995,0.436497
188,0.0305132,0.401103
189,0.0355221,0.35581
190,0.0685453,0.31952
191,0.0685453,0.31952
192,0.0753029,0.329295
193,0.115306,0.36156
194,0.214711,0.409589
195,0.282739,0.297582
196,0.258003,0.269945
197,0.270127,0.254802
198,0.269349,0.266085
199,0.271508,0.296291
200,0.224181,0.335296
201,0.224181,0.335296
202,0.221094,0.199513
203,0.297038,0.369744
204,0.254666,0.313731
205,0.311951,0.326546
206,0.260781,0.322927
207,0.235388,0.341406
208,0.157575,0.372771
209,0.208176,0.377111
210,0.188227,0.397204
211,0.253055,0.409221
212,0.240134,0.434915
213,0.223292,0.409781
214,0.309831,0.452278
215,0.275623,0.446106
216,0.26304,0.427134
217,0.267241,0.417303
