t,eps_f,eps_g
10,0.1,0.005
20,0.125,0.0078125
30,0.125,0.0078125
40,0.125,0.0078125
50,0.125,0.0078125
60,0.125,0.0078125
70,0.125,0.0078125
80,0.125,0.0078125
90,0.125,0.0078125
100,0.125,0.0078125
110,0.125,0.0078125
120,0.125,0.0078125
130,0.125,0.0078125
140,0.125,0.0078125
150,0.125,0.0078125
160,0.125,0.0078125
170,0.125,0.0078125
180,0.125,0.0078125
190,0.125,0.0078125
200,0.125,0.0078125
210,0.125,0.0078125
220,0.125,0.0078125
230,0.125,0.0078125
240,0.125,0.0078125
250,0.125,0.0078125
260,0.125,0.0078125
270,0.125,0.0078125
280,0.125,0.0078125
290,0.125,0.0078125
300,0.125,0.0078125
310,0.125,0.0078125
320,0.125,0.0078125
330,0.125,0.0078125
340,0.125,0.0078125
350,0.125,0.0078125
360,0.125,0.0078125
370,0.125,0.0078125
380,0.125,0.0078125
390,0.125,0.0078125
400,0.125,0.0078125
410,0.125,0.0078125
420,0.125,0.0078125
430,0.125,0.0078125
440,0.125,0.0078125
450,0.125,0.0078125
460,0.125,0.0078125
470,0.125,0.0078125
480,0.125,0.0078125
490,0.125,0.0078125
500,0.125,0.0078125
510,0.125,0.0078125
520,0.125,0.0078125
530,0.125,0.0078125
540,0.125,0.0078125
550,0.125,0.0078125
560,0.125,0.0078125
570,0.125,0.0078125
580,0.125,0.0078125
590,0.125,0.0078125
600,0.125,0.0078125
610,0.125,0.0078125
620,0.125,0.0078125
630,0.125,0.0078125
640,0.125,0.0078125
650,0.125,0.0078125
660,0.125,0.0078125
670,0.125,0.0078125
680,0.125,0.0078125
690,0.125,0.0078125
700,0.125,0.0078125
710,0.125,0.0078125
720,0.125,0.0078125
730,0.125,0.0078125
740,0.125,0.0078125
750,0.125,0.0078125
760,0.125,0.0078125
770,0.125,0.0078125
780,0.125,0.0078125
790,0.125,0.0078125
800,0.125,0.0078125
810,0.125,0.0078125
820,0.125,0.0078125
830,0.125,0.0078125
840,0.125,0.0078125
850,0.125,0.0078125
860,0.125,0.0078125
870,0.125,0.0078125
880,0.125,0.0078125
890,0.125,0.0078125
900,0.125,0.0078125
910,0.125,0.0078125
920,0.125,0.0078125
930,0.125,0.0078125
940,0.125,0.0078125
950,0.125,0.0078125
960,0.125,0.0078125
970,0.125,0.0078125
980,0.125,0.0078125
990,0.125,0.0078125
1000,0.125,0.0078125
1010,0.125,0.0078125
1020,0.125,0.0078125
1030,0.125,0.0078125
1040,0.125,0.0078125
1050,0.125,0.0078125
1060,0.125,0.0078125
1070,0.125,0.0078125
1080,0.125,0.0078125
1090,0.125,0.0078125
1100,0.125,0.0078125
1110,0.125,0.0078125
1120,0.125,0.0078125
1130,0.125,0.0078125
1140,0.125,0.0078125
