MDTU,S_B
1,0.606796
2,0.768614
3,0.872614
4,0.916619
5,0.946098
6,0.972649
7,0.982806
8,0.988774
9,0.988774
10,0.987368
11,0.997094
12,0.991009
13,0.997639
14,0.989852
15,0.994207
16,0.991027
17,0.99624
18,0.99624
19,1.00113
20,0.994284
21,1.00415
22,0.996289
23,1.00362
24,0.999587
25,0.997659
26,0.993879
27,0.99763
28,1.00173
29,0.996833
30,1.01078
31,0.996627
32,0.999441
33,0.999441
34,1.00783
35,1.00288
36,0.996442
37,0.993928
38,1.00123
39,0.990621
40,1.00107
41,1.0056
42,0.993742
43,0.998002
44,0.998826
45,1.00032
46,1.00182
47,0.999003
48,0.996305
49,0.999603
50,0.999138
51,0.994691
52,0.996829
53,0.992601
54,1.00393
55,0.996757
56,1.00462
57,1.00241
58,1.00225
59,0.9964
60,0.999835
61,0.997396
62,1.00072
63,0.997865
64,1.00148
65,0.998862
66,0.99898
67,1.00461
68,1.00431
69,1.00302
70,0.997864
71,1.00117
72,0.999686
73,0.999686
74,0.993573
75,1.01032
76,1.00252
77,1.00297
78,1.00043
79,0.999776
80,1.00228
81,1.00228
82,1.00228
83,0.992986
84,0.993838
85,1.00036
86,1.00463
87,0.993706
88,1.00052
89,0.996524
90,0.998111
91,1.00225
92,1.00091
93,0.984187
94,0.98082
95,0.98903
96,0.990818
97,0.999393
98,0.993828
99,1.00575
100,0.994351
101,0.994351
102,0.994879
103,0.998648
104,1.00082
105,0.99908
106,1.00207
107,1.00044
108,0.993667
109,0.995929
110,0.996069
111,0.990837
112,0.994226
113,0.987328
114,0.993828
115,0.997243
116,1.00617
117,1.00405
118,1.00256
119,1.00256
120,0.996293
121,1.00234
122,0.992372
123,1.00378
124,1.00024
125,0.99093
126,0.991167
127,1.0018
128,0.989237
129,1.00228
130,1.00066
131,0.996016
132,0.997007
133,1.00216
134,0.994927
135,0.996752
136,0.996079
137,0.999788
138,0.995119
139,1.00017
140,0.999899
141,0.998496
142,0.996981
143,0.998792
144,0.992537
145,1.00124
146,1.00156
147,0.997011
148,1.00482
149,1.0036
150,1.0036
151,1.0036
152,0.999807
153,0.995641
154,0.995454
155,0.995454
156,0.993199
157,0.993199
158,1.00716
159,0.999741
160,1.00542
161,0.999529
162,0.992556
163,0.989714
164,0.990951
165,0.99387
166,0.995577
167,0.996011
168,0.996763
169,0.993787
170,0.995477
171,1.00057
172,0.992825
173,0.995901
174,0.996958
175,0.988588
176,0.994772
177,0.994772
178,0.990248
179,0.994612
180,0.986895
181,0.986718
182,0.999244
183,1.00025
184,0.997102
185,1.00178
186,1.00241
187,1.0038
188,1.00186
189,0.996953
190,0.99489
191,0.99489
192,0.995209
193,0.998286
194,0.997181
195,1.00187
196,1.00075
197,1.00114
198,0.99793
199,0.997776
200,0.992666
201,0.996913
202,0.998111
203,0.987833
204,0.997772
205,0.99121
206,0.997599
207,0.995032
208,0.999315
209,0.997227
210,0.995231
211,1.00313
212,0.994441
213,0.996867
214,0.993363
215,0.99401
216,0.995925
217,0.991108
218,0.997783
219,1.00296
220,1.00192
221,0.997296
222,0.999226
223,0.990869
224,1.00394
225,0.998691
226,1.00385
227,1.00385
228,0.993175
229,0.993175
230,0.99785
231,1.00366
232,1.00442
233,0.990021
234,0.992829
235,0.997558
236,0.995474
237,0.995594
238,1.00618
239,1.00531
240,1.0063
241,0.995309
242,1.00215
243,0.994819
244,0.994819
245,0.993668
246,0.997294
247,0.992067
248,0.994449
249,0.985865
250,0.995763
251,0.990699
252,0.99657
253,1.00658
254,0.995439
255,0.987923
256,0.997819
257,0.988642
258,0.987373
259,0.989282
260,0.994646
261,0.997275
262,0.993827
263,0.993827
264,0.997815
265,0.997878
266,0.991814
267,0.996973
268,0.988658
269,0.990821
270,0.997461
271,0.997737
272,0.998177
273,0.992618
274,0.990792
275,0.994873
276,0.992024
277,0.999052
278,0.991895
279,1.00162
280,0.995183
281,0.995183
282,0.995183
283,0.995183
284,0.992509
285,0.991675
286,0.998454
287,1.00335
288,1.00491
289,1.00282
290,0.99947
291,0.995777
292,0.995378
293,0.995633
294,0.995973
295,1.00022
296,1.00138
297,0.997458
298,0.998909
299,0.99606
300,0.99448
301,0.992242
302,0.993183
303,0.9875
304,0.99234
305,0.994148
306,0.988431
307,1.00093
308,0.985507
309,0.99047
310,1.00904
311,0.996793
312,0.995565
313,1.00166
314,0.995091
315,0.990287
316,1.00318
317,0.993765
318,1.00139
319,1.00139
320,0.994764
321,0.99672
322,0.996953
323,0.994088
324,0.995045
325,0.994441
326,0.994914
327,0.993802
328,0.991533
329,0.996433
330,0.99723
331,0.990193
332,0.995854
333,0.997925
334,0.999088
335,0.996927
336,0.99646
337,0.995662
338,1.00093
339,0.998677
340,1.00269
341,0.999724
342,1.00215
343,0.998306
344,0.993246
345,1.00742
346,0.997777
347,0.998051
348,0.998879
349,0.992755
350,0.996023
351,0.996634
352,0.992162
353,0.997654
354,0.997275
355,1.00683
356,0.99114
357,0.998005
358,1.00377
359,0.998451
360,0.993629
361,0.997365
362,0.991641
363,0.993873
364,0.994509
365,1.00166
366,0.995752
367,0.997467
368,0.994318
369,0.995405
370,0.99749
371,1.00326
372,1.00029
373,1.00574
374,1.00574
375,1.00327
376,1.00665
377,1.00507
378,1.00103
379,0.993502
380,0.999989
381,1.00459
382,1.00048
383,0.993397
384,0.999573
385,0.991794
386,1.00141
387,1.00141
388,1.00132
389,0.997331
390,0.996833
391,0.99637
392,0.999322
393,0.998554
394,1.00144
395,0.999718
396,0.997654
397,0.993825
