t,|deltaS|
1,7.634
2,1.502
3,1.144
4,0.5862
5,0.4609
6,0.204
7,0.08786
8,0.06498
9,0.4023
10,0.09764
11,0.05866
12,0.0116
13,0.1121
14,0.08071
15,0.1823
16,0.08801
17,0.2217
18,0.4593
19,0.09048
20,0.1143
21,0.1791
22,0.004268
23,0.06991
24,0.09325
25,0.002693
26,0.0049
27,0.3463
28,0.1308
29,0.03494
30,0.1744
31,0.2491
32,0.09519
33,0.1824
34,0.1336
35,0.1476
36,0.1587
37,0.052
38,0.2101
39,0.03475
40,0.105
41,0.1019
42,0.4046
43,0.08797
44,0.02521
45,0.1383
46,0.01272
47,0.07909
48,0.3404
49,0.01602
50,0.09436
51,0.1099
52,0.1265
53,0.136
54,0.1201
55,0.003623
56,0.1948
57,0.1722
58,0.102
59,0.01509
60,0.02614
61,0.2641
62,0.1863
63,0.06283
64,0.266
65,0.2036
66,0.1405
67,0.3951
68,0.005058
69,0.2601
70,0.2149
71,0.04737
72,0.04583
73,0.1369
74,0.03252
75,0.3259
76,0.1506
77,0.01753
78,0.1554
79,0.2476
80,0.01223
81,0.1819
82,0.3093
83,0.1338
84,0.0155
85,0.2025
86,0.1282
87,0.1209
88,0.02425
89,0.05785
90,0.3401
91,0.118
92,0.1741
93,0.01802
94,0.009572
95,0.06593
96,0.2034
97,0.2021
98,0.06425
99,0.09253
100,0.2586
101,0.1516
102,0.2169
103,0.05564
104,0.1725
105,0.04558
106,0.09886
107,0.1396
108,0.4022
109,0.04944
110,0.02924
111,0.2918
112,0.09966
113,0.1127
114,0.3171
115,0.1878
116,0.1389
117,0.1049
118,0.2081
119,0.1303
120,0.02928
121,0.191
122,0.1559
123,0.1801
124,0.03934
125,0.09637
126,0.177
127,0.1874
128,0.06979
129,0.2112
130,0.06227
131,0.08315
132,0.03652
133,0.05543
134,0.2071
135,0.3378
136,0.2937
137,0.09913
138,0.2247
139,0.01623
140,0.1682
141,0.08291
142,0.02021
143,0.01389
144,0.1836
145,0.122
146,0.04383
147,0.01136
148,0.2655
149,0.1777
150,0.2721
151,0.3795
152,0.1545
153,0.2898
154,0.03303
155,0.282
156,0.1571
157,0.2195
158,0.1786
159,0.04133
160,0.07843
161,0.1673
162,0.07339
163,5.352e-05
164,0.06387
165,0.05634
166,0.2582
167,0.1228
168,0.2002
169,0.09048
170,0.1475
171,0.098
172,0.2395
173,0.1083
174,0.06014
175,0.03628
176,0.1926
177,0.2154
178,0.06976
179,0.02776
180,0.09124
181,0.04419
182,0.302
183,0.01441
184,0.187
185,0.02992
186,0.01587
187,0.09057
188,0.03101
189,0.2355
190,0.05103
191,0.04343
192,0.1376
193,0.4546
194,0.02179
195,0.08037
196,0.1815
197,0.04271
198,0.04882
199,0.02203
200,0.08002
201,0.1768
202,0.08514
203,0.253
204,0.05453
205,0.3703
206,0.05883
207,0.01592
208,0.08263
209,0.1135
210,0.1093
211,0.1577
212,0.1155
213,0.0205
214,0.08501
215,0.01616
216,0.1921
217,0.09476
218,0.02818
219,0.1822
220,0.01421
221,0.07265
222,0.2812
223,0.01194
224,0.1843
225,0.133
226,0.2729
227,0.06735
228,0.0666
229,0.1559
230,0.03887
231,0.1944
232,0.2406
233,0.1209
234,0.2726
235,0.1777
236,0.2033
237,0.006858
238,0.2322
239,0.237
240,0.1033
241,0.07904
242,0.2547
243,0.1019
244,0.09444
245,0.2965
246,0.02878
247,0.01464
248,0.1732
249,0.04433
250,0.165
251,0.07653
252,0.07919
253,0.06168
254,0.002506
255,0.01349
256,0.3355
257,0.03764
258,0.1404
259,0.04786
260,0.1294
261,0.06729
262,0.05606
263,0.3909
264,0.08744
265,0.1108
266,0.1017
267,0.03993
268,0.02847
269,0.03548
270,0.1285
271,0.05246
272,0.2856
273,0.09019
274,0.07442
275,0.2878
276,0.1264
277,0.2095
278,0.08429
279,0.02826
280,0.03105
281,0.1093
282,0.05251
283,0.02427
284,0.09948
285,0.08045
286,0.06292
287,0.06361
288,0.009765
289,0.2278
290,0.1104
291,0.2848
292,0.05204
293,0.05672
294,0.2938
295,0.1706
296,0.06852
297,0.03284
298,0.02349
299,0.0581
300,0.2991
301,0.1691
302,0.1517
303,0.06518
304,0.1123
305,0.02788
306,0.07124
307,0.05614
308,0.08993
309,0.08972
310,0.1106
311,0.1671
312,0.1923
313,0.119
314,0.4687
315,0.4235
316,0.06991
317,0.1587
318,0.39
319,0.2688
320,0.2568
321,0.03438
322,0.1898
323,0.3099
324,0.07708
325,0.2586
326,0.01958
327,0.03811
328,0.1525
329,0.1593
330,0.1005
331,0.07205
332,0.02882
333,0.001292
334,0.2408
335,0.1319
336,0.2001
337,0.02137
338,0.07753
339,0.1128
340,0.04816
341,0.2363
342,0.1999
343,0.2648
344,0.2197
345,0.2348
346,0.2324
347,0.2248
348,0.2277
349,0.009756
350,0.09847
351,0.2119
352,0.1041
353,0.116
354,0.04699
355,0.2072
356,0.114
357,0.1282
358,0.2328
359,0.03108
360,0.1146
361,0.1984
362,0.04041
363,0.1806
364,0.07044
365,0.3123
366,0.2233
367,0.2596
368,0.1165
369,0.005253
370,0.04235
371,0.05616
372,0.2019
373,0.0005624
374,0.11
375,0.08803
376,0.2264
377,0.02404
378,0.2104
379,0.269
380,0.2232
381,0.1251
382,0.02341
383,0.03823
384,0.1695
385,0.02116
386,0.0428
387,0.1788
388,0.05068
389,0.2142
390,0.05138
391,0.1208
392,0.2913
393,0.1263
394,0.08919
395,0.1157
396,0.04359
397,0.1325
398,0.2101
399,0.3477
400,0.1149
401,0.03687
402,0.01739
403,0.02475
404,0.06646
405,0.109
406,0.003316
407,0.003068
408,0.01685
409,0.1803
410,0.1627
411,0.1243
412,0.1761
413,0.05954
414,0.05707
415,0.1471
416,0.04668
417,0.2527
418,0.2378
419,9.658e-05
420,0.248
421,0.0925
422,0.1771
423,0.0688
424,0.2003
425,0.2728
426,0.1806
427,0.167
428,0.04871
429,0.1407
430,0.008406
431,0.137
432,0.04555
433,0.06711
434,0.01711
435,0.06771
436,0.06003
437,0.1364
438,0.4556
439,0.0882
440,0.09232
441,0.04186
442,0.07314
443,0.3173
444,0.1093
445,0.01602
446,0.1094
447,0.1341
448,0.05827
449,0.1938
450,0.04371
451,0.05735
452,0.1323
453,0.06528
454,0.113
455,0.006316
456,0.1676
457,0.3154
458,0.04957
459,0.1182
460,0.07178
461,0.2321
462,0.1369
463,0.2042
464,0.01234
465,0.1275
466,0.1066
467,0.1263
468,0.2729
469,0.1804
470,0.1327
471,0.1867
472,0.3244
473,0.1741
474,0.04409
475,0.007277
476,0.1332
477,0.2103
478,0.104
479,0.09052
480,0.05073
481,0.2547
482,0.09569
483,0.05642
484,0.08469
485,0.1722
486,0.17
487,0.1919
488,0.04237
489,0.2633
490,0.2881
491,0.001427
492,0.1692
493,0.2105
494,0.1331
495,0.02662
496,0.1909
497,0.009605
498,0.1156
499,0.2233
500,0.2896
501,0.04059
502,0.05985
503,0.2993
504,0.03799
505,0.05425
506,0.2565
507,0.03409
508,0.00159
509,0.1419
510,0.05577
511,0.08348
512,0.1144
513,0.02104
514,0.2309
515,0.09016
516,0.02236
517,0.1426
518,0.1222
519,0.1862
520,0.04786
521,0.2572
522,0.1826
523,0.09478
524,0.2175
525,0.1344
526,0.2156
527,0.2674
528,0.05953
529,0.3435
530,0.0282
531,0.1151
532,0.1109
533,0.03892
534,0.06255
535,0.0437
536,0.03758
537,0.2154
538,0.152
539,0.0362
540,0.1994
541,0.149
542,0.08693
543,0.02778
544,0.0003205
545,0.008963
546,0.02657
547,0.02292
548,0.02854
549,0.1366
550,0.09931
551,0.1023
552,0.01103
553,0.1196
554,0.06299
555,0.1096
556,0.1816
557,0.02662
558,0.1337
559,0.2218
560,0.03501
561,0.023
562,0.1381
563,0.06258
564,0.03413
565,0.2494
566,0.237
567,0.1955
568,0.103
569,0.1282
570,0.3653
571,0.02152
572,0.0348
573,0.1773
574,0.03927
575,0.1659
576,0.06431
577,0.0704
578,0.05097
579,0.1052
580,0.1071
581,0.07849
582,0.02385
583,0.1093
584,0.1012
585,0.1111
586,0.05818
587,0.2537
588,0.0717
589,0.05774
590,0.262
591,0.004957
592,0.412
593,0.2017
594,0.06543
595,0.1631
596,0.003754
597,0.03478
598,0.1747
599,0.0009887
600,0.05562
601,0.2381
602,0.1593
603,0.1347
604,0.1975
605,0.01891
606,0.214
607,0.02209
608,0.2256
609,0.2409
610,0.2537
611,0.1889
612,0.0175
613,0.1299
614,0.05249
615,0.003603
616,0.1476
617,0.007503
618,0.08299
619,0.09112
620,0.2002
621,0.03353
622,0.141
623,0.04747
624,0.05045
625,0.08786
626,0.117
627,0.06046
628,0.0526
