t,cond_num
10,9.95995
20,9.27028
30,9.66763
40,9.58787
50,8.87521
60,9.0649
70,9.22497
80,8.89943
90,9.1666
100,8.89638
110,9.72496
120,9.27048
130,9.90826
140,8.88643
150,8.89447
160,9.05185
170,8.81482
180,9.0476
190,9.81094
200,9.24396
210,8.74894
220,8.69028
230,8.5854
240,8.45364
250,8.628
260,8.49985
270,8.60034
280,8.66238
290,8.60595
300,8.54887
310,8.74082
320,8.67445
330,8.40029
340,8.56082
350,8.67558
360,8.63168
370,8.63463
380,8.75681
390,8.83262
400,8.85947
410,8.93415
420,9.12607
430,9.6005
440,9.20489
450,9.06706
460,12.0479
470,9.34756
480,9.18489
490,10.0311
500,10.2097
510,9.06778
520,10.555
530,9.3562
540,nan
