t,e^(-dS)
1,2067.3
2,4.49066
3,3.1393
4,1.79715
5,1.5855
6,1.2263
7,1.09184
8,1.06714
9,0.66878
10,1.10257
11,0.943027
12,0.988467
13,0.893955
14,1.08406
15,1.19997
16,0.915752
17,1.2482
18,0.631726
19,1.0947
20,0.89199
21,1.19614
22,1.00428
23,0.932478
24,1.09774
25,0.997311
26,0.995112
27,1.41383
28,1.13974
29,1.03556
30,1.19053
31,1.28287
32,0.9092
33,0.833268
34,1.14294
35,0.862776
36,0.853252
37,1.05338
38,1.2338
39,0.965847
40,0.900325
41,0.90312
42,0.667244
43,0.915788
44,1.02553
45,0.870837
46,0.987361
47,1.0823
48,1.40551
49,1.01615
50,1.09896
51,0.895924
52,1.13485
53,0.872843
54,1.12761
55,0.996384
56,1.21507
57,0.841811
58,1.10738
59,0.985023
60,1.02648
61,1.30226
62,0.830025
63,0.939103
64,1.30474
65,1.22581
66,0.868924
67,1.48453
68,0.994955
69,0.770974
70,1.23974
71,1.04851
72,0.955204
73,0.872057
74,0.968003
75,1.38528
76,0.860192
77,0.982623
78,0.856073
79,0.780672
80,1.01231
81,0.833685
82,0.733961
83,0.874765
84,1.01562
85,1.22446
86,1.13678
87,0.886123
88,1.02455
89,0.943792
90,0.711699
91,1.12524
92,0.840213
93,0.982141
94,0.990474
95,0.936196
96,1.22556
97,1.22397
98,0.937771
99,1.09695
100,0.772132
101,0.859332
102,1.24222
103,0.94588
104,1.18827
105,0.955443
106,0.90587
107,0.869706
108,1.49511
109,0.951762
110,1.02967
111,0.746918
112,0.905145
113,1.1193
114,1.37314
115,0.82878
116,0.870315
117,0.900415
118,0.812126
119,0.877832
120,0.971145
121,1.21046
122,0.855645
123,1.19734
124,1.04012
125,0.908128
126,0.83778
127,1.20611
128,0.93259
129,1.23516
130,1.06425
131,0.920213
132,1.0372
133,1.057
134,1.23011
135,0.713338
136,0.7455
137,1.10421
138,0.798756
139,1.01636
140,0.845185
141,1.08644
142,0.979993
143,1.01399
144,0.832269
145,1.12975
146,1.0448
147,0.988704
148,1.30408
149,0.837194
150,0.761778
151,0.684203
152,1.16707
153,0.748413
154,0.96751
155,0.754274
156,1.17011
157,0.80292
158,0.83644
159,0.959512
160,1.08159
161,0.845946
162,0.929238
163,0.999946
164,1.06595
165,1.05796
166,0.772441
167,0.884441
168,1.22165
169,1.0947
170,1.15893
171,1.10296
172,0.787021
173,1.11438
174,1.06199
175,0.96437
176,0.824812
177,0.806219
178,0.932618
179,1.02815
180,0.912799
181,0.956772
182,1.35256
183,0.985693
184,1.20563
185,1.03037
186,0.984255
187,1.0948
188,0.969466
189,1.26554
190,1.05235
191,0.9575
192,0.871447
193,1.57554
194,1.02203
195,0.922775
196,1.19901
