MDTU,rho_M
10,0
20,0
30,0.00016276
40,0
50,0
60,0
70,0
80,0.00016276
90,0
100,0
110,0
120,0
130,0
140,0.00016276
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0.00016276
260,0.00016276
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0.00016276
370,0.000488281
380,0
390,0.000325521
400,0.00016276
410,0
420,0.00016276
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0.00016276
520,0
530,0
540,0
550,0
560,0
570,0.00016276
580,0
590,0
600,0.00016276
610,0
620,0
630,0
640,0
650,0
660,0.00016276
670,0
680,0
690,0.00016276
700,0
710,0.00016276
720,0
730,0
740,0
750,0
760,0
770,0.00016276
780,0
790,0.00016276
800,0
810,0.00016276
820,0
830,0
840,0
850,0
860,0
870,0
880,0.00016276
890,0
900,0
910,0
920,0.00016276
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,0
1040,0
1050,0
1060,0
1070,0
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,0
1150,0
1160,0.00016276
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0.000325521
1230,0.00016276
1240,0
1250,0
1260,0
1270,0.00016276
1280,0.00016276
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0.00016276
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0.00016276
1410,0.00016276
1420,0
1430,0
1440,0
1450,0
1460,0.00016276
1470,0
1480,0
1490,0.00016276
1500,0.00016276
1510,0
1520,0
1530,0
1540,0.00016276
1550,0
1560,0
1570,0
1580,0
1590,0
1600,0
1610,0
1620,0
1630,0
1640,0
1650,0
1660,0
1670,0
1680,0
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,0
1770,0
1780,0
1790,0
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,0
1880,0
1890,0.00016276
1900,0
1910,0.000488281
1920,0
1930,0
1940,0.00016276
1950,0.00016276
1960,0
1970,0
1980,0
1990,0
2000,0
2010,0.000325521
2020,0
2030,0.00016276
2040,0
2050,0
2060,0
2070,0
2080,0
2090,0
2100,0
2110,0.00016276
2120,0.000325521
2130,0
2140,0
2150,0
2160,0
2170,0
2180,0.00016276
2190,0
2200,0
2210,0
2220,0
2230,0
2240,0
2250,0.00016276
2260,0
2270,0
2280,0
2290,0
2300,0
2310,0
2320,0
2330,0
2340,0.00016276
2350,0.00016276
2360,0
