MDTU,link
1,1.11518
2,1.12489
3,1.13622
4,1.14529
5,1.15763
6,1.15763
7,1.16186
8,1.16154
9,1.15933
10,1.16063
11,1.15953
12,1.15917
13,1.15236
14,1.16134
15,1.15587
16,1.16884
17,1.18164
18,1.18158
19,1.17521
20,1.17475
21,1.16995
22,1.16849
23,1.16631
24,1.15973
25,1.15611
26,1.14786
27,1.15882
28,1.16074
29,1.15765
30,1.15814
31,1.16375
32,1.16231
33,1.16325
34,1.16325
35,1.17813
36,1.17749
37,1.18254
38,1.16642
39,1.1678
40,1.16444
41,1.1661
42,1.1619
43,1.17769
44,1.18434
45,1.17118
46,1.16429
47,1.16156
48,1.15778
49,1.16608
50,1.16207
51,1.1566
52,1.16301
53,1.1598
54,1.15602
55,1.1574
56,1.15585
57,1.16349
58,1.16021
59,1.17301
60,1.17301
61,1.16749
62,1.16456
63,1.16547
64,1.16339
65,1.16531
66,1.17439
67,1.17439
68,1.16755
69,1.15715
70,1.16277
71,1.17931
72,1.18088
73,1.18683
74,1.17972
75,1.18013
76,1.17462
77,1.182
78,1.18527
79,1.18527
80,1.17512
81,1.17549
82,1.17213
83,1.18251
84,1.16906
85,1.16351
86,1.17386
87,1.16604
88,1.16426
89,1.1675
90,1.17224
91,1.17145
92,1.16313
93,1.15199
94,1.13607
95,1.13467
96,1.13868
97,1.1404
98,1.13949
99,1.13564
100,1.14066
101,1.1482
102,1.13914
103,1.14083
104,1.13114
105,1.13691
106,1.13311
107,1.13233
108,1.13233
109,1.131
110,1.12781
111,1.12644
112,1.13273
113,1.14031
114,1.13274
115,1.1373
116,1.13882
117,1.13361
118,1.13324
119,1.13064
120,1.13427
121,1.12687
122,1.12444
123,1.13154
124,1.1316
125,1.13789
126,1.12684
127,1.11972
128,1.12395
129,1.11126
130,1.12012
131,1.11427
132,1.11427
133,1.11714
134,1.11159
135,1.10865
136,1.11085
137,1.11181
138,1.11836
139,1.112
140,1.11082
141,1.11115
142,1.11169
143,1.10833
144,1.10247
145,1.10077
146,1.10672
147,1.10288
148,1.10227
149,1.10447
150,1.09988
151,1.1021
152,1.09739
153,1.09779
154,1.10589
155,1.11307
156,1.11331
157,1.11331
158,1.1083
159,1.10885
160,1.11675
161,1.11194
162,1.11194
163,1.11591
164,1.12725
165,1.12212
166,1.11324
167,1.11578
168,1.11392
169,1.1165
170,1.11519
171,1.11525
172,1.10121
173,1.11704
174,1.11712
175,1.12106
176,1.12307
177,1.13091
178,1.12367
179,1.12818
180,1.13389
181,1.13933
182,1.1282
183,1.12878
184,1.13342
185,1.12808
186,1.12141
187,1.13107
188,1.12129
189,1.12267
190,1.13024
191,1.12771
192,1.12356
193,1.12355
194,1.11687
195,1.12184
196,1.12806
197,1.13027
198,1.13763
199,1.15019
200,1.14099
201,1.14582
202,1.1468
203,1.14387
204,1.14449
205,1.14418
206,1.133
207,1.13179
208,1.12916
209,1.13031
210,1.12451
211,1.13157
212,1.1369
213,1.13312
214,1.14135
215,1.13532
216,1.1312
217,1.12425
218,1.12535
219,1.12331
220,1.12444
221,1.1261
222,1.12261
223,1.11782
224,1.11342
225,1.10966
226,1.10525
227,1.10342
228,1.10008
229,1.10863
230,1.10444
231,1.11198
232,1.10878
233,1.11035
234,1.10445
235,1.10008
236,1.09798
237,1.09798
238,1.10389
239,1.10389
240,1.10022
241,1.10022
242,1.10365
243,1.10178
244,1.10637
245,1.11598
246,1.11956
247,1.12247
248,1.12162
249,1.12571
250,1.12055
251,1.12948
252,1.12236
253,1.12701
254,1.1242
255,1.12319
256,1.13112
257,1.12476
258,1.12326
259,1.13521
260,1.13959
261,1.15489
262,1.13709
263,1.13632
264,1.13909
265,1.1401
266,1.13983
267,1.14269
268,1.14141
269,1.14336
270,1.14336
271,1.14336
272,1.14289
273,1.13727
274,1.13829
275,1.13008
276,1.13
277,1.1218
278,1.12219
279,1.12197
280,1.12197
281,1.12267
282,1.11887
283,1.12198
284,1.12274
285,1.12207
286,1.12207
287,1.12116
288,1.12101
289,1.12116
290,1.1208
291,1.12231
292,1.11832
293,1.12297
294,1.12223
295,1.12414
296,1.12315
297,1.11758
298,1.11758
299,1.11758
300,1.11809
301,1.11407
302,1.11744
303,1.1156
304,1.12047
305,1.11269
306,1.11337
307,1.11397
308,1.10379
309,1.11109
310,1.11073
311,1.12159
312,1.12343
313,1.12033
314,1.12033
315,1.12185
316,1.12593
317,1.12752
318,1.13131
319,1.12991
320,1.12464
321,1.12953
322,1.12966
323,1.1186
324,1.11456
325,1.11063
326,1.11747
327,1.11544
328,1.11359
329,1.11602
330,1.11098
331,1.11474
332,1.11634
333,1.11282
334,1.1221
335,1.12312
336,1.12317
337,1.11895
338,1.13138
339,1.12122
340,1.11967
341,1.1237
342,1.12104
343,1.13736
344,1.13661
345,1.14452
346,1.14983
347,1.14983
348,1.14983
349,1.13944
350,1.13125
351,1.12195
