MDTU,S_B
1,0.574175
2,0.746248
3,0.844787
4,0.910711
5,0.947996
6,0.947996
7,0.97959
8,0.990489
9,0.993182
10,0.998902
11,1.00741
12,1.00832
13,1.00467
14,1.01171
15,0.990932
16,1.01195
17,1.0118
18,1.01543
19,1.00514
20,0.999471
21,1.01014
22,1.00112
23,1.00985
24,1.00407
25,1.00055
26,0.984735
27,0.998739
28,1.00633
29,0.997486
30,0.996304
31,1.01165
32,0.998706
33,0.993668
34,0.993668
35,0.998982
36,1.01566
37,1.0093
38,1.00378
39,1.00436
40,1.00076
41,0.997007
42,0.97586
43,0.991543
44,1.00533
45,0.985821
46,0.999841
47,0.995256
48,0.981634
49,0.989399
50,0.985988
51,0.980526
52,0.986615
53,0.974239
54,0.969702
55,0.980646
56,0.985712
57,0.984303
58,0.97676
59,0.991285
60,0.991285
61,0.989051
62,0.99094
63,0.993878
64,0.995511
65,0.982821
66,0.980039
67,0.980039
68,0.996924
69,0.989449
70,0.994616
71,0.988756
72,1.01404
73,1.0034
74,0.996204
75,0.996752
76,0.995645
77,0.993919
78,1.00344
79,1.00344
80,0.998709
81,1.00029
82,1.0006
83,1.00148
84,0.999848
85,0.98617
86,1.00143
87,0.996053
88,0.994981
89,1.00147
90,0.994368
91,0.999929
92,0.98669
93,0.993793
94,0.975232
95,0.993429
96,1.00298
97,0.99043
98,1.00646
99,1.00022
100,0.997573
101,1.00591
102,0.998518
103,1.00257
104,0.994144
105,0.988058
106,0.99568
107,0.977957
108,0.977957
109,0.980064
110,0.988261
111,0.993646
112,0.990266
113,0.9985
114,1.00117
115,1.00481
116,1.00598
117,0.997522
118,0.990281
119,0.991861
120,1.00299
121,0.994614
122,1.00229
123,1.0201
124,1.00525
125,1.00033
126,0.984269
127,1.00537
128,1.00016
129,0.987979
130,1.00816
131,0.99143
132,0.99143
133,1.00504
134,0.99029
135,0.992609
136,0.990554
137,1.00318
138,1.00602
139,0.989913
140,0.996898
141,1.00701
142,1.00347
143,1.02002
144,0.990133
145,0.99762
146,1.00348
147,1.00023
148,0.990034
149,1.00508
150,0.993515
151,0.979023
152,0.97953
153,1.00267
154,0.996108
155,1.01131
156,1.01778
157,1.01778
158,1.00597
159,1.00327
160,1.00789
161,1.01069
162,1.01069
163,1.01134
164,1.00964
165,1.00562
166,0.985437
167,0.986742
168,0.989234
169,0.981221
170,0.991936
171,1.00154
172,0.990239
