MDTU,S_F
1,0.968968
2,0.998024
3,1.00225
4,1.00505
5,0.989848
6,1.00195
7,1.00614
8,0.995816
9,1.00118
10,1.00933
11,0.993149
12,0.993947
13,1.00849
14,1.01115
15,1.00001
16,1.00387
17,0.996069
18,1.00134
19,1.00282
20,1.00322
21,0.997368
22,1.00336
23,1.00738
24,1.00616
25,0.992543
26,1.00281
27,1.0037
28,1.00534
29,1.00194
30,0.999898
31,1.0006
32,0.99162
33,1.00016
34,1.00465
35,1.00395
36,1.00026
37,0.998185
38,0.992862
39,1.00031
40,1.00719
41,0.996484
42,1.00513
43,0.998355
44,1.0019
45,0.997963
46,0.999725
47,0.995562
48,1.00238
49,0.994508
50,0.992991
51,0.998887
52,0.992371
53,0.984093
54,1.002
55,1.00907
56,1.00451
57,0.999619
58,0.996422
59,1.00291
60,1.00704
61,1.00435
62,1.00386
63,0.99684
64,0.99985
65,0.994231
66,0.993068
67,0.995035
68,1.00422
69,1.00345
70,0.997285
71,0.997344
72,1.00031
73,1.00092
74,1.01131
75,1.00467
76,0.99675
77,0.99165
78,0.996207
79,0.996523
80,0.993064
81,0.98795
82,1.0063
83,1.00188
84,1.00595
85,0.996034
86,1.00121
87,1.00513
88,1.00557
89,0.998092
90,0.998902
91,0.996748
92,1.00212
93,1.00041
94,1.00733
95,1.00233
96,0.998411
97,1.00472
98,0.998631
99,0.993651
100,1.0063
101,1.00834
102,0.99861
103,0.990137
104,0.997147
105,1.00154
106,0.996943
107,0.992692
108,1.0132
109,0.998324
110,1.00703
111,1.00383
112,0.995948
113,0.996371
114,1.00727
115,0.994089
116,0.998111
117,1.0004
118,0.995883
119,0.999893
120,0.992278
121,1.00109
122,1.00473
123,0.995845
124,0.999682
125,0.995787
126,1.0075
127,0.992559
128,0.990046
129,1.00825
130,1.0039
131,1.00154
132,0.996748
133,0.999606
134,0.99787
135,1.00191
136,0.996706
137,1.00071
138,0.996516
139,1.00306
140,0.995447
141,1.00367
142,1.00118
143,1.00248
144,1.0027
145,1.00103
146,0.989259
147,0.992887
148,0.998852
149,1.00395
150,0.998745
151,0.998953
152,0.999327
153,1.00707
154,0.998842
155,0.998227
156,0.998204
157,1.00281
158,0.99579
159,0.999333
160,1.00285
161,1.00141
162,1.0011
163,0.995681
164,0.990515
165,0.990279
166,1.00493
167,1.00742
168,0.997103
169,0.997692
170,0.999495
171,0.997944
172,1.00981
173,0.994246
174,1.00278
175,1.00214
176,0.997202
177,1.00881
178,0.987795
179,0.999266
180,1.00174
181,0.999068
182,1.00123
183,1.00612
184,0.998146
185,0.995895
186,1.00079
187,1.00452
188,0.996372
189,1.00668
190,1.00213
191,1.00414
192,1.00104
193,0.992036
