MDTU,0,2,4,6,8,10
10,16.5235,16.4612,16.1327,16.0772,16.0245,15.9506
20,17.0965,17.0534,16.7124,16.6448,16.5054,16.4706
30,16.6099,16.527,16.2573,16.2328,16.1599,16.1216
40,16.427,16.385,16.1725,16.1494,15.9838,15.8911
50,17.0433,16.9133,16.5605,16.4957,16.2404,16.1635
60,17.3633,17.3029,16.9758,16.9128,16.6613,16.616
70,17.7047,17.6392,17.2234,17.1669,17.0257,16.9727
80,16.7069,16.5797,16.1896,16.1046,16.0856,16.0185
90,16.6338,16.579,16.2138,16.1655,15.9107,15.8822
100,15.7836,15.7026,15.6296,15.5672,15.3907,15.2292
110,16.1416,16.0443,15.7485,15.6744,15.6285,15.5848
120,16.7637,16.7088,16.6639,16.6157,16.3978,16.3405
130,15.1811,15.1278,15.0746,15.0494,14.9962,14.8947
140,15.858,15.7781,15.5316,15.4489,15.2316,15.2108
150,15.0321,14.9723,14.7254,14.6878,14.6357,14.607
160,16.4865,16.4447,16.2804,16.2299,16.0952,16.0542
170,15.5449,15.4471,15.1298,15.0709,14.9682,14.9027
180,15.958,15.7196,15.4554,15.3778,15.2716,15.1767
190,15.6916,15.628,15.3712,15.3354,15.259,15.2243
200,15.2459,15.1934,15.0417,14.9937,14.9657,14.9188
210,15.363,15.2295,14.9137,14.8227,14.7924,14.7573
220,16.0085,15.6721,15.2555,15.2322,15.0085,14.9879
230,15.2675,15.1649,15.1207,15.0918,14.9438,14.9044
240,15.2089,15.1828,14.8351,14.8123,14.7703,14.7014
250,14.9389,14.8635,14.7527,14.7007,14.6809,14.6645
260,15.8059,15.7172,15.5156,15.4546,15.2914,15.249
270,15.4095,15.3379,15.3253,15.2591,15.1545,15.108
280,15.1403,15.0707,14.8838,14.8686,14.7731,14.7354
290,15.2023,15.0987,15.0454,15.0105,14.8294,14.8024
300,15.2611,15.1579,14.901,14.8549,14.8375,14.7998
310,15.0103,14.9929,14.9529,14.9056,14.7146,14.6906
320,15.179,15.1263,15.0546,15.0098,14.9336,14.8866
330,15.129,15.0624,15.0358,14.9844,14.8746,14.7947
340,15.0448,15.0065,14.8977,14.8622,14.8085,14.7564
350,16.1945,16.0354,15.3494,15.314,15.2618,15.2026
360,15.4239,15.2754,15.097,15.034,14.9173,14.8483
370,15.3661,15.2446,14.9818,14.9258,14.8734,14.7576
380,15.5925,15.5691,15.36,15.2899,15.1217,15.0889
390,14.8104,14.7868,14.7663,14.7222,14.6073,14.4784
400,15.8777,15.7361,15.462,15.4428,15.285,15.2474
410,15.4248,15.3866,15.1768,15.1421,15.0964,15.0751
420,15.6748,15.5763,15.3649,15.3292,15.2044,15.1158
430,16.2169,16.1348,15.7952,15.6495,15.598,15.5315
440,15.9373,15.875,15.5235,15.4903,15.4375,15.4137
450,15.6563,15.6142,15.5806,15.4259,15.3398,15.3238
460,15.8861,15.825,15.4888,15.4027,15.3093,15.2814
470,16.0177,15.9684,15.907,15.8456,15.7098,15.6257
480,14.7103,14.6772,14.5454,14.5168,14.4919,14.4415
490,15.1165,15.0844,14.9117,14.8703,14.7836,14.7473
500,15.111,15.0836,14.95,14.8941,14.8769,14.8139
510,15.4015,15.3166,15.0616,15.0033,14.8032,14.7656
520,15.0222,14.995,14.9317,14.8095,14.7657,14.7066
530,16.1462,16.1066,15.7447,15.6728,15.5162,15.4964
540,15.8036,15.7723,15.648,15.4051,15.1884,15.148
550,15.1278,15.1117,14.9743,14.9497,14.9208,14.7653
560,15.2409,15.2045,15.0739,15.0007,14.8629,14.7828
570,15.5294,15.5202,15.4257,15.3623,15.2125,15.1387
580,15.3088,15.1923,15.118,15.0589,14.9966,14.928
590,15.7075,15.5934,15.4086,15.3785,15.3335,15.2896
600,16.3966,16.3374,16.2532,16.2072,15.8733,15.8346
