MDTU,susyTrans,Im(bilin)
10,0.0945799,-0.00984334
20,0.120354,-0.0065896
30,-0.0589428,0.00418932
40,-0.109617,-0.00558434
50,-0.109589,-0.00485054
60,-0.0653989,-0.00343656
70,-0.00148348,-0.00660556
80,0.195919,0.00246959
90,0.0949062,-0.000395863
100,0.031156,0.000299438
110,-0.112425,-0.00320412
120,-0.073787,0.000634505
130,0.02172,0.00457926
140,-0.0363296,-0.00893629
150,-0.00755392,-0.00101015
160,-0.0851967,-0.00235699
170,-0.0231664,-0.00314721
180,-0.0607765,-0.00139358
190,0.0273526,0.0107805
200,-0.0956878,0.00686625
210,-0.0423353,-0.0024866
220,-0.134736,0.00086337
230,-0.0971184,0.00375606
240,-0.0382732,-0.00888734
250,-0.0197091,0.00171006
260,-0.111568,-0.00739465
270,0.0884173,-0.0196503
280,-0.0361591,-0.00234139
290,-0.0109946,-0.00852229
300,-0.00682673,-0.00083007
310,-0.00745687,-0.000724436
320,-0.0387495,0.0125449
330,-0.128773,-0.00394648
340,-0.0243776,-0.00858977
350,-0.103535,0.00767122
360,0.039386,-0.00260512
370,-0.0348318,0.0136311
380,0.140443,0.00868819
390,0.00309982,-0.00239191
400,-0.0448629,-0.0047804
410,-0.16524,0.000183356
420,-0.16194,-0.00332749
430,-0.0492992,-0.00687271
440,0.020213,0.00306747
450,-0.111869,0.00616871
460,-0.00583528,0.00338194
470,0.0753149,0.000726385
480,-0.0968304,-9.29012e-05
490,0.0786398,0.00129796
500,0.0761453,0.00367881
510,-0.105116,-0.00422923
520,0.0541393,-0.000116056
530,0.127848,-0.00323637
540,0.0503639,0.00638284
550,0.0383133,0.00381719
560,0.13912,-7.75184e-05
570,-0.0291967,-0.00799301
580,-0.0104584,-0.000935817
590,0.023551,-0.000171813
600,-0.013261,0.000949542
610,-0.0631612,0.00285387
620,-0.101902,-0.0106002
630,-0.00575705,0.0057775
640,-0.0165176,0.000482982
650,0.133452,-0.00735719
660,0.0954409,-0.00115688
670,0.0970565,-0.00700061
680,0.0921047,0.00296671
690,-0.0279753,-0.00289013
700,-0.120369,0.00435509
710,0.0716227,0.00529318
720,-0.052222,-0.00321182
730,0.116858,-0.0111052
740,0.102856,0.00767183
750,0.089441,0.0104162
760,0.0679575,0.00692569
770,-0.167572,0.00146394
780,0.142117,-0.00338989
790,-0.108093,-0.00347134
800,0.0217893,-0.00936744
810,-0.078227,-0.00145011
820,0.17221,-0.00771503
830,-0.176415,-0.000867215
840,0.0497299,-0.00089423
850,0.00101155,-0.00829488
860,-0.224831,-0.000775704
870,-0.097059,-0.00319943
880,-0.158341,0.00972973
890,-0.0372923,-0.000533285
900,0.0167088,-0.00624098
910,-0.0978775,0.00789947
