t,cg_iters
1,2181
2,2654
3,2619
4,2616
5,2477
6,2460
7,2481
8,2463
9,2453
10,2418
11,2441
12,2382
13,2373
14,2391
15,2333
16,2260
17,2305
18,2319
19,2424
20,2405
21,2425
22,2460
23,2588
24,2796
25,2623
26,2726
27,2930
28,2655
29,2627
30,2660
31,2617
32,2492
33,2588
34,2478
35,2673
36,2725
37,2486
38,2451
39,2494
40,2528
41,2433
42,2391
43,2491
44,2485
45,2397
46,2505
47,2496
48,2428
49,2483
50,2586
51,2558
52,2557
53,2564
54,2529
55,2542
56,2562
57,2570
58,2607
59,2627
60,2707
61,2722
62,2626
63,2549
64,2656
65,2564
66,2458
67,2466
68,2490
69,2455
70,2381
71,2437
72,2386
73,2372
74,2326
75,2340
76,2315
77,2334
78,2373
79,2410
80,2471
81,2447
82,2466
83,2393
84,2358
85,2344
86,2320
87,2347
88,2365
89,2539
90,2542
91,2494
92,2418
93,2446
94,2418
95,2486
96,2560
97,2492
98,2468
99,2472
100,2489
101,2545
102,2538
103,2507
104,2620
105,2747
106,2810
107,2883
108,2906
109,2691
110,2847
111,2886
112,2940
113,3039
114,2996
115,3087
116,3000
117,2896
118,2857
119,2820
120,2826
121,2875
122,2733
123,3032
124,3140
125,3402
126,3393
127,3237
128,3106
129,2937
130,2815
131,2779
132,2609
133,2672
134,2669
135,2991
136,2941
137,3173
138,3358
139,3158
140,3216
141,3516
142,3386
143,3682
144,3732
145,3248
146,3116
147,3348
148,3283
149,3181
150,3296
151,3536
152,3609
153,3779
154,3486
155,3098
156,3131
157,3161
158,3138
159,2997
160,2939
161,2835
162,2806
163,2834
164,2855
165,2724
166,2653
167,2573
168,2499
169,2633
170,2618
171,2555
172,2590
173,2579
174,2576
175,2527
176,2465
177,2578
178,2593
179,2657
180,2743
181,2673
182,2658
183,2534
184,2555
185,2524
186,2584
187,2690
188,2618
189,2451
190,2454
191,2631
192,2514
193,2480
194,2486
195,2409
196,2383
197,2403
198,2334
199,2335
200,2383
201,2407
202,2403
203,2347
204,2285
205,2322
206,2423
207,2405
208,2259
209,2355
210,2416
211,2475
212,2444
213,2302
214,2315
215,2400
216,2420
217,2443
218,2354
219,2361
220,2405
221,2392
222,2353
223,2457
224,2494
225,2498
226,2530
227,2511
228,2549
229,2396
230,2383
231,2445
232,2414
233,2481
234,2482
235,2631
236,2540
237,2709
238,2531
239,2513
240,2521
241,2587
242,2484
243,2581
244,2576
245,2597
246,2745
247,2798
248,2709
249,2697
250,2643
251,2613
252,2625
253,2574
254,2633
255,2620
256,2678
257,2746
258,2708
259,2683
260,2714
261,2837
262,2732
263,2733
264,2676
265,2661
266,2608
267,2606
268,2664
269,2642
270,2565
271,2594
272,2657
273,2549
274,2561
275,2580
276,2639
277,2590
278,2620
279,2600
280,2562
281,2554
282,2582
283,2529
284,2626
285,2608
286,2637
287,2654
288,2794
289,2757
290,2771
291,2679
292,2617
293,2602
294,2593
295,2461
296,2451
297,2399
298,2472
299,2499
300,2532
301,2534
302,2469
303,2536
304,2563
305,2409
306,2459
307,2480
308,2498
309,2584
310,2461
311,2609
312,2687
313,2565
314,2652
315,2763
316,2797
317,2777
318,2691
319,2712
320,2590
321,2439
322,2367
323,2334
324,2458
325,2624
326,2758
327,2619
328,2569
329,2599
330,2758
331,2811
