t,cond_num
10,6.58115
20,6.62939
30,6.86883
40,6.59218
50,6.78373
60,6.86055
70,6.58012
80,6.65706
90,6.68951
100,6.67167
110,7.0829
120,7.00579
130,6.81669
140,7.2946
150,7.24397
160,7.03552
170,6.70872
180,6.85841
190,6.72694
200,6.5647
210,6.59435
220,6.59518
230,6.55167
240,6.62838
250,6.6987
260,6.97974
270,6.77882
280,6.74319
290,6.86801
300,6.78461
310,6.65361
320,6.62003
330,7.10102
340,6.84686
350,6.75064
360,7.00385
370,6.82173
380,7.01243
390,7.27516
400,6.90152
410,6.80439
420,6.76909
430,6.7307
440,6.77183
450,6.76406
460,6.96847
470,7.47367
480,8.114
490,7.01889
500,7.02041
510,6.7861
520,6.79632
530,6.9504
540,6.9022
550,6.94555
560,6.87624
570,6.69396
580,6.84972
590,7.00234
600,7.03293
610,7.06819
620,6.87447
630,6.71162
640,7.37701
650,6.67143
660,6.98341
670,6.8979
680,6.8496
690,7.09896
700,6.7591
710,6.82161
720,6.83105
730,6.79804
740,7.11599
750,7.17481
760,7.03693
770,6.96164
780,6.99623
790,6.95183
800,7.01348
810,7.22503
820,7.43652
830,7.36159
840,7.59144
850,7.38771
860,8.1827
870,7.24665
880,7.08725
890,6.84467
900,6.90405
910,7.05186
920,6.73384
930,6.83051
940,6.71431
950,6.91118
960,6.6232
970,6.84803
980,6.90442
990,7.29374
1000,7.65741
1010,7.00947
1020,7.34963
1030,7.29895
1040,7.14207
1050,7.05711
1060,6.85372
1070,7.00718
1080,7.04565
1090,6.9207
1100,6.96176
1110,6.75337
1120,6.68937
1130,7.21337
1140,7.34716
1150,7.04074
1160,6.99313
1170,6.68313
1180,7.30927
1190,6.8138
1200,6.87233
1210,6.87577
1220,7.12037
1230,6.71822
1240,6.59967
1250,6.69523
1260,6.6532
1270,6.94892
1280,7.7711
1290,6.82244
1300,6.88545
1310,6.94486
1320,6.97315
1330,6.86354
1340,7.06626
1350,7.04829
1360,7.0684
1370,6.87819
1380,6.99263
1390,6.96818
1400,7.03618
1410,7.00836
1420,7.14483
1430,7.31612
1440,7.25984
1450,6.94794
1460,7.07557
1470,6.87931
1480,6.76299
1490,6.72068
1500,6.79902
1510,7.14626
1520,6.79049
1530,7.2434
1540,7.1083
1550,7.08638
1560,7.13033
1570,7.18655
1580,7.27856
1590,6.93949
1600,7.10109
1610,7.22182
1620,6.91543
1630,6.95145
1640,6.7643
1650,6.91582
1660,6.85472
1670,6.90591
1680,7.07287
1690,6.94061
1700,6.95254
1710,6.88376
1720,7.09006
1730,6.9184
1740,6.80232
1750,7.28533
1760,7.15287
1770,7.15311
1780,6.97696
1790,6.88393
1800,6.92725
1810,7.22316
1820,6.97961
1830,6.90634
1840,6.59333
1850,6.65034
1860,6.76468
1870,6.85715
1880,6.83216
1890,6.81947
1900,6.69039
1910,6.53538
1920,6.61769
1930,6.57266
1940,6.52002
1950,6.71876
1960,6.68504
1970,6.71945
1980,6.61584
1990,6.54294
2000,6.63579
2010,6.78115
2020,6.93807
2030,7.10923
2040,6.9843
2050,7.20587
2060,7.21552
2070,7.67602
2080,7.41613
2090,6.97892
2100,7.1363
2110,7.39614
2120,7.05341
2130,6.92469
2140,7.22459
2150,6.79549
2160,6.83448
2170,6.9417
2180,6.59113
2190,6.64501
2200,6.83228
2210,7.077
2220,6.67637
2230,6.94526
2240,6.80614
2250,6.56214
2260,7.38508
2270,7.80744
2280,7.81824
2290,7.19125
2300,6.85917
2310,8.26849
2320,7.5953
2330,7.69245
2340,6.86237
2350,6.69854
2360,7.33811
2370,6.83154
2380,7.21148
2390,7.7658
2400,7.9409
2410,7.62334
2420,6.68243
2430,6.86072
2440,7.49573
2450,8.80359
2460,6.74888
2470,7.11454
2480,7.36783
2490,7.66558
2500,7.32591
2510,6.80581
2520,7.5229
2530,7.17334
2540,6.8012
2550,6.65445
2560,7.06131
2570,6.6447
2580,7.39788
2590,6.89505
2600,6.63925
2610,8.6731
2620,6.58208
2630,6.63651
2640,7.4973
2650,6.66435
2660,6.74918
2670,6.91549
2680,7.42983
2690,7.61375
2700,8.62319
2710,6.78689
2720,6.92773
2730,7.27284
2740,6.85788
2750,7.03432
2760,nan
