t,deltaS
1,-5.327
2,0.485
3,-0.3242
4,-0.1312
5,0.4463
6,0.167
7,0.2636
8,-0.1145
9,0.2514
10,0.3061
11,0.09481
12,-0.03617
13,0.04906
14,-0.1911
15,0.09806
16,0.1547
17,-0.07088
18,0.1449
19,0.1567
20,-0.03184
21,-0.1063
22,0.1191
23,0.02832
24,-0.1948
25,-0.0621
26,0.3254
27,-0.2534
28,-0.09415
29,-0.0467
30,0.01677
31,0.1801
32,0.0283
33,-0.1134
34,0.1993
35,0.2784
36,0.1775
37,-0.1073
38,-0.2583
39,-0.005185
40,-0.0007227
41,-0.1535
42,-0.2054
43,0.2249
44,0.1253
45,0.04963
46,-0.1194
47,-0.06232
48,0.3336
49,-0.09363
50,0.2226
51,0.08011
52,0.03083
53,0.1104
54,-0.1051
55,-0.01119
56,0.3155
57,-0.05871
58,0.04531
59,-0.2424
60,0.0153
61,0.008358
62,-0.5425
63,0.05704
64,-0.4093
65,0.03197
66,0.03775
67,0.2843
68,0.008201
69,-0.3764
70,0.1601
71,0.0724
72,-0.1893
73,0.3643
74,0.1773
75,-0.06316
76,-0.09019
77,-0.2722
78,-0.1442
79,0.3524
80,-0.06311
81,0.1952
82,0.1424
83,0.0796
84,-0.08728
85,0.4986
86,-0.1398
87,-0.232
88,-0.1165
89,-0.00427
90,0.1377
91,-0.05521
92,-0.2087
93,0.2533
94,-0.102
95,-0.1502
96,0.1519
97,0.4013
98,-0.434
99,0.1688
100,0.06369
101,0.2421
102,0.01741
103,0.009768
104,-0.1038
105,0.1564
106,-0.3631
107,0.07984
108,0.1077
109,-0.2745
110,0.06066
111,-0.06636
112,0.0501
113,0.2273
114,-0.1559
115,0.2584
116,0.003012
117,0.1211
118,0.004149
119,-0.0677
120,0.03052
121,-0.2854
122,-0.1117
123,-0.05043
124,0.1729
125,-0.02722
126,0.2246
127,-0.2885
128,0.4901
129,-0.1863
130,-0.1198
131,-0.02553
132,0.3423
133,0.1722
134,-0.05356
135,-0.004349
136,0.06187
137,-0.1852
138,0.13
139,0.02274
140,0.2188
141,-0.4095
142,0.1234
143,-0.1854
144,0.1034
145,-0.2311
146,0.03959
147,0.1445
148,0.07767
149,-0.2812
150,-0.09174
151,0.1235
152,0.2893
153,-0.3224
154,-0.1507
155,-0.02418
156,-0.2234
157,0.1094
158,-0.328
159,0.08627
160,-0.1371
161,-0.02315
162,0.1695
163,-0.002857
164,0.4835
165,0.1312
166,0.05594
167,0.01806
168,-0.1259
169,0.0007264
170,-0.09811
171,-0.2034
172,0.4192
173,0.02216
174,0.1568
175,-0.04067
176,0.04259
177,-0.07591
178,-0.2238
179,0.09178
180,0.09871
181,-0.01271
182,-0.3034
183,0.1069
184,0.3304
185,-0.192
186,-0.254
187,-0.04759
188,-0.06992
189,-0.06734
190,0.111
191,-0.3321
192,-0.007441
193,-0.03793
194,0.2425
195,-0.09982
196,0.1398
197,0.1613
198,0.1133
199,0.05998
200,0.01618
201,0.08178
202,-0.01573
203,-0.1274
204,-0.03435
205,0.02009
206,-0.05471
207,0.05359
208,-0.03428
209,-0.2326
210,-0.1679
211,-0.09206
212,-0.04483
213,-0.2353
214,0.3235
215,-0.1578
216,0.05482
217,-0.1648
218,-0.2839
219,-0.01996
220,0.06987
221,-0.3039
222,-0.05667
223,-0.03541
224,-0.1333
225,0.04872
226,-0.1056
227,0.2221
228,-0.2663
229,0.1747
230,-0.1248
231,-0.03573
232,0.1014
233,0.02355
234,-0.07698
235,0.1656
236,0.01038
237,0.1727
238,0.1414
239,0.1516
240,0.01104
241,0.1758
242,0.2099
243,-0.07158
244,0.02494
245,0.2675
246,0.1652
247,-0.04638
248,-0.4013
249,0.2459
250,0.02485
251,-0.003849
252,0.3529
253,0.1519
254,0.07421
255,0.05915
256,-0.1414
257,0.1141
258,0.2141
259,0.3208
260,0.02307
261,0.1054
262,0.01163
263,-0.2628
264,0.2028
265,0.1945
266,0.1323
267,-0.1271
268,-0.0315
269,-0.09559
270,0.166
271,0.2464
272,0.01472
273,-0.0602
274,0.0923
275,-0.02245
276,-0.07366
277,-0.03418
278,-0.04527
279,0.1071
280,0.4356
281,0.04401
282,0.0322
283,0.1595
284,-0.01448
285,-0.04128
286,0.4897
287,0.1461
288,0.2236
289,0.07564
290,0.00888
291,0.3693
292,-0.01529
293,0.1862
294,-0.1987
295,0.0663
296,0.1042
297,0.1609
298,0.1835
299,0.1411
300,0.06876
301,0.1086
302,0.04565
303,0.01475
304,-0.009813
305,-0.09723
306,0.2168
307,-0.0817
308,-0.4046
309,-0.05268
310,-0.2071
311,0.536
312,-0.1126
313,-0.1257
314,0.2306
315,0.1081
316,0.06646
317,-0.01826
318,-0.04406
319,-0.1088
320,0.1785
321,0.04591
322,0.2264
323,0.02426
324,-0.07282
325,-0.05983
326,-0.09658
327,0.09662
328,0.08898
329,0.1194
330,-0.01958
331,0.005771
332,0.08467
333,0.04354
334,-0.2542
335,0.03469
336,0.1251
337,0.001205
338,-0.01486
339,-0.2769
340,0.08827
341,-0.0559
342,0.3884
343,-0.2968
344,0.2721
345,0.109
346,0.0555
347,0.152
348,0.2525
349,-0.1147
350,-0.2076
351,-0.04297
352,0.004416
353,-0.2129
354,0.0996
355,-0.1883
356,-0.01395
357,0.2326
358,0.09127
359,-0.1574
360,-0.2831
361,0.1222
362,-0.003736
363,-0.2455
364,-0.2217
365,-0.1106
366,0.06067
367,-0.03307
368,0.1948
369,0.2181
370,0.0709
371,-0.3124
372,0.06511
373,-0.2806
374,0.06054
375,-0.1641
376,-0.02659
377,0.2679
378,-0.1049
379,0.0206
380,-0.1356
381,0.3332
382,0.1113
383,0.1782
384,0.1802
385,-0.177
386,0.4108
387,0.1671
388,0.129
389,0.01886
390,-0.03462
391,-0.05196
392,-0.1025
393,-0.08606
394,0.0485
395,-0.1492
396,-0.08394
397,0.08804
398,0.1679
399,-0.287
400,0.04508
401,0.2708
402,-0.0193
403,0.001652
404,0.1867
405,0.04028
406,-0.08393
407,-0.126
408,0.05023
409,0.1706
410,-0.06655
411,-0.207
412,0.1723
413,-0.2159
414,-0.1661
415,-0.1839
416,-0.1393
417,0.04131
418,-0.1853
419,0.3035
420,0.1769
421,0.01906
422,-0.06005
423,0.1732
424,-0.4036
425,0.1573
426,-0.1812
427,0.1011
428,-0.01974
429,0.2374
430,0.2482
431,0.1666
432,-0.3276
433,-0.07527
434,0.06476
435,0.0285
436,0.03186
437,0.009763
438,0.1094
439,0.2374
440,0.2275
441,-0.3726
442,0.02682
443,0.05936
444,0.3008
445,-0.2369
446,0.2392
447,0.07961
448,0.3667
449,0.08551
450,-0.1745
451,-0.1254
452,0.1757
453,0.1199
454,-0.09259
455,-0.2326
456,-0.2946
457,0.06847
458,-0.00841
459,-0.04111
460,-0.01886
461,-0.08285
462,0.2199
463,0.04698
464,-0.05739
465,-0.2391
466,0.1595
467,-0.1928
468,-0.1553
469,-0.2605
470,-0.07859
471,0.3459
472,0.1059
473,0.1636
474,-0.3145
475,0.0571
476,-0.0007188
477,-0.02989
478,-0.126
479,-0.261
480,0.2725
481,-0.1891
482,-0.3637
483,0.02432
484,-0.03937
