MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.502822,-0.40126,-8.8009e-05
2,0.426868,-0.23776,0.00184206
3,0.48315,-0.20662,-0.000624065
4,0.419228,-0.16918,0.00403858
5,0.443031,-0.12947,0.00609146
6,0.443031,-0.12947,0.00609146
7,0.450045,-0.09331,0.0030939
8,0.53062,-0.08135,-0.00287871
9,0.57316,-0.02958,-0.000734846
10,0.501211,-0.02574,0.00435255
11,0.432452,-0.00723,-0.0043823
12,0.470515,-0.0181,-0.00404865
13,0.471105,-0.01827,0.00493524
14,0.499411,-0.04352,0.00186714
15,0.483078,-0.02648,-8.76769e-05
16,0.48085,-0.01784,-0.00400141
17,0.534875,-0.04028,0.000154168
18,0.457293,-0.0382,-0.00328174
19,0.461068,-0.00832,0.0117931
20,0.483845,-0.03215,0.00444176
21,0.497032,-0.04074,0.00452846
22,0.478169,-0.02808,0.00596486
23,0.463048,-0.02529,0.00894178
24,0.457102,-0.03946,-0.0040831
25,0.421472,-0.02463,-0.00156753
26,0.493374,-0.00195,-0.0115901
27,0.504011,-0.01115,0.00887588
28,0.405019,0.016475,-0.000415514
29,0.486225,0.008485,0.000638037
30,0.52535,0.010916,-0.00476998
31,0.477229,0.029739,-0.00281665
32,0.480333,0.010295,-0.00634234
33,0.614737,-0.00136,0.00485759
34,0.614737,-0.00136,0.00485759
35,0.473855,0.025202,-0.0020127
36,0.487162,0.022169,0.000458775
37,0.457192,0.00012,-0.000752937
38,0.493309,0.006509,0.00143996
39,0.471111,0.011235,0.00305298
40,0.440466,0.025986,0.000812047
41,0.450184,-0.01129,0.00261021
42,0.420626,-0.00439,-0.000439254
43,0.454819,-0.01329,0.000264368
44,0.442503,-0.00181,0.00121692
45,0.372327,0.014643,0.00126669
46,0.364329,0.012099,-0.0049567
47,0.376199,-0.00869,-0.00377785
48,0.379116,0.021735,-0.00504467
49,0.43758,0.004165,0.000508154
50,0.371136,0.021514,-0.00889148
51,0.34558,0.04378,-0.00102656
52,0.37059,0.052337,-0.00441184
53,0.33317,0.046947,0.00222415
54,0.385468,0.015733,0.00287939
55,0.404644,0.009123,-0.000614338
56,0.372947,0.015067,0.00301775
57,0.410505,0.018867,0.00134078
58,0.377283,0.033678,-0.00168926
59,0.41845,0.00925,-0.00864299
60,0.41845,0.00925,-0.00864299
61,0.409934,0.030973,-0.000294157
62,0.438296,0.001088,-0.00392533
63,0.397773,0.014275,0.00482501
64,0.42502,-0.00158,0.00431436
65,0.397585,0.01295,-0.000972661
66,0.422326,-0.00247,-0.000112975
67,0.422326,-0.00247,-0.000112975
68,0.408228,0.012643,-0.000981876
69,0.563796,-0.01974,0.00815113
70,0.49461,-0.00413,0.00424618
71,0.451553,-0.00788,0.00696567
72,0.491471,-0.00925,0.00900672
73,0.453212,0.025706,-0.00281305
74,0.474162,0.020047,0.00466646
75,0.476125,0.019109,-0.00597896
76,0.386837,-0.00063,0.000300614
77,0.431393,-0.02267,-0.00896899
78,0.454861,-0.02698,0.00605298
79,0.454861,-0.02698,0.00605298
80,0.452787,-0.05806,-0.00246637
81,0.43685,-0.03692,0.000876415
82,0.478288,-0.00939,-0.000454159
83,0.505072,0.000496,-0.00236204
84,0.507076,0.010306,0.0041456
85,0.44141,0.017391,0.00223863
86,0.429495,0.004008,0.00273702
87,0.412038,-0.01613,-0.0093647
88,0.413793,0.005451,-0.00143689
89,0.407641,-0.0152,-0.0102382
90,0.435455,-0.02403,0.00338352
91,0.402227,-0.01001,0.00878259
92,0.422424,-0.01963,0.00074457
93,0.413498,0.026012,-0.00359087
94,0.429577,0.020768,-0.00271612
95,0.425895,0.013914,0.00286045
96,0.438121,0.002439,-0.00271525
97,0.39477,0.036962,-0.0003266
98,0.390744,0.011122,-0.00296996
99,0.389961,0.022481,-0.00765873
100,0.43399,0.001697,-0.00620605
101,0.44825,-0.00455,-0.00043258
102,0.39209,0.004286,5.89075e-05
103,0.383856,0.004771,-0.00149057
104,0.388298,0.014315,-0.00162851
105,0.398119,0.021192,-0.00110275
106,0.425252,-0.00346,-0.00576304
107,0.377338,0.009821,0.000960655
108,0.377338,0.009821,0.000960655
109,0.38766,0.004593,0.000451414
110,0.391847,0.031689,-0.00329372
111,0.463225,0.02443,0.00670108
112,0.425924,0.016364,-0.00333883
113,0.424147,0.015145,-0.00180177
114,0.42179,0.017108,-0.00354433
115,0.452871,0.016773,0.0057681
116,0.449947,0.017651,-0.00642544
117,0.420875,0.059411,0.00699576
118,0.431469,0.047773,-0.010007
119,0.407072,0.039316,-0.000550782
120,0.434167,0.024559,-0.00486812
121,0.432408,0.00806,0.00284473
122,0.436186,0.020608,0.000919432
123,0.4781,0.005708,0.00688175
