MDTU,0,2,4,6,8,10
10,0.0229057,0.0247265,0.0263013,0.0269123,0.0296479,0.0315189
20,0.022584,0.0255102,0.0268497,0.0280862,0.0288985,0.030128
30,0.0172692,0.0198243,0.0253965,0.0272479,0.0299471,0.0310243
40,0.0225222,0.0257197,0.0258156,0.0290417,0.0301545,0.031573
50,0.0192938,0.0204912,0.0233234,0.0251639,0.0302534,0.0318665
60,0.0182026,0.01932,0.0231486,0.0245595,0.0296956,0.0300945
70,0.0245687,0.0261034,0.028436,0.0294194,0.0299789,0.0323891
80,0.0214671,0.0254672,0.0263694,0.0273711,0.0297874,0.0309208
90,0.0206907,0.0229155,0.0238741,0.0256749,0.027952,0.0307015
100,0.0199864,0.0214066,0.0236711,0.0250624,0.0258799,0.0277516
110,0.0135482,0.0168829,0.0176825,0.0190988,0.0208126,0.0232195
120,0.0151983,0.0177281,0.0188066,0.0196518,0.0222492,0.0238124
130,0.0166285,0.0169422,0.0179619,0.019026,0.0208705,0.0224384
140,0.0107707,0.0127839,0.0159505,0.0190504,0.0206137,0.0214801
150,0.01074,0.0125641,0.014691,0.0173247,0.0185142,0.0194115
160,0.0145091,0.016525,0.0212056,0.0223587,0.0242226,0.0264317
170,0.0189683,0.0212567,0.0226302,0.0231218,0.0256471,0.027789
180,0.0167653,0.0199249,0.0211423,0.0250044,0.0310072,0.0329864
190,0.0188017,0.0196767,0.0237126,0.0265796,0.0275861,0.029084
200,0.0214853,0.0231541,0.0246932,0.0266699,0.028222,0.029743
210,0.0210177,0.0224385,0.0252028,0.0256749,0.026808,0.0284647
220,0.0218826,0.0232667,0.0240044,0.0270605,0.0282705,0.0284621
230,0.0217979,0.0226979,0.0251962,0.0267207,0.0277722,0.0299814
240,0.0201108,0.0214945,0.0246116,0.0254818,0.0266292,0.0285555
250,0.0184125,0.0206689,0.0231133,0.0246553,0.0289061,0.0307502
260,0.0147081,0.0170664,0.0216795,0.0233387,0.0239955,0.0248496
270,0.01753,0.0190627,0.0235039,0.0259162,0.0266561,0.0295395
280,0.0178486,0.0191563,0.0229708,0.0249572,0.0295216,0.0329774
290,0.0158187,0.0163041,0.0211498,0.0229028,0.0272642,0.0281949
300,0.017261,0.0210101,0.0222686,0.0233811,0.0256933,0.0277456
310,0.0193537,0.0218892,0.0253498,0.0269705,0.0281794,0.0285571
320,0.0202396,0.02166,0.0233562,0.0258519,0.0270148,0.0285389
330,0.0124702,0.0167746,0.0194164,0.0208569,0.0233565,0.0254239
340,0.0159894,0.0177709,0.0225431,0.0245365,0.025891,0.0267481
350,0.0189497,0.0223631,0.0248107,0.0255628,0.0277449,0.0284153
360,0.0140107,0.0152566,0.0164359,0.0186051,0.0202383,0.020894
370,0.0167464,0.0169865,0.0199242,0.0215469,0.0228175,0.0233801
380,0.0140428,0.0159647,0.0188811,0.0197713,0.0207527,0.0238763
390,0.0102566,0.0117799,0.0153225,0.0160116,0.0179571,0.0189782
400,0.015977,0.0183108,0.020156,0.0223998,0.0233988,0.0245555
410,0.0171045,0.0191219,0.0204444,0.0215042,0.0233749,0.0244626
420,0.0180062,0.0196321,0.0199563,0.021549,0.0222597,0.0236051
430,0.019358,0.0197996,0.0223211,0.0234116,0.0248488,0.0266145
440,0.0182576,0.0198604,0.0235773,0.0250457,0.0263917,0.0282392
450,0.0180756,0.0203005,0.0232225,0.0242258,0.028634,0.0299695
460,0.0149503,0.0176381,0.0213963,0.0228985,0.0243905,0.0248958
470,0.00909549,0.0128635,0.0144178,0.0159205,0.0172889,0.0225924
480,0.00440308,0.00596393,0.0074058,0.00825453,0.00945119,0.0101087
490,0.0135265,0.0167155,0.0184692,0.0193916,0.0198862,0.0211692
500,0.013501,0.0184713,0.0193853,0.0203675,0.0213431,0.0222845
510,0.0173938,0.0187944,0.0202494,0.0221369,0.0237805,0.025064
520,0.016793,0.0187785,0.0199667,0.0212821,0.0236384,0.0241818
530,0.0154722,0.0178959,0.0209083,0.0219349,0.0277516,0.0296083
540,0.0158916,0.0178211,0.0197215,0.0210248,0.0236846,0.025591
550,0.0145666,0.0182623,0.0196177,0.0212406,0.0224396,0.0236109
560,0.0157288,0.0185323,0.0200856,0.0209718,0.0237926,0.0258355
570,0.0192311,0.0214796,0.0230671,0.0234181,0.0270198,0.0302876
580,0.0162235,0.0177617,0.0190432,0.0221059,0.0225646,0.024986
590,0.0142899,0.0177453,0.0201954,0.0210515,0.0243026,0.0263723
600,0.0144674,0.0170784,0.0186075,0.0203447,0.0218603,0.0250936
610,0.0131493,0.0150062,0.0174725,0.0195811,0.0227705,0.0245137
620,0.0160529,0.0164302,0.0181242,0.0192065,0.0212526,0.0223832
630,0.0181985,0.0188393,0.0217824,0.0236626,0.0247618,0.0254063
640,0.00958529,0.0108162,0.012466,0.0139399,0.0152337,0.0190177
650,0.0216361,0.0234417,0.0244451,0.0267925,0.0274851,0.0290072
660,0.0153853,0.0181883,0.0220344,0.0240591,0.0306873,0.0325892
670,0.0154379,0.0174179,0.0178282,0.0200143,0.0208894,0.0236721
680,0.0161518,0.0179982,0.0201603,0.0216648,0.0228989,0.0234687
690,0.0130801,0.0143923,0.0156394,0.0187696,0.0195757,0.0210883
700,0.0182255,0.0212229,0.022439,0.0231893,0.0247921,0.026068
710,0.017141,0.0175183,0.0203577,0.0223621,0.0233622,0.0249311
720,0.0183518,0.0205688,0.0217685,0.0225385,0.0245763,0.0257504
730,0.0181111,0.0196951,0.0208192,0.0240615,0.0256905,0.0264679
740,0.0128599,0.0147516,0.0152173,0.0178104,0.0180101,0.0195989
750,0.0122,0.0139473,0.0152435,0.0178747,0.020878,0.0246736
760,0.0141302,0.0157061,0.0183432,0.0216108,0.023184,0.0256535
770,0.0151476,0.0167399,0.0207343,0.0226383,0.0247805,0.0265945
780,0.0149586,0.0189819,0.0210068,0.0227452,0.0266565,0.0304462
790,0.015824,0.0167972,0.0196503,0.0208842,0.0225856,0.0252675
800,0.0155081,0.0167099,0.0190211,0.0205891,0.0234481,0.0260589
810,0.0119712,0.0132091,0.0158193,0.0188029,0.0225782,0.0257007
820,0.00949823,0.0104027,0.0132472,0.0152319,0.0199529,0.021156
830,0.0103023,0.0119411,0.0153205,0.0185368,0.0199337,0.0232192
840,0.00834181,0.00929073,0.0102401,0.0128418,0.0142808,0.0159702
850,0.00985374,0.0117819,0.0146976,0.0169064,0.020287,0.0211156
