ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.30956,0.0101662,null,null,null
1.47212,null,-0.0593893,null,null
1.47214,-0.06394,null,null,null
1.57528,null,0.40511,null,null
1.43593,-0.55558,null,null,null
1.69838,null,0.208992,null,null
2.01848,-0.66255,null,null,null
1.75229,null,0.151151,null,null
2.67317,-0.762003,null,null,null
1.8526,null,-0.043585,null,null
2.67317,-0.762003,null,null,null
1.8526,null,-0.043585,null,null
2.91253,-0.435457,null,null,null
2.35205,null,-0.155266,null,null
2.45557,-0.9662,null,null,null
2.13281,null,0.143478,null,null
2.63695,-0.6693,null,null,null
2.30641,null,0.229084,null,null
1.75331,-0.512837,null,null,null
3.25464,null,-0.225644,null,null
2.5373,-0.301254,null,null,null
3.34687,null,-0.291581,null,null
3.13506,0.123403,null,null,null
2.26747,null,-0.99532,null,null
3.6655,0.141451,null,null,null
2.10117,null,-0.505313,null,null
3.32565,-0.124174,null,null,null
2.85852,null,-0.141094,null,null
3.11843,-0.602163,null,null,null
2.61378,null,-0.080923,null,null
3.34647,-1.25541,null,null,null
3.28123,null,-1.391,null,null
3.82963,-0.107775,null,null,null
3.78483,null,-1.95167,null,null
3.68947,-0.0681433,null,null,null
3.5595,null,-2.80334,null,null
3.7892,0.3933,null,null,null
3.29379,null,-1.77554,null,null
3.3577,1.19928,null,null,null
2.86833,null,-1.86219,null,null
3.05964,0.557443,null,null,null
3.29433,null,-1.75456,null,null
2.6391,0.57178,null,null,null
3.8632,null,-1.99563,null,null
2.58405,0.376607,null,null,null
2.85501,null,-1.74038,null,null
2.39697,1.20394,null,null,null
3.13635,null,-1.01621,null,null
2.57975,1.29451,null,null,null
2.71769,null,-0.582943,null,null
2.62448,1.26082,null,null,null
2.3433,null,-0.652643,null,null
2.76652,2.09138,null,null,null
2.42785,null,-0.317734,null,null
2.34153,2.16948,null,null,null
2.86682,null,-0.63479,null,null
2.42266,2.33569,null,null,null
2.34667,null,-1.15526,null,null
1.53868,2.17995,null,null,null
2.08064,null,-1.20392,null,null
2.26722,2.61076,null,null,null
2.8211,null,-1.00214,null,null
2.62284,2.5869,null,null,null
2.595,null,-0.38518,null,null
3.32856,2.68969,null,null,null
2.02601,null,-0.35378,null,null
3.32856,2.68969,null,null,null
2.02601,null,-0.35378,null,null
4.32153,3.73317,null,null,null
2.51749,null,-0.861407,null,null
2.96414,3.36403,null,null,null
3.08426,null,-1.21625,null,null
4.1844,2.6376,null,null,null
2.81799,null,-0.629497,null,null
3.55187,1.78559,null,null,null
2.71149,null,-0.42956,null,null
3.6553,1.15119,null,null,null
2.62687,null,-0.770833,null,null
2.82072,0.452987,null,null,null
2.67025,null,-2.03713,null,null
2.2717,0.225887,null,null,null
2.46979,null,-1.45288,null,null
2.48773,0.740227,null,null,null
2.40406,null,-1.43412,null,null
3.13084,1.2628,null,null,null
2.73586,null,-1.46761,null,null
2.9442,1.83319,null,null,null
3.03866,null,-1.48066,null,null
2.76557,2.27013,null,null,null
2.33251,null,-1.35032,null,null
2.78135,1.67055,null,null,null
1.34351,null,-1.37924,null,null
4.04583,1.63531,null,null,null
1.02416,null,-1.11723,null,null
4.7283,1.2425,null,null,null
0.95967,null,-0.93965,null,null
5.69847,1.0926,null,null,null
1.02073,null,-1.33036,null,null
4.86947,2.12953,null,null,null
0.988667,null,-1.31581,null,null
3.89833,2.29039,null,null,null
0.91761,null,-1.05888,null,null
4.34823,2.37814,null,null,null
0.961,null,-0.88136,null,null
3.84073,1.78035,null,null,null
