MDTU,|Tr(Lx)|,|Tr(Ly)|
1,1.3096,1.47332
2,1.47353,1.62654
3,1.53966,1.71119
4,2.12443,1.7588
5,2.77965,1.85311
6,2.77965,1.85311
7,2.94491,2.35717
8,2.63882,2.13763
9,2.72056,2.31776
10,1.82677,3.26245
11,2.55512,3.35954
12,3.13749,2.47631
13,3.66823,2.16108
14,3.32796,2.862
15,3.17604,2.61503
16,3.5742,3.5639
17,3.83115,4.2584
18,3.6901,4.53087
19,3.80956,3.74187
20,3.56545,3.4198
21,3.11001,3.73243
22,2.70033,4.3482
23,2.61135,3.34365
24,2.68234,3.29688
25,2.88633,2.7795
26,2.91163,2.43249
27,3.46807,2.44855
28,3.19208,2.93626
29,3.36523,2.61562
30,2.66828,2.40385
31,3.4578,2.99381
32,3.68393,2.62343
33,4.27946,2.05667
34,4.27946,2.05667
35,5.71071,2.66078
36,4.48362,3.31541
37,4.94632,2.88745
38,3.97544,2.7453
39,3.83229,2.73764
40,2.85686,3.35859
41,2.28291,2.86544
42,2.59553,2.79932
43,3.37592,3.10464
44,3.46827,3.3802
45,3.57797,2.69518
46,3.24448,1.92544
47,4.36383,1.51562
48,4.88883,1.3431
49,5.80227,1.67683
50,5.31475,1.64585
51,4.52138,1.40115
52,4.95608,1.30396
53,4.23331,1.46052
54,3.35391,1.601
55,3.55098,1.32669
56,4.17101,0.682757
57,4.4195,0.820091
58,4.25343,1.10793
59,4.29414,0.971813
60,4.29414,0.971813
61,4.22418,2.08047
62,3.63757,1.52994
63,3.2837,1.39915
64,3.41321,1.01439
65,3.19039,1.64861
66,4.07874,0.949287
67,4.07874,0.949287
68,3.77995,1.84813
69,2.88221,1.72961
70,3.45091,1.51311
71,4.15136,1.67294
72,3.58355,2.30898
73,2.93074,3.46291
74,3.15991,2.41835
75,2.93049,2.2015
76,2.57099,2.80438
77,3.78999,2.4343
78,3.14541,2.23024
79,3.14541,2.23024
80,2.39551,2.61969
81,2.52976,2.6635
82,2.1212,2.68005
83,3.0031,3.08099
84,3.12427,2.31112
85,4.01272,1.74748
86,4.40835,2.20019
87,3.76738,2.43905
88,3.88048,2.08399
89,3.38961,2.44942
90,3.23477,2.65119
91,3.60715,2.42155
92,1.88811,2.49249
93,1.48272,2.56181
94,1.38125,2.25707
95,0.969587,2.14714
96,0.948682,2.44786
97,0.949679,2.24949
98,1.23705,1.75858
99,1.22847,1.92403
100,0.732534,1.67912
101,0.733318,1.96162
102,1.26852,1.79777
103,1.36836,1.89141
104,0.927369,1.29736
105,0.925584,1.92031
106,0.751464,1.47913
107,0.672566,1.80142
108,0.672566,1.80142
109,1.11874,1.36809
110,1.1555,1.48761
111,1.10474,1.52095
112,1.07394,1.62331
113,1.79802,1.46987
114,1.63778,1.37838
115,1.63327,1.81334
116,1.99501,1.77737
117,2.27413,1.79031
118,1.82935,1.68846
119,1.33783,1.38773
120,0.977759,1.41979
121,0.755461,1.48127
122,0.716874,1.67883
123,0.677914,1.96846
124,0.888546,1.76709
125,0.799001,1.66651
126,0.71083,1.55859
127,0.761464,1.66086
128,0.770761,1.7989
129,0.709663,1.48133
130,0.677395,1.66276
131,0.602886,1.35237
132,0.602886,1.35237
133,0.477339,1.67755
134,0.556408,1.42357
135,0.577831,1.49899
136,0.580284,1.97723
137,0.732956,1.85846
138,0.764127,1.89713
139,0.530137,1.69789
140,0.862998,1.3228
141,0.879934,1.32605
142,1.22651,1.02456
143,1.02808,1.31028
144,0.58547,1.34539
145,0.298401,1.31966
146,0.17109,1.18605
147,0.273601,1.35481
148,0.401931,1.37461
149,0.429225,1.77788
150,0.225665,1.80412
151,0.177879,1.83734
152,0.265613,1.45174
153,0.351115,1.33538
154,0.252262,1.44482
155,0.44516,1.4375
156,0.609595,1.25784
157,0.609595,1.25784
158,0.52407,1.30952
159,0.721363,1.43765
160,0.753467,1.00579
161,0.907343,1.08459
162,0.907343,1.08459
163,1.10089,0.893324
164,1.26413,1.11329
165,1.20182,0.917796
166,1.12383,0.867924
167,1.14151,0.784023
168,0.726445,0.775165
169,0.611289,0.917696
170,0.753346,0.930067
171,0.928928,0.959926
172,0.565539,0.713709
173,0.728627,0.706379
174,0.791766,0.814557
175,0.581152,1.01594
176,0.339797,1.50695
177,0.288291,1.92253
178,0.621801,2.15761
179,0.708047,2.33449
180,1.07951,2.09348
181,0.795939,1.99741
182,0.532558,2.19527
183,0.408759,1.94483
184,0.618443,2.81657
185,0.543824,2.54051
186,0.508593,2.41265
187,0.537783,2.358
188,1.0148,1.85344
189,1.27702,1.50492
190,1.31827,1.7308
191,1.17799,2.50121
192,1.08274,2.20804
193,1.09975,1.652
194,1.2059,1.31095
195,1.58375,1.46648
196,1.31384,1.40962
197,1.9775,1.52985
198,1.70387,2.01337
199,1.97166,1.61417
200,1.63979,1.94221
201,2.17949,1.68262
202,1.92649,1.78032
203,1.48461,1.64246
204,1.65697,1.10991
205,1.33984,1.55172
206,1.23475,1.39356
207,1.981,1.39285
208,1.42317,1.68948
209,1.50272,1.37241
210,1.35999,1.37579
211,1.44029,1.30291
212,1.28369,1.87033
213,1.29807,1.50933
214,0.953024,1.5631
215,0.623926,1.62096
216,0.852703,2.08826
217,0.862201,2.09714
218,0.721586,2.05845
219,0.867332,1.62479
220,0.649256,1.84432
221,0.366955,2.0196
222,0.698506,2.38563
223,0.656335,1.87675
224,0.669344,1.98513
225,0.680294,1.51317
226,0.47667,1.22273
227,0.495671,0.939772
228,0.604836,0.91279
229,0.661808,1.59033
230,0.659288,1.26378
231,0.76953,1.6625
232,0.714959,1.64356
233,0.879663,1.16256
234,1.04409,0.967468
235,0.863262,0.861866
236,0.779529,0.852013
237,0.779529,0.852013
238,0.880141,1.00479
239,0.880141,1.00479
240,0.511663,0.865696
241,0.511663,0.865696
242,0.64635,1.48291
243,0.633391,0.974954
244,0.550869,1.34491
245,0.458292,1.55305
246,0.787312,1.27596
247,0.40135,1.52937
248,0.31901,1.47358
249,0.300441,2.16509
250,0.296394,1.90915
251,0.363555,2.2237
252,0.509162,1.77362
253,0.481567,2.28989
254,0.175679,2.58847
255,0.370636,2.22948
256,0.389058,2.7385
257,0.296657,2.47813
258,0.323944,1.93257
259,0.288529,2.38601
260,0.308364,2.80111
261,0.249516,3.27528
262,0.336363,2.33888
263,0.208942,1.89818
264,0.119632,2.49441
265,0.0632223,1.90204
266,0.354172,1.55028
267,0.533213,1.63252
268,0.609706,1.93774
269,0.444957,1.80432
270,0.444957,1.80432
271,0.444957,1.80432
272,0.487118,1.54763
273,0.509794,1.19599
274,0.71209,1.3626
275,0.828373,1.55963
276,0.91643,1.694
277,0.735814,1.05763
278,0.822469,1.1214
279,0.519012,1.16339
280,0.519012,1.16339
281,0.728861,1.19585
282,0.990921,0.989002
283,1.24946,1.15466
284,0.73713,1.19517
285,0.56591,1.23344
286,0.56591,1.23344
287,0.61495,1.24435
288,0.612765,1.15896
289,1.02843,1.20027
290,0.688177,1.44349
291,0.71002,1.76644
292,0.563324,1.44781
293,0.614498,1.23223
294,0.493679,1.05683
295,0.224867,0.906243
296,0.391864,0.706419
297,0.677693,0.528314
298,0.677693,0.528314
299,0.677693,0.528314
300,0.417961,0.654171
301,0.626039,0.409564
302,0.876796,0.162076
303,0.711342,0.393606
304,0.929371,0.226927
305,0.939602,0.551488
306,0.987703,0.551105
307,0.913247,0.898517
308,0.899909,0.763249
309,0.685355,1.18426
310,0.827156,1.09776
311,0.881217,1.42449
312,0.927548,1.23676
313,0.940806,1.41915
314,0.940806,1.41915
315,0.947519,1.56366
316,0.937699,1.77306
317,0.813267,1.95207
318,0.918333,2.26458
319,1.01703,2.18365
320,1.3317,1.50035
321,1.08988,1.52919
322,0.957883,1.7239
323,0.719681,1.52584
324,0.789214,1.4209
325,0.691284,1.5284
326,0.565155,1.95305
327,0.682109,2.04948
328,0.671668,1.97706
329,0.691926,1.7807
330,0.594422,1.92322
331,0.517961,2.24229
332,0.512607,2.08728
333,0.646899,1.91041
334,0.639928,2.09415
335,0.76893,2.15842
336,0.943322,2.10079
337,0.867823,2.11914
338,1.48191,2.36917
339,1.19476,1.68205
340,1.37602,1.43953
341,1.3475,1.63273
342,1.10838,1.93211
343,1.32177,2.38539
344,1.48003,2.33069
345,1.95707,2.18486
346,1.81192,2.41003
347,1.81192,2.41003
348,1.81192,2.41003
349,1.29329,2.18115
350,1.40605,1.94034
351,0.992071,1.85276
352,1.0553,1.58735
353,0.756492,1.74667
