ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.811113,-0.020238,null,null,null
0.844487,null,-0.0915,null,null
0.699847,-0.0598147,null,null,null
0.74111,null,0.0698127,null,null
0.669967,-0.156956,null,null,null
0.76106,null,-0.0104728,null,null
0.733147,-0.103667,null,null,null
0.69929,null,-0.0392517,null,null
0.696577,-0.0207063,null,null,null
0.76194,null,-0.025807,null,null
0.696577,-0.0207063,null,null,null
0.76194,null,-0.025807,null,null
0.66455,-0.037039,null,null,null
0.71814,null,0.0354697,null,null
0.51336,-0.0238317,null,null,null
0.694397,null,-0.0339163,null,null
0.577583,-0.0487253,null,null,null
0.70078,null,0.151092,null,null
0.53438,0.058228,null,null,null
0.74758,null,0.0361787,null,null
0.634547,0.0183612,null,null,null
0.638317,null,0.08241,null,null
0.64763,0.114409,null,null,null
0.63571,null,0.00302987,null,null
0.632513,0.11451,null,null,null
0.722547,null,0.0153722,null,null
0.6543,0.0258088,null,null,null
0.73082,null,-0.0706843,null,null
0.63334,-0.0289096,null,null,null
0.73685,null,-0.167322,null,null
0.580987,-0.0945497,null,null,null
0.6835,null,-0.315271,null,null
0.509693,0.0196907,null,null,null
0.64233,null,-0.44017,null,null
0.572737,0.072688,null,null,null
0.635673,null,-0.414993,null,null
0.66482,0.111347,null,null,null
0.548747,null,-0.49735,null,null
0.489017,0.280948,null,null,null
0.611117,null,-0.437193,null,null
0.607417,0.253322,null,null,null
0.661123,null,-0.298251,null,null
0.62363,0.250853,null,null,null
0.681767,null,-0.219945,null,null
0.62429,0.229447,null,null,null
0.642227,null,-0.166349,null,null
0.663847,0.235074,null,null,null
0.73778,null,-0.118399,null,null
0.653357,0.195371,null,null,null
0.704573,null,-0.060101,null,null
0.60704,0.309059,null,null,null
0.637737,null,-0.301014,null,null
0.520593,0.36378,null,null,null
0.663623,null,-0.23466,null,null
0.534,0.441847,null,null,null
0.635963,null,-0.205573,null,null
0.55573,0.401537,null,null,null
0.634127,null,-0.200103,null,null
0.497877,0.37542,null,null,null
0.58782,null,-0.0614203,null,null
0.567147,0.267854,null,null,null
0.54498,null,-0.0420857,null,null
0.602223,0.210252,null,null,null
0.65952,null,0.023105,null,null
0.539193,0.407467,null,null,null
0.644553,null,-0.0312791,null,null
0.539193,0.407467,null,null,null
0.644553,null,-0.0312791,null,null
0.627587,0.346263,null,null,null
0.6714,null,-0.070552,null,null
0.59868,0.295794,null,null,null
0.666637,null,-0.158795,null,null
0.674653,0.066324,null,null,null
0.613133,null,-0.25293,null,null
0.624597,0.0347023,null,null,null
0.589643,null,-0.253248,null,null
0.620997,-0.148518,null,null,null
0.557267,null,-0.220973,null,null
0.53438,-0.225319,null,null,null
0.564567,null,-0.387037,null,null
0.538963,-0.235518,null,null,null
0.59599,null,-0.218437,null,null
0.580317,-0.14485,null,null,null
0.643933,null,-0.153437,null,null
0.57786,-0.128217,null,null,null
0.58323,null,-0.136652,null,null
0.58647,-0.0768263,null,null,null
0.45733,null,-0.0853413,null,null
0.532913,-0.106618,null,null,null
0.263884,null,-0.146636,null,null
0.438583,-0.218036,null,null,null
0.28241,null,-0.176624,null,null
0.594343,-0.198904,null,null,null
0.112373,null,-0.167801,null,null
0.635,-0.141427,null,null,null
0.0853327,null,-0.175542,null,null
0.61785,-0.22143,null,null,null
0.112019,null,-0.199198,null,null
0.59122,-0.111575,null,null,null
0.055297,null,-0.229594,null,null
0.574177,-0.0155204,null,null,null
0.100645,null,-0.222281,null,null
0.455877,-0.205322,null,null,null
-0.0231963,null,-0.243805,null,null
0.40409,-0.17734,null,null,null
0.0341963,null,-0.207091,null,null
0.430817,-0.0688693,null,null,null
0.0542,null,-0.193573,null,null
0.404033,-0.0669517,null,null,null
0.097556,null,-0.188881,null,null
0.390217,-0.081723,null,null,null
0.12554,null,-0.201389,null,null
0.315718,-0.094388,null,null,null
0.10112,null,-0.223791,null,null
0.437407,-0.0958397,null,null,null
0.111977,null,-0.102526,null,null
0.487033,-0.00284629,null,null,null
0.085801,null,-0.114613,null,null
0.487033,-0.00284629,null,null,null
0.085801,null,-0.114613,null,null
0.43059,-0.042964,null,null,null
0.18434,null,-0.0500007,null,null
0.352857,-0.0637587,null,null,null
0.0807837,null,-0.047808,null,null
0.274914,-0.141207,null,null,null
0.025187,null,-0.0208131,null,null
0.228806,-0.143849,null,null,null
-0.109944,null,0.0136243,null,null
0.216444,-0.073052,null,null,null
-0.0846787,null,0.101004,null,null
0.100904,-0.131291,null,null,null
-0.0457393,null,-0.0190044,null,null
0.100904,-0.131291,null,null,null
-0.0457393,null,-0.0190044,null,null
0.0495733,-0.138532,null,null,null
0.0987973,null,0.0834953,null,null
-0.036927,-0.18326,null,null,null
0.075613,null,0.116069,null,null
0.08802,-0.126664,null,null,null
0.107269,null,0.0320622,null,null
0.271675,-0.129083,null,null,null
0.121543,null,0.0857327,null,null
0.240954,-0.149605,null,null,null
0.149874,null,0.054865,null,null
0.274599,-0.0996373,null,null,null
0.194488,null,0.0777993,null,null
0.31256,-0.002265,null,null,null
0.146722,null,0.131471,null,null
0.219897,-0.0159557,null,null,null
0.105243,null,0.0443623,null,null
0.108439,-0.113425,null,null,null
0.00780973,null,0.0178321,null,null
0.133459,-0.148684,null,null,null
0.0295545,null,0.0109789,null,null
0.230544,-0.0154308,null,null,null
0.203241,null,-0.00583393,null,null
0.230544,-0.0154308,null,null,null
0.203241,null,-0.00583393,null,null
0.138893,-0.073532,null,null,null
0.220508,null,0.0477033,null,null
0.207171,-0.0745293,null,null,null
0.244385,null,0.0130281,null,null
0.178763,-0.103595,null,null,null
0.270682,null,0.0278853,null,null
0.195979,-0.090963,null,null,null
0.315539,null,0.0632117,null,null
0.208258,-0.0742217,null,null,null
0.289875,null,0.0939133,null,null
0.176908,-0.117868,null,null,null
0.199271,null,0.0440113,null,null
0.265484,-0.0274362,null,null,null
0.286399,null,0.181473,null,null
0.352997,0.09809,null,null,null
0.325426,null,0.256469,null,null
0.370597,0.102726,null,null,null
0.361947,null,0.305331,null,null
0.288611,-0.0896113,null,null,null
0.31503,null,0.46,null,null
0.334977,-0.0170974,null,null,null
0.288959,null,0.4608,null,null
0.221767,-0.126192,null,null,null
0.31474,null,0.493047,null,null
0.354557,-0.113496,null,null,null
0.234201,null,0.548967,null,null
0.331241,-0.158608,null,null,null
0.322952,null,0.478217,null,null
0.407697,-0.174477,null,null,null
0.376823,null,0.455803,null,null
0.384597,-0.04344,null,null,null
0.31459,null,0.45542,null,null
0.376277,0.042369,null,null,null
0.317588,null,0.491613,null,null
0.397173,-0.0175711,null,null,null
0.320864,null,0.61071,null,null
0.310127,-0.117144,null,null,null
