MDTU,plaq_ss,plaq_st
1,1.13031,1.18292
2,1.1079,1.17685
3,1.08895,1.1884
4,1.12919,1.1762
5,1.13865,1.17852
6,1.13865,1.17852
7,1.11998,1.19049
8,1.07068,1.20802
9,1.09951,1.20143
10,1.11124,1.20494
11,1.16618,1.15117
12,1.09496,1.1835
13,1.13148,1.14817
14,1.13445,1.18769
15,1.09924,1.19004
16,1.16599,1.18128
17,1.19743,1.21184
18,1.18764,1.2092
19,1.17174,1.20783
20,1.164,1.21997
21,1.17795,1.2044
22,1.13311,1.21559
23,1.0931,1.24099
24,1.14589,1.19933
25,1.07798,1.21159
26,1.06252,1.20142
27,1.08095,1.23185
28,1.09218,1.25095
29,1.08263,1.23055
30,1.02022,1.23797
31,1.06419,1.2017
32,1.08839,1.20582
33,1.07512,1.21408
34,1.07512,1.21408
35,1.08512,1.23366
36,1.01954,1.24482
37,1.0686,1.26431
38,1.08325,1.2282
39,1.0768,1.21791
40,1.01246,1.22253
41,0.987166,1.24528
42,1.00554,1.22368
43,1.02358,1.24773
44,1.04366,1.22858
45,1.10483,1.1768
46,1.09654,1.16043
47,1.10619,1.15821
48,1.12488,1.13543
49,1.13283,1.14203
50,1.18622,1.10825
51,1.2031,1.09113
52,1.22636,1.09943
53,1.17845,1.11296
54,1.19265,1.10206
55,1.2141,1.10232
56,1.27273,1.08184
57,1.35108,1.0831
58,1.32372,1.0708
59,1.36708,1.08387
60,1.36708,1.08387
61,1.33795,1.07638
62,1.29473,1.10952
63,1.33367,1.0988
64,1.39535,1.08491
65,1.29518,1.12465
66,1.31502,1.13122
67,1.31502,1.13122
68,1.29997,1.12846
69,1.20113,1.14752
70,1.26716,1.14861
71,1.24166,1.19413
72,1.19295,1.21414
73,1.19907,1.22815
74,1.17128,1.2348
75,1.18398,1.22094
76,1.20997,1.1808
77,1.23699,1.1751
78,1.26103,1.1628
79,1.26103,1.1628
80,1.21029,1.16662
81,1.15648,1.17443
82,1.05648,1.20461
83,1.06232,1.2079
84,1.02941,1.18722
85,1.04189,1.1837
86,1.07232,1.20368
87,1.09408,1.16278
88,1.08896,1.15638
89,1.18522,1.11997
90,1.18793,1.14013
91,1.16135,1.14753
92,1.09688,1.15907
93,1.0905,1.12497
94,1.01646,1.1281
95,0.999727,1.13858
96,0.992551,1.15295
97,0.946488,1.17261
98,0.992882,1.14558
99,0.99862,1.13721
