ReTr(L),ImTr(L)
1.4828,-0.0593105
1.6353,-0.450583
1.98411,-0.536627
1.51784,-0.653159
1.64319,-0.994445
1.64319,-0.994445
1.59088,-0.6497
1.98045,-0.813945
1.86138,-1.11636
1.41448,-1.00215
1.40293,-0.455833
1.65982,-0.338728
1.30213,0.210199
1.47932,-0.276285
1.64863,-0.603366
1.3757,-0.0916363
1.37073,-0.230234
1.40152,-0.0193225
1.30426,-0.0376695
1.50224,-0.216022
1.16042,-0.663428
1.19114,-0.468934
1.124,-1.11372
0.901342,-0.730586
1.0756,-0.386757
0.765118,-0.78503
0.540784,-1.10345
0.422927,-1.28843
0.447526,-0.65251
0.772272,-0.622763
0.709257,-0.32599
0.618679,-0.0670071
0.63571,-0.146961
0.63571,-0.146961
0.663482,-0.129753
0.682567,-0.139171
0.522586,0.294434
0.349206,0.468046
0.480979,0.243861
0.31812,0.481254
0.156156,0.475915
0.0762009,0.471142
0.0842681,0.487198
0.73166,0.592288
0.949168,0.128291
1.04805,0.233002
1.07394,0.0825564
1.19735,0.137493
1.20587,-0.0355449
1.27195,-0.15186
1.21459,-0.225472
0.99521,-0.0955647
1.19921,-0.0701932
1.43547,-0.446018
1.68634,-0.544944
1.47219,-0.369308
1.12312,-0.703866
1.15434,-0.62406
1.31883,-0.459214
1.31883,-0.459214
1.15952,-0.446795
1.18904,-0.401994
1.15366,-0.263871
0.979289,-0.225627
1.38234,-0.244375
1.5238,-0.489583
1.5238,-0.489583
1.4512,-0.457621
1.36836,-0.320242
1.44427,0.180324
1.7397,0.221333
1.61609,0.162199
1.44045,0.0321062
1.63583,0.216586
1.13654,-0.278504
0.664977,-0.421588
0.315405,-0.879488
0.239357,-1.05448
0.239357,-1.05448
0.608287,-1.17725
0.72546,-1.41652
0.638945,-1.47167
1.35774,-1.53631
1.23462,-1.71291
1.41074,-0.912945
1.59607,-0.756364
1.56057,-0.547366
1.71385,-0.746121
1.59516,-0.466551
1.23102,-0.602954
1.20521,-0.736622
1.19758,-1.12125
0.733944,-1.8094
0.966373,-1.3436
0.860485,-1.82991
0.841419,-1.59186
1.01682,-2.01993
0.337579,-2.00614
-0.185008,-2.0023
0.557948,-2.40504
-1.16239,-2.71481
-0.660057,-1.82259
-0.0983622,-2.24205
-0.790653,-2.66643
-0.623943,-2.85398
-0.810419,-2.63827
-0.314244,-2.5669
-0.314244,-2.5669
-0.654081,-2.37232
-0.514815,-2.24681
-0.868651,-2.36532
-0.346567,-2.22033
-0.71573,-2.43847
0.237041,-2.52123
0.0195682,-2.88398
0.406405,-2.48015
0.520764,-2.07974
1.17219,-2.45998
1.04411,-2.75088
-0.93814,-3.58506
-0.607696,-2.7144
0.0400675,-2.39131
-0.343789,-3.04311
-0.0113147,-2.87872
1.19549,-3.00393
0.313008,-3.08362
0.710124,-1.82029
0.799777,-1.53382
0.494171,-0.750073
0.694017,-0.832052
0.931911,-0.576317
0.931911,-0.576317
1.22968,-0.831456
1.18867,-0.923896
1.26958,-0.967589
0.694798,-0.904755
0.782994,-0.849566
0.716716,-0.731408
0.399899,-0.913454
0.737366,-1.03085
0.230947,-0.877566
0.438406,-0.825381
0.452534,-0.376547
0.615424,-0.551152
0.529297,-0.376237
0.698948,-0.475677
0.361311,-0.362387
0.543141,-0.306173
0.435358,-0.402481
0.524887,-0.530221
0.818141,-0.397419
0.760353,-0.557995
0.720693,-0.68857
0.870798,-0.89524
1.23937,-0.742606
1.026,-0.659313
1.026,-0.659313
0.840355,-0.726865
1.05668,-1.06471
2.1617,-1.00568
1.73312,-0.686111
1.73312,-0.686111
1.54657,-0.573735
1.73048,-0.0221523
1.51366,-0.126182
1.14986,-0.315008
1.24618,-0.373761
1.23967,-0.601785
1.38043,-0.266126
1.4979,-0.371903
1.21131,-0.872527
1.73403,-0.778107
2.28526,-0.701201
1.88163,-1.2243
1.76975,-1.22546
1.68729,-0.744512
1.68245,-1.11429
1.49346,-0.756487
1.30573,-1.15702
1.18046,-1.36224
1.31477,-1.58208
0.768687,-1.01692
0.698371,-0.648351
0.386231,-0.755648
0.509711,-0.950478
0.5984,-0.734834
0.705171,-1.12787
0.366799,-0.820868
0.485556,-0.943804
0.753356,-0.823383
0.562301,-0.841796
0.380404,-1.05407
0.323145,-1.20366
0.058779,-0.92116
0.121787,-0.816346
0.0363881,-1.19345
0.166862,-1.11663
0.216938,-0.961455
0.00869081,-1.2589
0.281959,-1.05413
0.431234,-0.999489
0.28245,-0.803029
0.503151,-0.735084
0.405027,-0.884454
0.49994,-1.13234
0.263495,-1.51424
0.744486,-1.33831
0.790548,-1.05024
0.961644,-0.807762
0.84841,-0.513341
0.869751,-0.758077
0.935255,-0.637001
1.05102,-0.848452
0.943706,-0.857341
0.71168,-0.759342
0.448519,-0.910675
0.559561,-1.0609
0.582185,-1.17622
0.540017,-1.13493
0.835982,-1.00767
1.05379,-1.14713
1.03301,-1.03428
1.05034,-1.05318
0.921871,-0.981214
0.968898,-1.18177
0.773014,-1.19324
0.561826,-1.2287
1.03879,-1.28145
0.832582,-1.25831
0.917389,-1.27744
0.811289,-1.3774
1.03487,-1.20324
0.700503,-1.32104
0.815535,-1.13193
0.853772,-1.07037
0.945407,-1.2663
0.945407,-1.2663
1.10703,-1.39784
1.10703,-1.39784
1.19449,-1.54001
1.19449,-1.54001
0.701687,-1.38481
0.839907,-1.24128
0.832793,-0.947346
1.26934,-0.961294
1.3359,-1.2727
1.35923,-1.81804
1.76775,-1.51706
1.69655,-0.922074
2.45738,-0.639208
2.55666,-0.410763
2.37178,-0.946815
2.20837,-0.988557
2.04347,-0.607995
1.724,-0.521116
1.58789,-1.20416
1.72389,-1.28168
1.62432,-1.79441
1.58668,-2.2013
1.482,-1.98928
1.77752,-1.78144
2.02177,-1.19964
2.54724,-1.29783
2.92829,-1.02939
3.82994,-1.01302
3.75239,-0.298275
3.72675,-0.878518
3.85381,-0.432571
3.57535,-1.32262
3.57535,-1.32262
3.57535,-1.32262
4.29388,-0.95647
3.16171,-1.73027
2.63255,-0.722523
1.9137,-0.61028
1.95549,-0.538871
2.41434,-0.332014
2.14887,-0.0754187
2.37907,-0.650255
2.37907,-0.650255
2.01876,-0.299098
1.68206,-0.552036
1.62516,-0.0419214
1.83375,0.75368
1.60345,0.667317
1.60345,0.667317
1.52598,0.117134
1.68674,-0.0218456
1.34295,-0.202014
1.13122,-0.562178
1.45487,-0.911767
1.49339,-1.09465
1.43795,-1.33584
1.45678,-1.07137
1.43733,-1.46274
1.39756,-1.10208
1.46798,-1.02011
1.46798,-1.02011
1.46798,-1.02011
1.72946,-1.14208
1.65647,-0.509098
1.93637,-0.361724
1.97832,-0.317864
2.18504,-0.0263999
2.0562,-0.00191081
2.14619,-0.192103
1.90672,0.595134
1.71407,0.905573
1.77549,1.0793
1.54356,1.06293
1.25681,1.0554
0.991708,1.2126
0.646698,1.12702
0.646698,1.12702
0.895747,1.17954
0.32206,1.16851
0.286335,1.35496
0.132231,0.967741
-0.546832,0.538337
-0.433943,0.653721
-0.151851,0.795472
-0.574385,0.670847
-0.29359,0.870707
-0.23621,0.624986
-0.115021,0.621654
0.369708,0.8318
0.42182,1.0649
0.259218,0.858492
0.635294,0.571668
0.373341,0.390109
0.65532,0.062788
0.0499203,0.339025
0.273646,0.0653727
-0.153937,0.322367
-0.167163,0.139764
-0.162814,0.223245
0.192349,0.461086
0.194368,0.294972
0.0399661,0.271331
0.197804,0.474667
0.385484,0.618923
1.1245,0.666622
0.953616,1.11401
0.711052,0.948496
0.85455,1.12141
0.820261,0.821792
0.820261,0.821792
0.820261,0.821792
0.733162,0.829371
1.41431,0.332812
1.21242,0.13222
1.17568,0.28536
0.998989,0.422849
1.20132,0.135776
1.38016,0.154934
1.30094,-0.0845341
1.30094,-0.0845341
1.35002,-0.292714
1.25776,0.0112316
1.12631,-0.183886
0.97255,-0.137369
1.14533,-0.458722
1.28221,-0.876629
1.38918,-0.881397
1.60454,-0.90119
1.6309,-0.656454
1.71634,-0.717544
1.71634,-0.717544
1.8432,-0.734961
1.35261,-0.823893
1.17744,-0.852723
1.3742,-0.849585
1.24516,-0.61566
1.21829,-1.02809
1.43914,-0.95247
1.28686,-1.04795
1.2482,-0.856186
1.05164,-0.671503
0.903853,-0.706175
1.04804,-0.603508
1.04804,-0.603508
1.15394,-0.370513
0.599833,-0.465604
0.675863,-0.833657
0.654635,-0.41056
0.673175,-0.636073
0.461317,-0.647645
0.461317,-0.647645
0.376054,-0.50598
0.187531,-0.548473
0.27553,-0.348023
0.38417,-0.416647
0.465404,-0.357137
0.517182,-0.160894
0.687019,-0.193526
0.817175,-0.351283
0.953004,-0.307641
0.870021,-0.136136
0.970541,-0.31015
0.994446,-0.298841
1.06047,-0.160846
0.854285,-0.00451916
0.945797,-0.225338
1.1534,-0.286482
1.1534,-0.286482
1.22217,-0.233991
1.22381,-0.182186
0.668674,-0.23823
0.668674,-0.23823
0.685226,-0.279263
0.77486,-0.236108
0.785453,-0.412667
0.834855,-0.581077
0.708489,-0.467581
0.756357,-0.628028
0.564329,-0.636688
0.354811,-0.77023
0.707211,-0.745655
0.669958,-0.726387
0.788214,-0.642627
0.771739,-0.64267
0.645545,-0.822431
0.616831,-0.958067
0.916853,-1.10195
0.845118,-1.08202
0.826544,-0.96542
0.512613,-0.69805
0.710221,-0.803354
0.604854,-0.993789
0.779512,-0.926816
