MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.48399,1.4828,-0.0593105
2,1.69624,1.6353,-0.450583
3,2.0554,1.98411,-0.536627
4,1.65241,1.51784,-0.653159
5,1.92068,1.64319,-0.994445
6,1.92068,1.64319,-0.994445
7,1.71843,1.59088,-0.6497
8,2.14119,1.98045,-0.813945
9,2.17049,1.86138,-1.11636
10,1.73351,1.41448,-1.00215
11,1.47512,1.40293,-0.455833
12,1.69403,1.65982,-0.338728
13,1.31898,1.30213,0.210199
14,1.5049,1.47932,-0.276285
15,1.75557,1.64863,-0.603366
16,1.37875,1.3757,-0.0916363
17,1.38993,1.37073,-0.230234
18,1.40165,1.40152,-0.0193225
19,1.3048,1.30426,-0.0376695
20,1.51769,1.50224,-0.216022
21,1.33668,1.16042,-0.663428
22,1.28012,1.19114,-0.468934
23,1.58232,1.124,-1.11372
24,1.16025,0.901342,-0.730586
25,1.14302,1.0756,-0.386757
26,1.09621,0.765118,-0.78503
27,1.22884,0.540784,-1.10345
28,1.35607,0.422927,-1.28843
29,0.791232,0.447526,-0.65251
30,0.992088,0.772272,-0.622763
31,0.780586,0.709257,-0.32599
32,0.622297,0.618679,-0.0670071
33,0.652476,0.63571,-0.146961
34,0.652476,0.63571,-0.146961
35,0.676051,0.663482,-0.129753
36,0.69661,0.682567,-0.139171
37,0.599823,0.522586,0.294434
38,0.583962,0.349206,0.468046
39,0.539267,0.480979,0.243861
40,0.576893,0.31812,0.481254
41,0.500879,0.156156,0.475915
42,0.477265,0.0762009,0.471142
43,0.494432,0.0842681,0.487198
44,0.941346,0.73166,0.592288
45,0.957799,0.949168,0.128291
46,1.07364,1.04805,0.233002
47,1.07711,1.07394,0.0825564
48,1.20521,1.19735,0.137493
49,1.20639,1.20587,-0.0355449
50,1.28098,1.27195,-0.15186
51,1.23534,1.21459,-0.225472
52,0.999788,0.99521,-0.0955647
53,1.20126,1.19921,-0.0701932
54,1.50317,1.43547,-0.446018
55,1.7722,1.68634,-0.544944
56,1.51781,1.47219,-0.369308
57,1.32545,1.12312,-0.703866
58,1.31223,1.15434,-0.62406
59,1.39649,1.31883,-0.459214
60,1.39649,1.31883,-0.459214
61,1.24263,1.15952,-0.446795
62,1.25515,1.18904,-0.401994
63,1.18345,1.15366,-0.263871
64,1.00495,0.979289,-0.225627
65,1.40378,1.38234,-0.244375
66,1.60051,1.5238,-0.489583
67,1.60051,1.5238,-0.489583
68,1.52165,1.4512,-0.457621
69,1.40533,1.36836,-0.320242
70,1.45548,1.44427,0.180324
71,1.75372,1.7397,0.221333
72,1.62421,1.61609,0.162199
73,1.44081,1.44045,0.0321062
74,1.6501,1.63583,0.216586
75,1.17016,1.13654,-0.278504
76,0.787357,0.664977,-0.421588
77,0.934334,0.315405,-0.879488
78,1.0813,0.239357,-1.05448
79,1.0813,0.239357,-1.05448
80,1.32511,0.608287,-1.17725
81,1.59148,0.72546,-1.41652
82,1.60439,0.638945,-1.47167
83,2.0503,1.35774,-1.53631
84,2.11148,1.23462,-1.71291
85,1.68037,1.41074,-0.912945
86,1.76622,1.59607,-0.756364
87,1.65378,1.56057,-0.547366
88,1.86922,1.71385,-0.746121
89,1.66199,1.59516,-0.466551
90,1.37075,1.23102,-0.602954
91,1.4125,1.20521,-0.736622
92,1.64054,1.19758,-1.12125
93,1.95259,0.733944,-1.8094
94,1.65503,0.966373,-1.3436
95,2.02213,0.860485,-1.82991
96,1.80056,0.841419,-1.59186
97,2.26142,1.01682,-2.01993
98,2.03434,0.337579,-2.00614
99,2.01083,-0.185008,-2.0023
100,2.46891,0.557948,-2.40504
101,2.9532,-1.16239,-2.71481
102,1.93843,-0.660057,-1.82259
103,2.2442,-0.0983622,-2.24205
104,2.78118,-0.790653,-2.66643
105,2.92139,-0.623943,-2.85398
106,2.75994,-0.810419,-2.63827
107,2.58607,-0.314244,-2.5669
108,2.58607,-0.314244,-2.5669
109,2.46084,-0.654081,-2.37232
110,2.30504,-0.514815,-2.24681
111,2.51978,-0.868651,-2.36532
112,2.24721,-0.346567,-2.22033
113,2.54134,-0.71573,-2.43847
114,2.53235,0.237041,-2.52123
115,2.88405,0.0195682,-2.88398
116,2.51323,0.406405,-2.48015
117,2.14395,0.520764,-2.07974
118,2.72498,1.17219,-2.45998
119,2.94237,1.04411,-2.75088
120,3.70577,-0.93814,-3.58506
121,2.7816,-0.607696,-2.7144
122,2.39165,0.0400675,-2.39131
123,3.06247,-0.343789,-3.04311
124,2.87874,-0.0113147,-2.87872
125,3.23307,1.19549,-3.00393
126,3.09947,0.313008,-3.08362
127,1.9539,0.710124,-1.82029
128,1.72981,0.799777,-1.53382
129,0.898229,0.494171,-0.750073
130,1.0835,0.694017,-0.832052
131,1.09572,0.931911,-0.576317
132,1.09572,0.931911,-0.576317
133,1.4844,1.22968,-0.831456
134,1.50549,1.18867,-0.923896
135,1.59626,1.26958,-0.967589
136,1.14076,0.694798,-0.904755
137,1.15535,0.782994,-0.849566
138,1.02403,0.716716,-0.731408
139,0.997155,0.399899,-0.913454
140,1.26742,0.737366,-1.03085
141,0.907446,0.230947,-0.877566
142,0.934588,0.438406,-0.825381
143,0.588706,0.452534,-0.376547
144,0.826145,0.615424,-0.551152
145,0.649392,0.529297,-0.376237
146,0.845457,0.698948,-0.475677
147,0.511733,0.361311,-0.362387
148,0.623494,0.543141,-0.306173
149,0.592898,0.435358,-0.402481
150,0.746084,0.524887,-0.530221
