MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.835481,0.833717,-0.0542717
2,0.786264,0.762027,-0.193719
3,0.733737,0.726413,-0.103414
4,0.694428,0.683407,-0.123229
5,0.719182,0.684577,-0.220405
6,0.719182,0.684577,-0.220405
7,0.656185,0.650233,-0.0881743
8,0.638556,0.63816,-0.0224856
9,0.676726,0.66485,-0.126227
10,0.682184,0.655503,-0.18892
11,0.738774,0.727063,-0.13102
12,0.752604,0.736687,-0.153966
13,0.703748,0.701857,0.051555
14,0.712518,0.688197,-0.184572
15,0.772678,0.734557,-0.239703
16,0.740028,0.735367,-0.0829333
17,0.732428,0.717423,-0.147492
18,0.746385,0.739477,-0.101313
19,0.639635,0.61386,-0.179746
20,0.691569,0.649037,-0.238788
21,0.646376,0.570747,-0.303398
22,0.519514,0.448143,-0.262798
23,0.488809,0.335183,-0.35579
24,0.420447,0.34362,-0.242283
25,0.306738,0.273146,-0.139569
26,0.260415,0.175026,-0.192827
27,0.307386,0.170783,-0.255576
28,0.269932,0.0835923,-0.256662
29,0.179986,0.12049,-0.133706
30,0.305388,0.255128,-0.167844
31,0.378978,0.315623,-0.209777
32,0.312746,0.309113,-0.047529
33,0.308055,0.30293,-0.0559583
34,0.308055,0.30293,-0.0559583
35,0.257895,0.252741,-0.0513003
36,0.19136,0.183132,-0.0555087
37,0.162885,0.0335463,0.159393
38,0.240948,0.046835,0.236352
39,0.160638,0.0253741,0.158621
40,0.206457,0.0418327,0.202175
41,0.176026,0.078065,0.157769
42,0.104988,0.09251,0.0496417
43,0.121743,0.0824487,-0.089574
44,0.211812,0.160669,-0.138022
45,0.390711,0.332446,-0.205267
46,0.358663,0.334347,-0.129814
47,0.401713,0.385493,-0.112998
48,0.402441,0.3814,-0.128425
49,0.394731,0.355593,-0.171366
50,0.433289,0.337903,-0.271221
51,0.449854,0.34154,-0.292779
52,0.333962,0.212131,-0.257936
53,0.370163,0.203419,-0.309259
54,0.500806,0.293453,-0.405823
55,0.41897,0.23843,-0.34451
56,0.405609,0.277265,-0.296044
57,0.36496,0.192211,-0.310243
58,0.42444,0.203625,-0.372407
59,0.393338,0.230839,-0.318478
60,0.393338,0.230839,-0.318478
61,0.295135,0.180013,-0.23388
62,0.233558,0.23056,-0.0373027
63,0.216944,0.216805,0.0077565
64,0.211649,0.204469,0.0546623
65,0.275549,0.271979,0.0442123
66,0.247274,0.24439,-0.0376583
67,0.247274,0.24439,-0.0376583
68,0.238333,0.233782,-0.046354
69,0.272677,0.264437,0.0665263
70,0.468017,0.387293,0.262761
71,0.32953,0.279299,0.174878
72,0.361211,0.312799,0.180637
73,0.377258,0.322708,0.195405
74,0.536495,0.483013,0.233506
75,0.403458,0.396947,0.0721903
76,0.249934,0.24844,-0.0272797
77,0.149174,0.072165,-0.130557
