MDTU,min_min,min_max,max_min,max_max5
1,-0.593736,0.0933163,0.0431106,0.404356
2,-0.773068,0.102171,0.000971002,0.458215
3,-1.03333,0.0706024,-0.0183175,0.476133
4,-0.815661,0.0827878,0.0555169,0.484453
5,-0.966744,0.0824212,0.00962674,0.525744
6,-0.966744,0.0824212,0.00962674,0.525744
7,-1.09296,0.103793,0.0518867,0.537686
8,-1.20131,0.141593,0.0158781,0.544081
9,-1.84219,0.0863988,0.0650085,0.521972
10,-1.40319,0.057388,-0.0361456,0.538184
11,-1.34622,0.0527339,0.0534005,0.520824
12,-1.62705,0.121514,0.0145745,0.573909
13,-1.59263,0.0861152,-0.0219282,0.550157
14,-1.15823,0.108047,0.0681675,0.580619
15,-1.75272,0.0746698,0.0339691,0.51509
16,-1.20266,0.0591065,0.00975948,0.542698
17,-1.47369,0.102673,0.0218984,0.562866
18,-1.26775,0.128291,0.0526444,0.577058
19,-1.4212,0.0824757,0.0353989,0.540632
20,-1.27456,0.061871,-0.0324324,0.531457
21,-1.32078,0.0877773,0.0503986,0.597735
22,-1.23982,0.110371,0.0408743,0.552503
23,-1.4624,0.0811778,0.0901363,0.53501
24,-1.28943,0.0524284,0.0493315,0.525104
25,-1.25102,0.0659607,0.0595935,0.544555
26,-1.31059,0.093438,0.051308,0.520465
27,-1.2918,0.120102,-0.0111881,0.548271
28,-1.29594,0.0349946,0.0396324,0.537599
29,-1.49532,0.0545925,0.0414683,0.553445
30,-1.4167,0.115214,4.68261e-05,0.540973
31,-1.5392,0.109054,0.0341524,0.569504
32,-1.25562,0.109208,0.0189246,0.550602
33,-1.61569,0.109605,0.0310497,0.566987
34,-1.61569,0.109605,0.0310497,0.566987
35,-1.72205,0.093011,0.0357497,0.569685
36,-1.31566,0.0757669,0.00911577,0.568201
37,-1.29315,0.165565,0.0366805,0.589614
38,-1.69628,0.112426,0.0522227,0.578569
39,-1.19077,0.117168,-0.0185962,0.568796
40,-1.44475,0.073819,-0.0648826,0.580883
41,-1.65723,0.122743,0.0297002,0.56584
42,-1.36862,0.0899034,0.0179561,0.557171
43,-1.38497,0.125771,0.0112145,0.544321
44,-1.51622,0.0671103,0.0523281,0.557415
45,-1.4967,0.0442464,0.0164979,0.533882
46,-1.35945,0.0460951,-0.00105074,0.534619
47,-1.12388,0.0593305,0.00468992,0.584455
48,-1.20818,0.0768598,0.00227538,0.58757
49,-1.2258,0.015477,-0.0244743,0.572454
50,-1.21032,0.0299941,-0.0533279,0.586332
51,-1.05424,0.0553937,0.0366168,0.558221
52,-1.16732,-0.00933068,-0.0180611,0.63021
53,-1.15449,-0.00134018,-0.113875,0.550516
54,-1.01951,0.0559463,0.0185909,0.53064
55,-1.44378,0.0274429,0.0161749,0.578537
56,-1.04543,0.0426086,-0.0161273,0.580187
57,-1.10849,0.0183292,0.0254819,0.591898
58,-1.22943,0.0146228,-0.0217947,0.526498
59,-1.08273,0.0738163,0.0344034,0.571244
60,-1.08273,0.0738163,0.0344034,0.571244
61,-1.2381,0.0317679,0.0322268,0.564351
62,-1.07913,-0.000143902,0.0182504,0.532277
63,-1.31498,0.0332006,-0.00481177,0.569186
64,-1.29442,0.0287214,-0.0419536,0.544009
65,-1.43209,0.0297219,0.0093144,0.548751
66,-1.68242,-0.0037346,0.0242206,0.504722
67,-1.68242,-0.0037346,0.0242206,0.504722
68,-1.43741,0.0838031,0.0591787,0.552649
69,-1.45866,0.0924168,-0.00285769,0.557165
70,-1.20891,0.0995942,-0.0234393,0.522378
71,-1.5698,0.10187,0.0611405,0.592908
72,-1.25228,0.0701883,0.0855175,0.564978
73,-1.49459,0.0540054,0.0597817,0.540537
74,-1.76573,0.0656144,0.0492496,0.51904
75,-2.06538,0.0725491,0.0583697,0.551416
76,-1.42348,0.0614885,-0.0270237,0.582127
77,-1.09788,0.0674258,0.0255999,0.551429
78,-1.70123,0.0446043,0.00151387,0.581651
79,-1.70123,0.0446043,0.00151387,0.581651
80,-1.46265,0.113089,0.0102582,0.505169
81,-1.66925,0.0682609,0.0853885,0.540502
82,-1.44715,0.0624093,0.0579983,0.530953
83,-1.71708,0.117848,0.0613112,0.540143
84,-1.3148,0.128317,0.0221333,0.556346
85,-1.16506,0.0333101,0.012016,0.571771
86,-1.31001,0.111455,0.0563412,0.548863
87,-1.69132,0.131344,0.0184094,0.55418
88,-1.41066,0.0633176,0.00822727,0.577201
