MDTU,min_ave,max_ave
1,-0.172024,0.206512
2,-0.229806,0.239696
3,-0.262971,0.255471
4,-0.28026,0.270526
5,-0.313873,0.285169
6,-0.313873,0.285169
7,-0.32462,0.294365
8,-0.337846,0.294719
9,-0.354593,0.298007
10,-0.353502,0.293861
11,-0.346965,0.297548
12,-0.35279,0.297104
13,-0.334893,0.292676
14,-0.334554,0.300732
15,-0.338954,0.297709
16,-0.349877,0.309498
17,-0.35715,0.31772
18,-0.358077,0.316019
19,-0.367413,0.311262
20,-0.359594,0.309273
21,-0.351609,0.302256
22,-0.347665,0.307368
23,-0.349772,0.306021
24,-0.33154,0.296242
25,-0.337155,0.297923
26,-0.33389,0.295868
27,-0.34859,0.301295
28,-0.35502,0.305614
29,-0.35414,0.298765
30,-0.364092,0.29637
31,-0.379307,0.302498
32,-0.365905,0.298765
33,-0.36863,0.297429
34,-0.36863,0.297429
35,-0.389139,0.313883
36,-0.37991,0.316163
37,-0.377848,0.316558
38,-0.365869,0.302865
39,-0.36845,0.303451
40,-0.363768,0.304028
41,-0.36161,0.298619
42,-0.354676,0.29855
43,-0.373612,0.312226
44,-0.382023,0.318368
45,-0.373101,0.304741
46,-0.360109,0.298288
47,-0.346354,0.297128
48,-0.349869,0.297563
49,-0.356419,0.306788
50,-0.351871,0.305445
51,-0.353643,0.301001
52,-0.365812,0.306502
53,-0.359579,0.306732
54,-0.344729,0.304487
55,-0.344248,0.306855
56,-0.338611,0.303814
57,-0.35002,0.309759
58,-0.355767,0.305669
59,-0.363412,0.314794
60,-0.363412,0.314794
61,-0.361413,0.311287
62,-0.351425,0.306617
63,-0.360528,0.3032
64,-0.35379,0.300072
65,-0.357974,0.301416
66,-0.36731,0.311964
67,-0.36731,0.311964
68,-0.357664,0.309607
69,-0.345745,0.298722
70,-0.353728,0.301895
71,-0.371884,0.315028
72,-0.374694,0.316952
73,-0.393507,0.318611
74,-0.389692,0.311621
75,-0.396382,0.304357
76,-0.368142,0.304194
77,-0.367167,0.312154
78,-0.383101,0.310359
79,-0.383101,0.310359
80,-0.355705,0.306413
