MDTU,min_width,max_width
1,0.101233,0.0542839
2,0.118214,0.0654839
3,0.129794,0.0706374
4,0.13887,0.0673817
5,0.156232,0.0722922
6,0.156232,0.0722922
7,0.166755,0.0756838
8,0.185708,0.073512
9,0.21423,0.0747895
10,0.20623,0.0760145
11,0.184878,0.077612
12,0.206621,0.0775769
13,0.192431,0.0833422
14,0.191311,0.0796608
15,0.204673,0.0759853
16,0.192337,0.0869102
17,0.201952,0.0882704
18,0.193674,0.0896843
19,0.204637,0.0838829
20,0.204241,0.0811657
21,0.190623,0.0846891
22,0.182392,0.0851771
23,0.18787,0.0732681
24,0.169724,0.0806091
25,0.181564,0.0741844
26,0.180863,0.0770425
27,0.196486,0.0805608
28,0.189893,0.0752741
29,0.202003,0.0768715
30,0.220819,0.0758886
31,0.232122,0.0859563
32,0.209834,0.0861477
33,0.221235,0.0891354
34,0.221235,0.0891354
35,0.22646,0.0959552
36,0.219697,0.087511
37,0.230478,0.0863631
38,0.219014,0.083476
39,0.211912,0.0872705
40,0.206088,0.0857274
41,0.225444,0.0792374
42,0.205291,0.0787108
43,0.224764,0.078407
44,0.218216,0.0841942
45,0.201245,0.0845589
46,0.191902,0.08449
47,0.187972,0.0872505
48,0.189051,0.093299
49,0.176238,0.0978847
50,0.161591,0.0980029
51,0.154545,0.0908953
52,0.177013,0.0978352
53,0.167464,0.0881462
54,0.165755,0.0803428
55,0.16306,0.07744
56,0.154762,0.0828595
57,0.162594,0.0840509
58,0.163407,0.0840315
59,0.16577,0.0821459
60,0.16577,0.0821459
61,0.158903,0.0894567
62,0.164269,0.0819282
63,0.163766,0.0813161
64,0.169436,0.0837273
65,0.184176,0.0792514
66,0.193285,0.0784303
67,0.193285,0.0784303
68,0.181919,0.0774813
69,0.202665,0.0776247
70,0.190082,0.0779541
71,0.206175,0.0779784
72,0.209976,0.0757659
73,0.233285,0.0797804
74,0.226364,0.0763987
75,0.233378,0.0777046
76,0.197539,0.0873375
77,0.18792,0.0872483
78,0.211294,0.0859914
79,0.211294,0.0859914
80,0.191362,0.0772156
81,0.190472,0.0740132
82,0.198249,0.0768375
83,0.208587,0.077401
84,0.199946,0.0777758
85,0.192847,0.0818518
86,0.196709,0.0834773
87,0.185971,0.080758
88,0.18352,0.0835357
89,0.164884,0.0822153
90,0.174631,0.0846153
91,0.177983,0.0857793
92,0.174363,0.0736065
93,0.172395,0.0769804
94,0.166025,0.0756034
95,0.162869,0.0802289
96,0.165585,0.0769299
97,0.16069,0.0780515
98,0.155384,0.0772356
99,0.16181,0.0810086
100,0.165497,0.0823168
101,0.160568,0.0817222
102,0.154094,0.0738292
103,0.147212,0.0769016
104,0.144265,0.0862218
105,0.153101,0.0847435
106,0.15112,0.0823036
107,0.152175,0.0813195
108,0.152175,0.0813195
109,0.151126,0.0771114
110,0.165418,0.0784305
111,0.172442,0.0821855
112,0.185622,0.0783268
113,0.180397,0.0784523
114,0.177184,0.077411
115,0.182142,0.0780993
116,0.182439,0.0731387
117,0.189135,0.0749208
118,0.192086,0.0778739
119,0.178337,0.0836951
120,0.176321,0.0899452
121,0.16009,0.0866498
122,0.162495,0.0789307
123,0.167197,0.0858692
124,0.154139,0.0797167
125,0.164247,0.0837208
126,0.158301,0.0910289
127,0.165602,0.0795552
128,0.17365,0.0751975
129,0.160531,0.0727292
130,0.175756,0.081674
131,0.187911,0.0814563
132,0.187911,0.0814563
133,0.20205,0.0822453
134,0.183514,0.079378
135,0.199538,0.0851152
136,0.220199,0.0850286
137,0.200452,0.07717
138,0.189471,0.0784272
139,0.180818,0.08058
140,0.152833,0.0734567
141,0.159971,0.0725265
142,0.155378,0.0695772
143,0.188147,0.0721328
144,0.173178,0.0725177
145,0.155607,0.0738781
146,0.177512,0.0739848
147,0.171835,0.0747089
148,0.148303,0.0731918
149,0.154856,0.0786756
150,0.173385,0.0819481
151,0.178657,0.0817848
152,0.153331,0.0741132
153,0.159585,0.0762601
154,0.165489,0.0766746
155,0.171901,0.0768443
156,0.161134,0.0731081
157,0.161134,0.0731081
158,0.149048,0.0728089
159,0.159348,0.0763265
160,0.161319,0.0835038
161,0.168766,0.079417
162,0.168766,0.079417
163,0.162244,0.0758898
164,0.18525,0.0740395
165,0.168371,0.0766244
166,0.166671,0.0759767
167,0.160281,0.0742851
168,0.175904,0.0789979
169,0.160761,0.071373
170,0.156151,0.0746153
171,0.148635,0.0734912
172,0.155439,0.0814035
173,0.167999,0.0852169
174,0.17653,0.0832418
175,0.182207,0.0779376
176,0.183029,0.0786759
177,0.178498,0.0777101
178,0.168199,0.0793499
179,0.156607,0.0797681
180,0.1591,0.0733954
181,0.159833,0.0786545
182,0.16739,0.0761178
183,0.167389,0.077804
184,0.169446,0.0797353
185,0.169629,0.0787557
186,0.153383,0.0785451
187,0.170214,0.0780787
188,0.150157,0.0785011
189,0.167099,0.074272
190,0.159666,0.0763979
191,0.158567,0.0825009
192,0.151827,0.0811365
