t,cost
10,0.4432
20,0.443733
30,0.501733
40,0.481867
50,0.4712
60,0.4908
70,0.482
80,0.455333
90,0.461867
100,0.4708
110,0.5072
120,0.543067
130,0.564667
140,0.547867
150,0.6136
160,0.601067
170,0.512
180,0.494133
190,0.491733
200,0.465333
210,0.4536
220,0.459333
230,0.468267
240,0.481467
250,0.498933
260,0.5004
270,0.500933
280,0.494133
290,0.498
300,0.481467
310,0.476533
320,0.5084
330,0.486133
340,0.534533
350,0.4936
360,0.511333
370,0.538667
380,0.5108
390,0.554933
400,0.555467
410,0.5088
420,0.509867
430,0.5068
440,0.4844
450,0.478667
460,0.501733
470,0.5776
480,0.6528
490,0.678667
500,0.5572
510,0.511733
520,0.500267
530,0.516133
540,0.532267
550,0.531333
560,0.541333
570,0.4912
580,0.5128
590,0.536533
600,0.550133
610,0.5528
620,0.530933
630,0.5
640,0.5572
650,0.5752
660,0.489333
670,0.53
680,0.5292
690,0.5332
700,0.523467
710,0.5184
720,0.511733
730,0.529867
740,0.547867
750,0.635333
760,0.529333
770,0.524133
780,0.529467
790,0.519467
800,0.565867
810,0.6036
820,0.620267
830,0.711467
840,0.647867
850,0.638933
860,0.642933
870,0.679333
880,0.596667
890,0.528667
900,0.512667
910,0.527867
920,0.510267
930,0.496267
940,0.516533
950,0.5092
960,0.528267
970,0.468267
980,0.534667
990,0.645067
1000,0.679467
1010,0.619467
1020,0.6384
1030,0.632267
1040,0.5976
1050,0.566133
1060,0.5328
1070,0.525333
1080,0.535467
1090,0.5664
1100,0.5432
1110,0.521867
1120,0.486267
1130,0.512533
1140,0.575867
1150,0.553733
1160,0.538267
1170,0.495067
1180,0.511067
1190,0.5356
1200,0.502933
1210,0.572
1220,0.553333
1230,0.5216
1240,0.493333
1250,0.492933
1260,0.490667
1270,0.496933
1280,0.698133
1290,0.570933
1300,0.500267
1310,0.522533
1320,0.522533
1330,0.4832
1340,0.5632
1350,0.574533
1360,0.546133
1370,0.544933
1380,0.5396
1390,0.55
1400,0.5296
1410,0.525333
1420,0.540667
1430,0.5908
1440,0.638267
1450,0.537733
1460,0.539867
1470,0.512267
1480,0.4912
1490,0.4988
1500,0.5092
1510,0.507333
1520,0.549067
1530,0.5424
1540,0.579733
1550,0.571333
1560,0.5664
1570,0.5756
1580,0.601067
1590,0.578933
1600,0.524533
1610,0.564133
1620,0.582267
1630,0.4892
1640,0.496267
1650,0.528533
1660,0.525733
1670,0.508133
1680,0.5484
1690,0.5616
1700,0.544933
1710,0.520133
1720,0.528533
1730,0.5508
1740,0.5408
1750,0.5936
1760,0.537333
1770,0.584533
1780,0.536133
1790,0.510933
1800,0.514267
1810,0.5264
1820,0.539867
1830,0.512667
1840,0.4892
1850,0.488133
1860,0.501467
1870,0.579867
1880,0.490667
1890,0.508133
1900,0.4968
1910,0.469867
1920,0.476533
1930,0.4608
1940,0.4712
1950,0.473867
1960,0.488
1970,0.4948
1980,0.471467
1990,0.475467
2000,0.475067
2010,0.486533
2020,0.5176
2030,0.530933
2040,0.5628
2050,0.570267
2060,0.553467
2070,0.627733
2080,0.6676
2090,0.588267
2100,0.590667
2110,0.562267
2120,0.572667
2130,0.562533
2140,0.558533
2150,0.522267
2160,0.513333
2170,0.5116
2180,0.514933
2190,0.494933
2200,0.542133
2210,0.530667
2220,0.512933
2230,0.530267
2240,0.520667
2250,0.4972
2260,0.498267
2270,0.5816
2280,0.6376
2290,0.598
2300,0.580667
2310,0.532533
2320,0.6384
2330,0.578267
2340,0.519467
2350,0.521333
2360,0.533867
2370,0.5268
2380,0.5656
2390,0.6644
2400,0.618933
2410,0.6788
2420,0.672667
2430,0.540933
2440,0.646933
2450,0.5808
2460,0.614
2470,0.584133
2480,0.602933
2490,0.579067
2500,0.579333
2510,0.526133
2520,0.548667
2530,0.558267
2540,0.559867
2550,0.535733
2560,0.55
2570,0.547333
2580,0.511467
2590,0.546933
2600,0.4992
2610,0.5276
2620,0.5032
2630,0.552933
2640,0.510133
2650,0.5468
2660,0.499867
2670,0.518267
2680,0.543467
2690,0.634133
2700,0.581333
2710,0.596267
2720,0.6216
2730,0.5688
2740,0.5244
2750,0.547867
2760,0.585467
2770,0.527467
2780,0.486667
2790,0.485733
2800,0.488133
2810,0.529067
2820,0.5444
2830,0.5008
2840,0.504667
2850,0.470933
2860,0.4724
2870,0.460133
2880,0.457467
2890,0.467333
2900,0.462133
2910,0.473467
2920,0.475867
2930,0.4816
2940,0.4968
2950,0.490933
2960,0.503333
2970,0.522133
2980,0.5184
2990,0.516533
3000,0.497467
3010,0.522
3020,0.5044
3030,0.4948
3040,0.592667
3050,0.680267
3060,0.5772
3070,0.545333
3080,0.543867
3090,0.567733
3100,0.585333
3110,0.564533
3120,0.572533
3130,0.535067
3140,0.509733
3150,0.521467
3160,0.5196
3170,0.515467
3180,0.5268
3190,0.560667
3200,0.574133
3210,0.559467
3220,0.561467
3230,0.5376
3240,0.5332
3250,0.546533
3260,0.519733
3270,0.533733
3280,0.552533
3290,0.572
3300,0.503733
3310,0.498533
3320,0.532933
3330,0.569867
3340,0.5272
3350,0.505733
3360,0.513333
3370,0.4984
3380,0.513067
3390,0.5184
3400,0.542267
3410,0.5908
3420,0.580933
3430,0.6056
3440,0.559867
3450,0.5476
3460,0.492667
3470,0.489733
3480,0.4984
3490,0.483733
3500,0.5204
3510,0.5012
3520,0.557733
3530,0.587733
3540,0.538933
3550,0.513333
3560,0.542933
3570,0.5012
3580,0.536133
3590,0.535867
3600,0.501067
3610,0.537067
3620,0.5756
3630,0.5736
3640,0.569867
3650,0.5948
3660,0.557733
3670,0.4896
3680,0.530933
3690,0.5476
3700,0.497333
3710,0.503333
3720,0.4992
3730,0.5216
3740,0.499467
3750,0.5468
3760,0.5548
3770,0.5756
3780,0.506133
3790,0.536133
3800,0.516267
3810,0.59
3820,0.564667
3830,0.538533
3840,0.5112
3850,0.5
3860,0.498533
3870,0.508267
3880,0.497867
3890,0.509333
3900,0.520667
3910,0.489867
3920,0.504533
3930,0.522267
3940,0.511867
3950,0.500667
3960,0.4884
3970,0.48
3980,0.537067
3990,0.5028
4000,0.4732
4010,0.4888
