t,walltime
10,3.324
20,3.328
30,3.763
40,3.614
50,3.534
60,3.681
70,3.615
80,3.415
90,3.464
100,3.531
110,3.804
120,4.073
130,4.235
140,4.109
150,4.602
160,4.508
170,3.84
180,3.706
190,3.688
200,3.49
210,3.402
220,3.445
230,3.512
240,3.611
250,3.742
260,3.753
270,3.757
280,3.706
290,3.735
300,3.611
310,3.574
320,3.813
330,3.646
340,4.009
350,3.702
360,3.835
370,4.04
380,3.831
390,4.162
400,4.166
410,3.816
420,3.824
430,3.801
440,3.633
450,3.59
460,3.763
470,4.332
480,4.896
490,5.09
500,4.179
510,3.838
520,3.752
530,3.871
540,3.992
550,3.985
560,4.06
570,3.684
580,3.846
590,4.024
600,4.126
610,4.146
620,3.982
630,3.75
640,4.179
650,4.314
660,3.67
670,3.975
680,3.969
690,3.999
700,3.926
710,3.888
720,3.838
730,3.974
740,4.109
750,4.765
760,3.97
770,3.931
780,3.971
790,3.896
800,4.244
810,4.527
820,4.652
830,5.336
840,4.859
850,4.792
860,4.822
870,5.095
880,4.475
890,3.965
900,3.845
910,3.959
920,3.827
930,3.722
940,3.874
950,3.819
960,3.962
970,3.512
980,4.01
990,4.838
1000,5.096
1010,4.646
1020,4.788
1030,4.742
1040,4.482
1050,4.246
1060,3.996
1070,3.94
1080,4.016
1090,4.248
1100,4.074
1110,3.914
1120,3.647
1130,3.844
1140,4.319
1150,4.153
1160,4.037
1170,3.713
1180,3.833
1190,4.017
1200,3.772
1210,4.29
1220,4.15
1230,3.912
1240,3.7
1250,3.697
1260,3.68
1270,3.727
1280,5.236
1290,4.282
1300,3.752
1310,3.919
1320,3.919
1330,3.624
1340,4.224
1350,4.309
1360,4.096
1370,4.087
1380,4.047
1390,4.125
1400,3.972
1410,3.94
1420,4.055
1430,4.431
1440,4.787
1450,4.033
1460,4.049
1470,3.842
1480,3.684
1490,3.741
1500,3.819
1510,3.805
1520,4.118
1530,4.068
1540,4.348
1550,4.285
1560,4.248
1570,4.317
1580,4.508
1590,4.342
1600,3.934
1610,4.231
1620,4.367
1630,3.669
1640,3.722
1650,3.964
1660,3.943
1670,3.811
1680,4.113
1690,4.212
1700,4.087
1710,3.901
1720,3.964
1730,4.131
1740,4.056
1750,4.452
1760,4.03
1770,4.384
1780,4.021
1790,3.832
1800,3.857
1810,3.948
1820,4.049
1830,3.845
1840,3.669
1850,3.661
1860,3.761
1870,4.349
1880,3.68
1890,3.811
1900,3.726
1910,3.524
1920,3.574
1930,3.456
1940,3.534
1950,3.554
1960,3.66
1970,3.711
1980,3.536
1990,3.566
2000,3.563
2010,3.649
2020,3.882
2030,3.982
2040,4.221
2050,4.277
2060,4.151
2070,4.708
2080,5.007
2090,4.412
2100,4.43
2110,4.217
2120,4.295
2130,4.219
2140,4.189
2150,3.917
2160,3.85
2170,3.837
2180,3.862
2190,3.712
2200,4.066
2210,3.98
2220,3.847
2230,3.977
2240,3.905
2250,3.729
2260,3.737
2270,4.362
2280,4.782
2290,4.485
2300,4.355
2310,3.994
2320,4.788
2330,4.337
2340,3.896
2350,3.91
2360,4.004
2370,3.951
2380,4.242
2390,4.983
2400,4.642
2410,5.091
2420,5.045
2430,4.057
2440,4.852
2450,4.356
2460,4.605
2470,4.381
2480,4.522
2490,4.343
2500,4.345
2510,3.946
2520,4.115
2530,4.187
2540,4.199
2550,4.018
2560,4.125
2570,4.105
2580,3.836
2590,4.102
2600,3.744
2610,3.957
2620,3.774
2630,4.147
2640,3.826
2650,4.101
2660,3.749
2670,3.887
2680,4.076
2690,4.756
2700,4.36
2710,4.472
2720,4.662
2730,4.266
2740,3.933
2750,4.109
2760,4.391
2770,3.956
2780,3.65
2790,3.643
2800,3.661
2810,3.968
2820,4.083
2830,3.756
2840,3.785
2850,3.532
2860,3.543
2870,3.451
2880,3.431
2890,3.505
2900,3.466
2910,3.551
2920,3.569
2930,3.612
2940,3.726
2950,3.682
2960,3.775
2970,3.916
2980,3.888
2990,3.874
3000,3.731
3010,3.915
3020,3.783
3030,3.711
3040,4.445
3050,5.102
3060,4.329
3070,4.09
3080,4.079
3090,4.258
3100,4.39
3110,4.234
3120,4.294
3130,4.013
3140,3.823
3150,3.911
3160,3.897
3170,3.866
3180,3.951
3190,4.205
3200,4.306
3210,4.196
3220,4.211
3230,4.032
3240,3.999
3250,4.099
3260,3.898
3270,4.003
3280,4.144
3290,4.29
3300,3.778
3310,3.739
3320,3.997
3330,4.274
3340,3.954
3350,3.793
3360,3.85
3370,3.738
3380,3.848
3390,3.888
3400,4.067
3410,4.431
3420,4.357
3430,4.542
3440,4.199
3450,4.107
3460,3.695
3470,3.673
3480,3.738
3490,3.628
3500,3.903
3510,3.759
3520,4.183
3530,4.408
3540,4.042
3550,3.85
3560,4.072
3570,3.759
3580,4.021
3590,4.019
3600,3.758
3610,4.028
3620,4.317
3630,4.302
3640,4.274
3650,4.461
3660,4.183
3670,3.672
3680,3.982
3690,4.107
3700,3.73
3710,3.775
3720,3.744
3730,3.912
3740,3.746
3750,4.101
3760,4.161
3770,4.317
3780,3.796
3790,4.021
3800,3.872
3810,4.425
3820,4.235
3830,4.039
3840,3.834
3850,3.75
3860,3.739
3870,3.812
3880,3.734
3890,3.82
3900,3.905
3910,3.674
3920,3.784
3930,3.917
3940,3.839
3950,3.755
3960,3.663
3970,3.6
3980,4.028
3990,3.771
4000,3.549
4010,3.666
