MDTU,plaq,Re(det),Im(det),link
1,1.61395,0.68864,0.201645,0.102782
2,1.60279,0.617758,0.226289,0.118725
3,1.61001,0.618929,0.234118,0.135312
4,1.6154,0.591418,0.233389,0.126934
5,1.62494,0.585758,0.229481,0.138135
6,1.62494,0.585758,0.229481,0.138135
7,1.62975,0.571744,0.237758,0.137858
8,1.62701,0.585769,0.244197,0.148082
9,1.63605,0.579856,0.240953,0.1609
10,1.64756,0.561344,0.236658,0.150117
11,1.61575,0.535319,0.237066,0.140543
12,1.61221,0.55252,0.231188,0.142846
13,1.59782,0.548368,0.241385,0.150855
14,1.63554,0.564647,0.243119,0.139664
15,1.62121,0.558903,0.231541,0.146203
16,1.64406,0.551256,0.240492,0.146899
17,1.69122,0.564924,0.260952,0.147043
18,1.68791,0.551792,0.242127,0.146653
19,1.6772,0.546556,0.230371,0.144684
20,1.68182,0.557849,0.239515,0.143153
21,1.67672,0.561958,0.245502,0.154816
22,1.67124,0.552968,0.243718,0.152749
23,1.67394,0.547041,0.245395,0.139086
24,1.65403,0.54731,0.253011,0.144167
25,1.63391,0.542424,0.229142,0.136805
26,1.61947,0.547671,0.24264,0.148809
27,1.65248,0.553561,0.243799,0.150051
28,1.67482,0.524477,0.222453,0.134018
29,1.652,0.540715,0.244796,0.142217
30,1.63606,0.549468,0.247167,0.149187
31,1.6204,0.540785,0.219431,0.152566
32,1.63517,0.544682,0.230401,0.155104
33,1.64464,0.571082,0.262406,0.169315
34,1.64464,0.571082,0.262406,0.169315
35,1.66289,0.540394,0.222461,0.173617
36,1.64712,0.540186,0.234505,0.153819
37,1.6791,0.539004,0.237869,0.146185
38,1.65518,0.543969,0.243623,0.147836
39,1.64256,0.542199,0.229396,0.15439
40,1.62077,0.526092,0.233223,0.14743
41,1.62986,0.545591,0.228291,0.143027
42,1.61563,0.535826,0.225655,0.13891
43,1.6485,0.549446,0.223873,0.140734
44,1.63945,0.538266,0.231907,0.145392
45,1.61293,0.518417,0.216269,0.143876
46,1.59112,0.515101,0.221072,0.140738
47,1.59308,0.528715,0.216705,0.144823
48,1.5828,0.516358,0.218943,0.148771
49,1.59702,0.536481,0.227403,0.167693
50,1.58784,0.515026,0.216805,0.159869
