t,e^(-dS)
1,205.82
2,0.615697
3,1.38292
4,1.1402
5,0.639992
6,0.8462
7,0.768281
8,1.12131
9,0.777711
10,0.736313
11,0.909546
12,1.03683
13,0.952124
14,1.21058
15,0.906595
16,0.856672
17,1.07345
18,0.865109
19,0.854961
20,1.03235
21,1.11216
22,0.887719
23,0.972077
24,1.21507
25,1.06407
26,0.722238
27,1.2884
28,1.09872
29,1.04781
30,0.98337
31,0.835187
32,0.972097
33,1.12008
34,0.819304
35,0.756994
36,0.837361
37,1.11327
38,1.29473
39,1.0052
40,1.00072
41,1.16591
42,1.22802
43,0.798596
44,0.882232
45,0.951581
46,1.12682
47,1.0643
48,0.71634
49,1.09815
50,0.800435
51,0.923015
52,0.96964
53,0.895476
54,1.11082
55,1.01125
56,0.729424
57,1.06047
58,0.955701
59,1.2743
60,0.984816
61,0.991677
62,1.7203
63,0.944556
64,1.50576
65,0.968536
66,0.962954
67,0.752541
68,0.991833
69,1.45703
70,0.852059
71,0.930159
72,1.2084
73,0.694683
74,0.837528
75,1.0652
76,1.09438
77,1.31285
78,1.15512
79,0.702999
80,1.06514
81,0.82267
82,0.867274
83,0.923486
84,1.0912
85,0.60738
86,1.15004
87,1.26112
88,1.12356
89,1.00428
90,0.87136
91,1.05676
92,1.23208
93,0.776235
94,1.10738
95,1.16207
96,0.859074
97,0.669449
98,1.54342
99,0.844678
100,0.938296
101,0.784978
102,0.982741
103,0.99028
104,1.10938
105,0.855217
106,1.43778
107,0.923264
108,0.897897
109,1.31587
110,0.941143
111,1.06861
112,0.951134
113,0.796682
114,1.16871
115,0.772286
116,0.996993
117,0.885945
118,0.99586
119,1.07004
120,0.969941
121,1.33029
122,1.11818
123,1.05172
124,0.841222
125,1.02759
126,0.798836
127,1.33442
128,0.612565
129,1.20478
130,1.12727
131,1.02586
132,0.710135
133,0.841811
134,1.05502
135,1.00436
136,0.940005
137,1.20346
138,0.878095
139,0.977517
140,0.803482
141,1.50606
142,0.88391
143,1.2037
144,0.901766
145,1.25999
146,0.961183
147,0.865455
148,0.92527
149,1.32472
150,1.09608
151,0.883822
152,0.748788
153,1.38044
154,1.16265
