MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.811366,0.849429
2,0.702398,0.744391
3,0.688107,0.761132
4,0.74044,0.700391
5,0.696884,0.762377
6,0.696884,0.762377
7,0.665581,0.719015
8,0.513913,0.695224
9,0.579635,0.716883
10,0.537543,0.748455
11,0.634812,0.643614
12,0.657658,0.635717
13,0.642795,0.72271
14,0.654809,0.73423
15,0.633999,0.755609
16,0.58863,0.752707
17,0.510074,0.778677
18,0.577331,0.759144
19,0.67408,0.740594
20,0.563976,0.7514
21,0.658124,0.725285
22,0.672192,0.716367
23,0.66512,0.663421
24,0.704239,0.74722
25,0.681942,0.707132
26,0.681186,0.705207
27,0.635101,0.70389
28,0.693098,0.668363
29,0.685615,0.66495
30,0.623555,0.59102
31,0.627217,0.546603
32,0.63787,0.659925
33,0.675839,0.645312
34,0.675839,0.645312
35,0.716773,0.675097
36,0.667766,0.685289
37,0.677906,0.663254
38,0.62556,0.641727
39,0.63851,0.599479
40,0.57994,0.684495
41,0.588175,0.634759
42,0.598121,0.661962
43,0.591914,0.599025
44,0.591481,0.465225
45,0.543474,0.301889
46,0.489791,0.333093
47,0.626743,0.201953
48,0.650559,0.195184
49,0.65633,0.228535
50,0.601656,0.236159
51,0.574386,0.244005
52,0.499981,0.244906
53,0.441292,0.209896
54,0.436287,0.201018
55,0.409543,0.212587
56,0.398682,0.237313
57,0.329526,0.245577
58,0.447783,0.151824
59,0.487042,0.143171
60,0.487042,0.143171
61,0.432728,0.191
62,0.358571,0.0938702
63,0.309058,0.0326737
64,0.270268,0.110785
65,0.228439,0.131804
66,0.165587,0.0495303
67,0.165587,0.0495303
68,0.147135,0.129354
69,0.186944,0.138526
70,0.154244,0.111958
71,0.300782,0.148737
72,0.283621,0.1596
73,0.292117,0.209471
74,0.312569,0.197008
75,0.220475,0.11421
76,0.156921,0.0194673
77,0.199795,0.0315278
78,0.23106,0.203325
79,0.23106,0.203325
80,0.157156,0.225609
81,0.220169,0.244732
82,0.206611,0.272115
83,0.21606,0.321809
84,0.221088,0.304709
85,0.212578,0.204074
86,0.266898,0.339053
87,0.366372,0.414341
88,0.384571,0.473532
89,0.302203,0.557534
90,0.335413,0.543906
91,0.255156,0.584941
92,0.372279,0.596837
93,0.367256,0.577052
94,0.443462,0.591399
95,0.387042,0.553511
96,0.378655,0.585274
97,0.397562,0.68987
98,0.331514,0.606339
99,0.304388,0.582476
100,0.289544,0.537365
101,0.231642,0.590854
102,0.425118,0.612187
103,0.43801,0.593604
104,0.449872,0.558282
105,0.548299,0.560045
106,0.493576,0.504537
107,0.464185,0.505396
108,0.464185,0.505396
109,0.502213,0.619526
110,0.526361,0.676247
111,0.463853,0.679499
112,0.541223,0.691705
113,0.642949,0.625109
114,0.672808,0.606658
115,0.577836,0.709154
116,0.57326,0.728519
117,0.558477,0.74652
118,0.542496,0.727455
119,0.486868,0.660731
120,0.486011,0.662986
121,0.443757,0.728228
122,0.434494,0.720128
123,0.397771,0.729476
124,0.461178,0.727021
125,0.490388,0.73292
126,0.459444,0.702612
127,0.517554,0.748345
128,0.507128,0.741764
129,0.492849,0.624403
130,0.472246,0.59274
131,0.495598,0.564461
132,0.495598,0.564461
133,0.41075,0.622637
134,0.455163,0.583014
135,0.421221,0.598058
136,0.514152,0.666242
137,0.448728,0.702424
138,0.445892,0.63765
139,0.4045,0.577101
140,0.410302,0.670703
141,0.45055,0.667866
142,0.567674,0.624718
143,0.544494,0.617038
144,0.479226,0.692028
145,0.321671,0.695197
146,0.279252,0.577707
147,0.252247,0.656154
148,0.301483,0.653599
149,0.327503,0.68568
150,0.227726,0.733597
151,0.177746,0.723212
152,0.289477,0.731178
153,0.298519,0.71673
154,0.3168,0.68473
155,0.411049,0.68184
156,0.417325,0.691236
157,0.417325,0.691236
158,0.392575,0.672426
159,0.528831,0.610681
160,0.44489,0.533964
161,0.559265,0.546043
162,0.559265,0.546043
163,0.523058,0.50778
164,0.502096,0.522314
165,0.513548,0.42268
166,0.461754,0.431719
167,0.500868,0.393938
