ReTr(L),ImTr(L)
0.833717,-0.0542717
0.762027,-0.193719
0.726413,-0.103414
0.683407,-0.123229
0.684577,-0.220405
0.684577,-0.220405
0.650233,-0.0881743
0.63816,-0.0224856
0.66485,-0.126227
0.655503,-0.18892
0.727063,-0.13102
0.736687,-0.153966
0.701857,0.051555
0.688197,-0.184572
0.734557,-0.239703
0.735367,-0.0829333
0.717423,-0.147492
0.739477,-0.101313
0.61386,-0.179746
0.649037,-0.238788
0.570747,-0.303398
0.448143,-0.262798
0.335183,-0.35579
0.34362,-0.242283
0.273146,-0.139569
0.175026,-0.192827
0.170783,-0.255576
0.0835923,-0.256662
0.12049,-0.133706
0.255128,-0.167844
0.315623,-0.209777
0.309113,-0.047529
0.30293,-0.0559583
0.30293,-0.0559583
0.252741,-0.0513003
0.183132,-0.0555087
0.0335463,0.159393
0.046835,0.236352
0.0253741,0.158621
0.0418327,0.202175
0.078065,0.157769
0.09251,0.0496417
0.0824487,-0.089574
0.160669,-0.138022
0.332446,-0.205267
0.334347,-0.129814
0.385493,-0.112998
0.3814,-0.128425
0.355593,-0.171366
0.337903,-0.271221
0.34154,-0.292779
0.212131,-0.257936
0.203419,-0.309259
0.293453,-0.405823
0.23843,-0.34451
0.277265,-0.296044
0.192211,-0.310243
0.203625,-0.372407
0.230839,-0.318478
0.230839,-0.318478
0.180013,-0.23388
0.23056,-0.0373027
0.216805,0.0077565
0.204469,0.0546623
0.271979,0.0442123
0.24439,-0.0376583
0.24439,-0.0376583
0.233782,-0.046354
0.264437,0.0665263
0.387293,0.262761
0.279299,0.174878
0.312799,0.180637
0.322708,0.195405
0.483013,0.233506
0.396947,0.0721903
0.24844,-0.0272797
0.072165,-0.130557
0.105096,-0.0997937
0.105096,-0.0997937
0.127529,-0.138258
0.207897,-0.1265
0.208778,-0.0761047
0.304965,0.00630293
0.244129,-0.00757753
0.323345,0.0183461
0.362733,0.071994
0.396317,0.070716
0.444707,0.130033
0.46118,0.168632
0.401887,0.122988
0.469337,0.17703
0.489733,0.098138
