MDTU,abs_delta_S
1,2.466
2,3.187
3,3.471
4,4.77
5,3.851
6,2.332
7,3.57
8,4.488
9,4.618
10,3.719
11,0.07155
12,0.7296
13,0.01914
14,0.4141
15,0.08536
16,1.035
17,0.5807
18,1.589
19,0.9525
20,1.634
21,0.3448
22,0.715
23,0.3033
24,0.01581
25,0.0419
26,1.201
27,0.4031
28,0.1519
29,1.293
30,0.9606
31,1.599
32,0.5975
33,0.6491
34,1.054
35,0.05743
36,0.1602
37,1.324
38,0.9104
39,1.542
40,1.313
41,2.979
42,0.6102
43,0.4241
44,0.186
45,1.026
46,0.2585
47,0.02612
48,0.48
49,0.2665
50,0.08101
51,1.029
52,0.7962
53,0.9734
54,0.3529
55,0.4991
56,1.35
57,0.6807
58,0.6253
59,0.5583
60,1.043
61,0.3136
62,0.8979
63,0.167
64,0.09178
65,0.2219
66,0.8623
67,0.6014
68,0.4755
69,1.295
70,2.773
71,2.062
72,1.041
73,1.308
74,0.6659
75,0.5004
76,1.166
77,0.416
78,0.8919
79,0.2322
80,1.543
81,0.7775
82,0.3543
83,0.7665
84,1.265
85,1.303
86,0.3574
87,0.2953
88,0.8949
89,1.006
90,1.461
91,0.8143
92,0.4466
93,0.3601
94,1.422
95,0.2632
96,0.2288
97,0.3467
98,0.9165
99,1.751
100,0.3874
101,1.674
102,1.287
103,1.344
104,0.3734
105,0.3857
106,1.168
107,0.8394
108,0.4301
109,0.2855
110,1.868
111,0.2166
112,0.03226
113,0.02657
114,0.284
115,1.518
116,0.148
117,0.04126
118,1.194
119,1.878
120,1.214
121,0.5136
122,0.5207
123,1.885
124,0.2102
125,0.3292
126,0.0009508
127,0.4405
128,0.4366
129,0.9401
130,1.152
131,0.8191
132,0.1909
133,1.262
134,1.877
135,2.528
136,1.484
137,1.197
138,1.171
139,0.792
140,1.293
141,0.03574
142,1.033
143,0.1285
144,0.00848
145,0.7238
146,0.4582
147,0.07693
148,0.7935
149,0.1271
150,1.382
151,0.206
152,1.93
153,1.919
154,1.168
155,1.353
156,1.037
157,1.116
158,1.796
159,1.504
160,0.189
161,0.05283
162,0.02901
163,1.259
164,1.142
165,1.339
166,0.5214
167,0.5647
168,0.997
169,0.3319
170,0.6495
171,1.979
172,0.4405
173,0.8213
174,0.1464
175,0.7071
176,0.06056
177,1.659
178,0.3425
179,1.133
180,1.332
181,0.2496
182,0.7817
183,1.869
184,0.2514
185,2.321
186,1.292
187,0.8083
188,0.1258
189,0.3661
190,0.8822
191,0.1114
192,1.732
193,0.2295
194,0.2082
195,0.258
196,0.5626
197,0.7762
198,0.2617
199,1.238
200,0.6937
201,0.9968
202,0.9246
203,0.8129
204,0.1441
205,2.392
206,0.2566
207,1.235
208,0.7168
209,1.638
210,0.3178
211,0.6752
212,0.8234
213,1.402
214,1.58
215,1.948
216,2.462
217,1.649
218,1.842
219,2.654
220,2.254
221,0.3651
222,1.078
223,0.169
224,0.3443
225,0.2985
226,0.1089
227,0.0408
228,0.359
229,0.7445
230,1.134
231,2.302
