MDTU,|det-1|^2,1-Re(det),Im(det)
1,1.03661,-0.00286,0.000314696
2,1.03661,-0.00286,0.000314696
3,1.03661,-0.00286,0.000314696
4,1.03661,-0.00286,0.000314696
5,1.03661,-0.00286,0.000314696
6,1.03661,-0.00286,0.000314696
7,1.03661,-0.00286,0.000314696
8,1.03661,-0.00286,0.000314696
9,1.03661,-0.00286,0.000314696
10,1.20023,0.015942,0.00230963
11,1.22792,0.007498,-0.00155368
12,1.21769,0.005523,9.76682e-05
13,1.21872,0.002873,0.00228004
14,1.21029,0.005672,0.00270928
15,1.22323,0.006676,0.00581688
16,1.24499,-0.00056,-0.00195107
17,1.23079,0.009632,0.00234361
18,1.21453,0.00058,-2.59097e-05
19,1.21453,0.00058,-2.59097e-05
20,1.14514,0.005985,-0.000841592
21,1.14182,0.004198,-0.00538459
22,1.14182,0.004198,-0.00538459
23,1.15625,0.001074,0.00455445
24,1.15248,0.002366,0.00100354
25,1.14975,0.001035,-0.00383452
26,1.07213,0.005115,0.00199025
27,1.08711,0.000666,0.00283255
28,1.08193,0.002106,-0.000440578
29,1.08193,0.002106,-0.000440578
30,1.08193,0.002106,-0.000440578
31,0.992804,0.005796,-0.00298051
32,1.01176,0.000634,-0.00250961
33,1.03024,0.005419,-0.00259761
34,1.03577,0.000981,0.000698723
35,1.03577,0.000981,0.000698723
36,1.02977,0.000988,-0.00217136
37,1.02977,0.000988,-0.00217136
38,1.11962,-0.00331,0.00210487
39,1.11962,-0.00331,0.00210487
40,1.11962,-0.00331,0.00210487
41,1.11962,-0.00331,0.00210487
42,1.0325,0.005568,-0.00382811
43,1.06667,0.000903,-0.000572224
44,1.08346,0.003297,0.00407611
45,1.08346,0.003297,0.00407611
46,1.0509,0.004584,-0.00304061
47,1.12166,0.002798,-0.00129682
48,1.09272,0.004794,-0.000978535
49,0.975578,0.002817,-0.000529812
50,0.956472,0.003921,0.00388716
51,1.01435,-0.0039,0.00127497
52,1.01435,-0.0039,0.00127497
53,1.03316,0.004349,-0.000102663
54,1.0369,0.003425,0.000696132
55,1.01737,0.002805,0.00121917
56,1.06,-0.00329,-0.00144316
57,1.06,-0.00329,-0.00144316
58,1.09782,0.001337,0.000793613
59,1.09782,0.001337,0.000793613
60,1.09782,0.001337,0.000793613
61,1.00864,-0.00197,-0.00280096
62,1.01132,0.001345,-0.00331826
63,0.992785,0.00211,0.00602794
64,1.01889,0.001746,0.000193608
65,0.962265,0.000406,0.000970279
66,0.98928,-0.00556,-0.00222075
67,0.98928,-0.00556,-0.00222075
68,0.98928,-0.00556,-0.00222075
69,0.98928,-0.00556,-0.00222075
70,0.98928,-0.00556,-0.00222075
71,0.98928,-0.00556,-0.00222075
72,0.971256,0.004011,-0.00212113
73,1.00002,-0.00168,0.00116659
