t,e^(-dS)
1,0.0849239
2,0.0412956
3,0.0310859
4,0.00848038
5,0.0212585
6,0.0971014
7,0.0281559
8,0.0112431
9,0.00987252
10,0.0242582
11,0.93095
12,0.482102
13,0.981042
14,0.660935
15,0.918182
16,2.81511
17,0.559507
18,4.89885
19,0.385775
20,0.195147
21,1.41171
22,0.489192
23,0.738378
24,1.01594
25,1.04279
26,0.300893
27,1.49646
28,0.859074
29,0.274446
30,0.382663
31,0.202099
32,1.81757
33,0.522516
34,2.8691
35,0.944188
36,1.17375
37,0.266069
38,2.48532
39,0.213953
40,0.269012
41,0.0508437
42,0.543242
43,1.52821
44,0.830274
45,0.358438
46,1.29499
47,0.974218
48,0.618783
49,0.766056
50,1.08438
51,2.79827
52,0.45104
53,0.377796
54,0.702647
55,1.64724
56,3.85743
57,0.506262
58,0.535101
59,0.572181
60,0.352396
61,1.36834
62,0.407424
63,1.18175
64,0.912306
65,0.800995
66,2.3686
67,0.548044
68,0.621574
69,0.273898
70,0.0624743
71,0.127199
72,0.353101
73,3.69877
74,0.513811
75,0.606288
76,3.20913
77,0.65968
78,2.43976
79,0.792788
80,4.67861
81,0.459553
82,0.701664
83,0.464636
84,0.282239
85,0.271715
86,0.699493
87,0.744308
88,0.408648
89,0.365679
90,0.232004
91,0.442949
92,1.56299
93,1.43347
94,0.241231
95,1.30109
96,1.25709
97,1.41439
98,0.399916
99,0.1736
100,0.67882
101,0.187496
102,3.6219
103,0.2608
104,0.68839
105,0.679974
106,3.21556
107,0.43197
108,0.650444
109,0.751638
110,0.154432
111,1.24185
112,1.03279
113,0.97378
114,1.32843
115,0.21915
116,0.862431
117,1.04212
118,3.30026
119,0.152896
120,0.297007
121,1.6713
122,1.68321
123,0.151829
124,1.23392
125,0.719499
126,0.99905
127,0.643714
128,0.64623
129,2.56024
130,3.16452
131,0.440828
132,0.826215
133,0.283087
134,6.53387
135,0.0798185
136,0.226729
137,0.302099
138,0.310057
139,0.452938
140,3.6437
141,0.964891
142,0.355938
143,1.13712
144,1.00852
145,0.484906
146,0.632421
147,1.07997
148,0.452259
149,0.880646
150,3.98286
151,0.813833
152,0.145148
153,0.146754
154,0.310988
155,3.86902
156,0.354517
157,0.327588
158,6.0255
159,0.222239
160,1.20804
161,1.05425
162,1.02943
163,0.283938
164,0.31918
165,0.262108
166,1.68438
167,1.75892
168,0.368985
169,0.717559
170,1.91458
171,0.138207
172,0.643714
173,0.439859
174,0.863812
175,0.493072
176,0.941237
177,0.190329
178,1.40846
179,0.322066
180,0.263949
181,0.779112
182,0.457627
183,6.48181
184,0.777711
185,0.0981754
186,0.274721
187,0.445615
188,1.13406
189,0.693433
190,0.413871
191,0.894581
192,0.17693
193,1.25797
194,0.812045
195,1.29434
196,0.569726
197,0.460151
198,1.29914
199,0.289964
200,0.499724
201,0.369059
202,0.39669
203,0.44357
204,1.155
205,10.9353
206,1.29253
207,0.290835
208,0.488312
209,0.194368
210,0.727748
211,0.509055
212,2.27823
213,4.06332
214,0.205975
215,0.142559
216,0.0852643
217,0.192242
218,0.1585
219,0.0703692
220,0.104978
221,0.694127
222,0.340275
223,1.18412
224,1.411
225,0.74193
226,1.11505
227,0.960021
228,0.698374
229,2.10539
230,0.321744
231,0.100059
232,0.133721
233,0.891366
234,1.43591
235,0.0473589
236,0.312547
237,0.26767
238,0.282239
239,0.17517
240,0.258464
241,0.0643126
242,1.59106
243,0.374112
244,2.73191
245,0.461488
246,0.775304
247,4.01485
248,0.0560226
249,0.473218
250,0.755859
251,0.694613
252,1.23974
253,2.42056
254,1.49108
255,1.4972
256,0.531687
257,0.776546
258,12.3666
259,0.0403566
260,0.0316822
261,0.0407215
262,0.0761538
263,0.0804596
264,0.0573834
265,0.1585
266,0.242926
267,1.94041
268,0.199688
269,0.115672
270,0.261584
271,0.122824
272,0.975437
273,1.99771
274,1.25973
275,0.729789
276,1.26731
277,1.1761
278,5.36019
279,0.304221
280,0.412673
281,1.10109
282,0.276927
283,0.215887
284,0.073461
285,0.215671
286,0.391801
287,0.893955
288,0.111582
289,0.402403
290,1.92861
291,0.643908
292,0.228093
293,1.04953
294,0.410204
295,0.458589
296,0.334205
297,3.04957
298,0.813996
299,1.24745
300,0.253853
301,2.47713
302,0.3138
303,2.71529
304,0.271987
305,0.0877731
306,0.248578
307,0.593392
308,0.585259
309,0.542265
310,0.873629
311,3.3168
312,0.249824
313,0.621947
314,0.106778
315,0.241714
316,0.23907
317,0.0987662
318,0.548318
319,0.462874
320,0.414037
321,0.209297
322,0.481572
323,0.90586
324,0.257947
325,0.654358
326,0.745873
327,0.251579
328,1.04209
329,1.12648
330,0.85916
331,1.2236
332,3.81904
333,0.140718
334,0.16431
335,0.280551
336,0.232934
337,0.119672
338,0.108718
339,0.326933
340,0.11475
341,0.0642483
342,18.9348
343,0.874503
344,0.0537184
345,0.242683
346,1.66812
347,0.223801
348,0.203926
349,0.274721
350,0.264213
351,0.952153
352,1.21799
353,0.414037
354,1.56972
355,2.27095
356,0.554993
357,0.475875
358,0.899335
359,2.75385
360,0.447893
361,0.148229
362,1.46844
363,3.44182
364,0.280271
365,1.87893
366,0.220028
367,0.341639
368,0.331542
369,0.428656
370,0.243655
371,0.839709
372,0.170333
373,0.424518
374,3.8038
375,0.0565291
376,0.0571543
377,0.0473116
378,0.0247483
379,0.0789453
380,0.178887
381,0.0515605
382,0.0466538
383,0.258464
384,0.210346
385,0.890119
386,1.12569
387,0.582865
388,0.945274
389,0.100159
390,0.133587
391,0.272259
392,1.17375
393,3.18038
394,0.457536
395,0.431495
396,1.04331
397,0.667644
398,1.32512
399,2.03297
400,1.21167
401,0.609632
402,0.6432
403,1.48542
404,0.254107
405,0.0784731
406,0.623317
407,0.805574
408,2.83772
409,0.122702
410,0.277759
411,0.163818
412,0.382931
413,1.75962
414,0.32726
415,0.524453
416,0.410738
417,0.231309
418,0.427971
419,0.704618
420,1.29888
421,0.534245
422,0.166127
423,0.244143
424,1.45426
425,0.161379
426,0.0810248
427,0.123935
428,0.283938
429,0.172217
430,0.608171
431,0.0869867
432,0.315058
433,0.131204
434,0.40337
435,0.504342
436,0.900415
437,1.37438
438,0.457353
439,0.268206
440,0.310988
441,2.18956
442,0.613791
443,0.451265
444,0.267135
445,0.746619
446,0.114063
447,1.04818
448,1.13292
449,0.240268
450,3.41439
451,0.0882131
452,0.228322
453,0.238354
454,0.354517
455,5.81244
456,0.564283
457,0.299692
458,1.25408
459,5.30155
460,0.986601
461,0.333537
462,0.499774
463,1.14396
464,1.74875
465,0.276651
466,1.81721
467,0.367144
468,0.225147
469,0.995364
470,0.49189
471,2.54467
472,0.935018
473,0.238592
474,0.451536
475,0.381326
476,0.406041
477,1.90028
478,0.145876
479,0.402283
480,0.505504
481,0.109154
482,0.314428
483,2.07031
484,0.912507
485,0.484518
486,0.27036
487,0.459324
488,0.387981
489,2.77319
490,0.457719
491,2.22376
492,0.223577
493,0.684409
494,0.323356
495,2.10644
496,0.628072
497,2.23625
498,0.582807
499,0.641979
500,0.292
501,0.446775
502,1.86843
503,4.03497
504,0.0375155
505,0.0894568
506,0.0287246
507,0.0736081
508,0.29464
509,0.198295
510,0.339935
511,2.64428
512,0.668713
513,1.20599
514,0.716125
515,2.52237
516,0.339935
517,0.11014
518,0.547825
519,0.0882131
520,0.107636
521,0.0806207
522,0.229466
523,1.01367
524,0.0845849
525,0.0840789
526,0.538213
527,0.829444
528,3.02225
529,0.0874227
530,0.382166
531,0.493862
532,1.6827
533,0.183599
534,0.111917
535,0.575107
536,0.650119
537,1.69978
538,0.289674
539,0.424094
540,1.81176
541,0.441005
542,0.694613
543,1.64296
544,2.63136
545,0.404138
546,0.227865
547,0.180685
548,0.186188
549,0.817994
550,0.500874
551,0.957557
552,1.58059
553,1.5212
554,0.375912
555,1.00521
556,0.360595
557,0.601698
558,1.53572
559,0.413996
560,2.29676
561,0.564396
562,0.383276
563,0.167797
564,3.25112
565,0.867274
566,0.66458
567,0.236218
568,0.199888
569,0.254107
570,0.642171
571,0.119194
572,0.41412
573,0.423924
574,1.50802
575,0.14646
576,0.447804
577,0.205769
578,0.382855
579,0.0586012
580,0.138069
581,0.421431
582,0.557273
583,0.233634
584,0.235746
585,0.11259
586,0.131862
587,0.469635
588,0.373626
589,0.443348
590,1.50742
591,1.85856
592,0.198097
593,0.413747
594,0.204948
595,0.300893
596,1.33003
597,0.55002
598,0.539831
599,0.424433
600,0.367879
601,0.619155
602,0.163818
603,0.419119
604,0.0891888
605,0.17517
606,0.667778
607,0.045411
608,0.449419
609,0.511044
610,0.154124
611,11.8343
612,0.203722
613,0.101368
614,1.91746
615,6.91712
616,0.241231
617,1.16824
618,0.442241
619,0.6423
620,0.727967
621,2.1935
622,0.328243
623,0.41682
624,1.06955
625,0.335209
626,1.65682
627,0.149569
628,1.07539
629,0.640568
630,0.1352
631,0.857101
632,0.920222
633,0.293464
634,0.043893
635,0.141564
636,2.41283
637,0.110914
638,0.161864
639,0.397127
