T,G,F
1,0.01094,0.02259
2,0.01095,0.02263
3,0.01095,0.02264
4,0.01095,0.02261
5,0.01095,0.02257
6,0.01094,0.0226
7,0.01095,0.02258
8,0.01094,0.02259
9,0.01094,0.02256
10,0.01095,0.02255
11,0.01066,0.02251
12,0.0106,0.02255
13,0.01058,0.02258
14,0.01056,0.02253
15,0.01056,0.02255
16,0.01057,0.02256
17,0.01056,0.02254
18,0.01056,0.02256
19,0.01057,0.02258
20,0.01058,0.02258
21,0.01058,0.02254
22,0.01058,0.02249
23,0.01056,0.02255
24,0.01057,0.02255
25,0.01058,0.02257
26,0.01058,0.02251
27,0.01057,0.02253
28,0.01057,0.02256
29,0.01058,0.02253
30,0.01057,0.02254
31,0.01058,0.02251
32,0.01057,0.02247
33,0.01058,0.02249
34,0.01056,0.02248
35,0.01057,0.02256
36,0.01056,0.0225
37,0.01057,0.02252
38,0.01055,0.0225
39,0.01057,0.02248
40,0.01056,0.0225
41,0.01054,0.02253
42,0.01057,0.02249
43,0.01058,0.02246
44,0.01056,0.02252
45,0.01058,0.02257
46,0.01058,0.02257
47,0.01057,0.02248
48,0.01058,0.02249
49,0.01057,0.02249
50,0.01057,0.0225
51,0.01057,0.02246
52,0.01058,0.02254
53,0.01057,0.02252
54,0.01057,0.02248
55,0.01057,0.02249
56,0.01058,0.02252
57,0.01058,0.02247
58,0.01057,0.0225
59,0.01058,0.02253
60,0.01058,0.02249
61,0.01057,0.02252
62,0.01056,0.0225
63,0.01057,0.02249
64,0.01056,0.02251
65,0.01056,0.02251
66,0.01059,0.02253
67,0.01058,0.02248
68,0.01059,0.02253
69,0.01058,0.02253
70,0.01058,0.02256
71,0.01059,0.02253
72,0.01058,0.02253
73,0.01057,0.02253
74,0.01059,0.02252
75,0.01059,0.02248
76,0.01057,0.02247
77,0.01058,0.02249
78,0.01058,0.02248
79,0.01058,0.02252
80,0.01056,0.02247
81,0.01057,0.02251
82,0.01056,0.02251
83,0.01057,0.02251
84,0.01057,0.0225
85,0.01057,0.02246
86,0.01058,0.02248
87,0.01058,0.02246
88,0.01057,0.02252
89,0.01057,0.02244
90,0.01057,0.02247
91,0.01058,0.02251
92,0.01057,0.02252
93,0.01057,0.02249
94,0.01058,0.02245
95,0.01058,0.02249
96,0.01058,0.02246
97,0.01059,0.02247
98,0.01059,0.02248
99,0.01059,0.02247
100,0.01059,0.02249
101,0.01058,0.02251
102,0.01059,0.02248
103,0.01057,0.02254
104,0.01058,0.02246
105,0.01057,0.02246
106,0.0106,0.02247
107,0.0106,0.02246
108,0.0106,0.02247
109,0.01059,0.02251
110,0.0106,0.02247
111,0.0106,0.02253
112,0.01057,0.02247
113,0.01057,0.02256
114,0.01057,0.02247
115,0.01059,0.02253
116,0.01058,0.02257
117,0.01058,0.02256
118,0.01056,0.02246
119,0.01056,0.02257
120,0.01059,0.02249
121,0.01058,0.02248
122,0.01057,0.02252
123,0.01056,0.02256
124,0.01056,0.02252
125,0.01058,0.02256
126,0.01058,0.02249
127,0.01058,0.02256
128,0.01059,0.02248
129,0.01057,0.02247
130,0.01058,0.02247
131,0.01058,0.0225
132,0.01059,0.02252
133,0.01057,0.02249
134,0.01058,0.02245
135,0.01059,0.02252
136,0.01059,0.02248
137,0.01058,0.02248
138,0.01059,0.02248
139,0.01058,0.02247
140,0.01059,0.02248
141,0.01059,0.0224
142,0.01058,0.02241
143,0.0106,0.02239
144,0.01059,0.02245
145,0.0106,0.02237
146,0.01062,0.02239
147,0.0106,0.0224
148,0.01058,0.0224
149,0.0106,0.02244
150,0.01058,0.02242
151,0.01059,0.02243
152,0.01059,0.02242
153,0.0106,0.02241
154,0.01059,0.02244
155,0.01059,0.0224
156,0.01058,0.02244
157,0.01058,0.02241
158,0.01058,0.02244
159,0.0106,0.02247
160,0.0106,0.02245
161,0.01061,0.02245
162,0.01059,0.02249
163,0.01058,0.02249
164,0.01059,0.02244
165,0.01058,0.02245
166,0.01057,0.02245
167,0.01058,0.02247
168,0.01058,0.02247
169,0.0106,0.02242
170,0.01059,0.02243
171,0.0106,0.02245
172,0.01058,0.02248
173,0.01058,0.02245
174,0.01061,0.02247
175,0.01059,0.02241
176,0.0106,0.02244
177,0.0106,0.02243
178,0.01058,0.02246
179,0.01059,0.02248
180,0.0106,0.0225
181,0.01058,0.02247
182,0.01059,0.02255
183,0.01059,0.02246
184,0.0106,0.02249
185,0.01058,0.02248
186,0.01058,0.02249
187,0.01058,0.02251
188,0.01058,0.02248
189,0.01058,0.02244
190,0.01058,0.02238
191,0.01059,0.02249
192,0.0106,0.02244
193,0.01058,0.0225
194,0.01059,0.02253
195,0.01059,0.02247
196,0.01058,0.02246
197,0.01059,0.02246
198,0.0106,0.02241
199,0.01059,0.0224
200,0.01061,0.02248
201,0.0106,0.02239
202,0.01059,0.02248
203,0.01059,0.02244
204,0.01059,0.02239
205,0.0106,0.02243
206,0.01062,0.02241
207,0.0106,0.02243
208,0.0106,0.02248
209,0.01059,0.02245
210,0.01059,0.0225
211,0.01058,0.02241
212,0.01058,0.0225
213,0.0106,0.0225
214,0.01057,0.02248
215,0.01058,0.02249
216,0.01058,0.0225
217,0.01056,0.02246
218,0.01057,0.02249
219,0.01058,0.02247
