MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.0579189,0.131999
2,0.0579189,0.131999
3,0.0579189,0.131999
4,0.0579189,0.131999
5,0.0579189,0.131999
6,0.0579189,0.131999
7,0.0579189,0.131999
8,0.0579189,0.131999
9,0.0579189,0.131999
10,0.0369226,0.146556
11,0.0652945,0.133777
12,0.0383129,0.0895154
13,0.0540544,0.0613394
14,0.0681217,0.084878
15,0.0856353,0.0848831
16,0.0914057,0.128332
17,0.0406474,0.119718
18,0.0562439,0.0790294
19,0.0562439,0.0790294
20,0.0648832,0.0700033
21,0.106414,0.0172936
22,0.106414,0.0172936
23,0.0383036,0.132707
24,0.119159,0.0897327
25,0.0932142,0.085573
26,0.0530306,0.0223626
27,0.102072,0.0834226
28,0.0436845,0.0520722
29,0.0436845,0.0520722
30,0.0436845,0.0520722
31,0.128066,0.044099
32,0.050407,0.109673
33,0.0875523,0.166909
34,0.0529574,0.327938
35,0.0529574,0.327938
36,0.0261495,0.111417
37,0.0261495,0.111417
38,0.0565564,0.127734
39,0.0565564,0.127734
40,0.0565564,0.127734
41,0.0565564,0.127734
42,0.0357563,0.178668
43,0.0376379,0.181432
44,0.0193187,0.185893
45,0.0193187,0.185893
46,0.047987,0.0776007
47,0.0795308,0.0240042
48,0.0760432,0.0296947
49,0.0862414,0.0836337
50,0.0734692,0.0342089
51,0.0621776,0.0731766
52,0.0621776,0.0731766
53,0.0693965,0.114438
54,0.0831208,0.115031
55,0.0767394,0.118295
56,0.0504972,0.053197
57,0.0504972,0.053197
58,0.0400887,0.0569459
59,0.0400887,0.0569459
60,0.0400887,0.0569459
61,0.0685475,0.0351268
62,0.0994998,0.0557207
63,0.0911098,0.0331665
64,0.0755643,0.0550195
65,0.112506,0.0623569
66,0.109353,0.0777602
67,0.109353,0.0777602
68,0.109353,0.0777602
69,0.109353,0.0777602
70,0.109353,0.0777602
71,0.109353,0.0777602
72,0.0282652,0.0685679
73,0.0900383,0.0659918
74,0.101118,0.0364202
75,0.0983211,0.0743
76,0.13032,0.0975044
77,0.0891132,0.086522
78,0.0735399,0.106179
79,0.0873273,0.0712393
80,0.113922,0.0261863
81,0.0558187,0.0313303
82,0.0558187,0.0313303
83,0.0714642,0.0386982
84,0.0842089,0.0420361
85,0.0842089,0.0420361
86,0.0842089,0.0420361
87,0.0842089,0.0420361
88,0.0842089,0.0420361
89,0.0842089,0.0420361
90,0.0842089,0.0420361
91,0.0593502,0.0597857
92,0.173098,0.0955587
93,0.189867,0.00952809
94,0.189867,0.00952809
95,0.127472,0.0345492
96,0.224856,0.0321606
97,0.154452,0.0876545
98,0.154452,0.0876545
99,0.154452,0.0876545
100,0.0963852,0.114854
101,0.0444747,0.0861772
102,0.0458859,0.14601
103,0.0565711,0.102789
104,0.061494,0.162363
105,0.0238985,0.241167
106,0.0782853,0.257571
107,0.0361526,0.137194
108,0.0361526,0.137194
109,0.0361526,0.137194
110,0.0361526,0.137194
111,0.0884575,0.0875644
112,0.14733,0.0778753
113,0.18187,0.064115
114,0.156875,0.0768643
115,0.156875,0.0768643
116,0.180138,0.00762023
117,0.222124,0.0299516
118,0.251756,0.0644259
119,0.251756,0.0644259
120,0.251756,0.0644259
121,0.319553,0.0262048
122,0.155211,0.0306541
123,0.0949463,0.0334029
124,0.125381,0.0301356
125,0.0772791,0.0257109
126,0.0806527,0.0281633
127,0.073738,0.0384517
128,0.0695764,0.0785444
129,0.0160788,0.15112
130,0.0507694,0.159597
131,0.0507694,0.159597
132,0.0975811,0.152013
133,0.0857313,0.172107
134,0.041017,0.134496
135,0.041017,0.134496
136,0.041017,0.134496
137,0.041017,0.134496
138,0.041017,0.134496
139,0.0755293,0.135563
140,0.0864344,0.106185
141,0.0448617,0.0745971
142,0.0509194,0.0511743
143,0.137404,0.0490085
144,0.192923,0.0950878
145,0.192923,0.0950878
146,0.192923,0.0950878
147,0.163154,0.124211
148,0.0917758,0.106309
149,0.104632,0.121161
150,0.0722195,0.143689
151,0.0722195,0.143689
152,0.0722195,0.143689
153,0.0722195,0.143689
154,0.0751484,0.0858651
155,0.0580789,0.104888
156,0.0445784,0.118397
157,0.0445784,0.118397
158,0.081051,0.0966642
159,0.0584951,0.0930586
160,0.0415187,0.0885233
161,0.146804,0.0370835
162,0.227116,0.0366891
163,0.13936,0.0311033
164,0.13936,0.0311033
165,0.13936,0.0311033
166,0.0703524,0.135495
167,0.0407821,0.094784
168,0.151514,0.0770842
169,0.151514,0.0770842
170,0.136865,0.111679
171,0.136865,0.111679
172,0.0774073,0.0188819
173,0.0595499,0.040843
174,0.0478695,0.0648626
175,0.0478695,0.0648626
176,0.0693696,0.106908
177,0.0693696,0.106908
178,0.0732861,0.0937729
179,0.0732861,0.0937729
180,0.0732861,0.0937729
181,0.0431643,0.136515
182,0.185329,0.0777788
183,0.148386,0.0720493
184,0.0463454,0.0471312
185,0.0463454,0.0471312
186,0.0463454,0.0471312
187,0.152704,0.107535
188,0.199674,0.0725201
189,0.0875725,0.0580062
190,0.0875725,0.0580062
191,0.30233,0.0686799
